Scaffold	Window_start	Window_end	CM_per_bp	kosambi_r_per_bp
ChrZ	0	1000000	NA	NA
ChrZ	1000000	2000000	2.03035482664909e-06	2.02422276660655e-08
ChrZ	2000000	3000000	2.03035482664909e-06	2.02422276660655e-08
ChrZ	3000000	4000000	3.603481270439624e-06	3.585351126251976e-08
ChrZ	4000000	5000000	4.844620989427275e-06	4.8216993606872275e-08
ChrZ	5000000	6000000	3.0013028071535197e-06	2.9511542014885892e-08
ChrZ	6000000	7000000	2.59959209775434e-06	2.53600212309185e-08
ChrZ	7000000	8000000	2.59959209775434e-06	2.53600212309185e-08
ChrZ	8000000	9000000	2.59959209775434e-06	2.53600212309185e-08
ChrZ	9000000	10000000	2.59959209775434e-06	2.53600212309185e-08
ChrZ	10000000	11000000	1.4167996649820843e-06	1.3845447013959885e-08
ChrZ	11000000	12000000	1.3777063802506747e-07	1.3776961493105846e-09
ChrZ	12000000	13000000	6.049973059388588e-06	6.035254657119544e-08
ChrZ	13000000	14000000	8.690269406114115e-07	8.661313698952672e-09
ChrZ	14000000	15000000	2.0580000000000005e-06	2.0577034183056384e-08
ChrZ	15000000	16000000	0.0	0.0
ChrZ	16000000	17000000	0.0	0.0
ChrZ	17000000	18000000	1.5457846264082318e-07	1.5457004750626958e-09
ChrZ	18000000	19000000	2.17410239171677e-07	2.17398403522747e-09
ChrZ	19000000	20000000	2.17410239171677e-07	2.17398403522747e-09
ChrZ	20000000	21000000	4.960105901582225e-08	4.959835877169711e-10
ChrZ	21000000	22000000	0	0
ChrZ	22000000	23000000	0	0
ChrZ	23000000	24000000	0.0	0.0
ChrZ	24000000	25000000	5.336506558736027e-07	5.334690324204197e-09
ChrZ	25000000	26000000	1.0643493441263932e-06	1.0639871018970514e-08
ChrZ	26000000	27000000	2.7750214361104918e-08	2.7740734332001007e-10
ChrZ	27000000	28000000	1.5732497856388965e-06	1.572712331997584e-08
ChrZ	28000000	29000000	0.0	0.0
ChrZ	29000000	30000000	1.0399999999999998e-06	1.0398500440840496e-08
ChrZ	30000000	31000000	1.4209471251515926e-06	1.415474459913618e-08
ChrZ	31000000	32000000	1.97613959094974e-06	1.9685286459305e-08
ChrZ	32000000	33000000	1.97613959094974e-06	1.9685286459305e-08
ChrZ	33000000	34000000	1.5042941194489434e-08	1.4989892907029235e-10
ChrZ	34000000	35000000	1.3753312690055566e-09	1.375331268272955e-11
ChrZ	35000000	36000000	7.639409956167546e-07	7.636830770669856e-09
ChrZ	36000000	37000000	8.33995183150371e-07	8.337143238055198e-09
ChrZ	37000000	38000000	8.581699489467853e-06	8.56110630727544e-08
ChrZ	38000000	39000000	1.85600210697165e-06	1.83941614634745e-08
ChrZ	39000000	40000000	1.85600210697165e-06	1.83941614634745e-08
ChrZ	40000000	41000000	1.85600210697165e-06	1.83941614634745e-08
ChrZ	41000000	42000000	2.5855120403995464e-06	2.5744398882973286e-08
ChrZ	42000000	43000000	1.0874896515129422e-06	1.0865396568928756e-08
ChrZ	43000000	44000000	3.8310001987273146e-09	3.8310001959467584e-11
ChrZ	44000000	45000000	8.807392242571786e-10	8.807392241418953e-12
ChrZ	45000000	46000000	0.0	0.0
ChrZ	46000000	47000000	3.5585411828979544e-06	3.4482071496420186e-08
ChrZ	47000000	48000000	4.86002070848538e-06	4.70933376714784e-08
ChrZ	48000000	49000000	4.86002070848538e-06	4.70933376714784e-08
ChrZ	49000000	50000000	3.0806165601398554e-06	3.0098727702790396e-08
ChrZ	50000000	51000000	1.5238008399914193e-06	1.5226883678746513e-08
ChrZ	51000000	52000000	2.713310370166601e-06	2.7122891795269486e-08
ChrZ	52000000	53000000	4.03215169934468e-07	4.0319978260421e-09
ChrZ	53000000	54000000	2.0474459898932415e-08	2.0473678561076577e-10
ChrZ	54000000	55000000	2.320706112167173e-09	2.3207061118634033e-11
ChrZ	55000000	56000000	1.7165224733593956e-09	1.7165224731347127e-11
ChrZ	56000000	57000000	4.48980746358654e-10	4.48980746299885e-12
ChrZ	57000000	58000000	4.48980746358654e-10	4.48980746299885e-12
ChrZ	58000000	59000000	1.064809921756125e-09	1.0648099216167482e-11
ChrZ	59000000	60000000	0	0
ChrZ	60000000	61000000	0	0
ChrZ	61000000	62000000	0	0
ChrZ	62000000	63000000	0.0	0.0
ChrZ	63000000	64000000	0	0
ChrZ	64000000	65000000	0	0
ChrZ	65000000	66000000	0	0
ChrZ	66000000	67000000	0.0	0.0
ChrZ	67000000	68000000	0.0	0.0
ChrZ	68000000	69000000	0.0	0.0
ChrZ	69000000	70000000	0.0	0.0
ChrZ	70000000	71000000	0	0
ChrZ	71000000	72000000	0	0
ChrZ	72000000	73000000	0.0	0.0
ChrZ	73000000	74000000	0	0
ChrZ	74000000	75000000	0.0	0.0
ChrZ	75000000	76000000	5.807369449786056e-10	5.807369442818801e-12
ChrZ	76000000	77000000	2.34192630550214e-08	2.34192627245156e-10
ChrZ	77000000	78000000	0.0	0.0
ChrZ	78000000	79000000	3.336562152332823e-07	3.336550869682673e-09
ChrZ	79000000	81000000	NA	NA
