Scaffold	Window_start	Window_end	CM_per_bp	kosambi_r_per_bp
ChrZ	1	1000000	NA	NA
ChrZ	1000001	2000000	1.67436211785516e-06	1.67091907690174e-08
ChrZ	2000001	3000000	1.67436211785516e-06	1.67091907690174e-08
ChrZ	3000001	4000000	2.4318925629396775e-06	2.4266020727945356e-08
ChrZ	4000001	5000000	4.1374392679123525e-06	4.12926425498915e-08
ChrZ	5000001	6000000	2.9747471092883183e-06	2.9615261704608637e-08
ChrZ	6000001	7000000	1.53152459827615e-06	1.51826760712839e-08
ChrZ	7000001	8000000	1.53152459827615e-06	1.51826760712839e-08
ChrZ	8000001	9000000	1.53152459827615e-06	1.51826760712839e-08
ChrZ	9000001	10000000	1.53152459827615e-06	1.51826760712839e-08
ChrZ	10000001	11000000	1.2844101440454794e-06	1.2775853063288829e-08
ChrZ	11000001	12000000	7.119133295000351e-07	7.117721972897397e-09
ChrZ	12000001	13000000	5.204177207883904e-06	5.196442285857188e-08
ChrZ	13000001	14000000	1.1449840956739607e-06	1.1435474919913965e-08
ChrZ	14000001	15000000	1.5446097890368805e-06	1.5445366492349228e-08
ChrZ	15000001	16000000	6.495479369307301e-07	6.494996576808387e-09
ChrZ	16000001	17000000	4.037109500327144e-07	4.036810767295729e-09
ChrZ	17000001	18000000	9.054630970167962e-07	9.051134359479879e-09
ChrZ	18000001	19000000	7.48177274804256e-07	7.47695262827874e-09
ChrZ	19000001	20000000	7.48177274804256e-07	7.47695262827874e-09
ChrZ	20000001	21000000	1.706923667520601e-07	1.7058239847606159e-09
ChrZ	21000001	22000000	0	0
ChrZ	22000001	23000000	0	0
ChrZ	23000001	24000000	0.0	0.0
ChrZ	24000001	25000000	1.5913791499536193e-06	1.5910460953955e-08
ChrZ	25000001	26000000	5.331298434136552e-07	5.330844679651303e-09
ChrZ	26000001	27000000	2.16887665569932e-07	2.1688203865978875e-09
ChrZ	27000001	28000000	1.3866150188554265e-06	1.3862506914004305e-08
ChrZ	28000001	29000000	2.5023572036638705e-07	2.5023508931248412e-09
ChrZ	29000001	30000000	1.0712786622214836e-06	1.0711225120561547e-08
ChrZ	30000001	31000000	1.2006028094563292e-06	1.1972510314159736e-08
ChrZ	31000001	32000000	1.68138836788125e-06	1.67669435870154e-08
ChrZ	32000001	33000000	1.68138836788125e-06	1.67669435870154e-08
ChrZ	33000001	34000000	2.075264587662212e-08	2.0696472556337207e-10
ChrZ	34000001	35000000	6.870990796390212e-10	6.870990795468711e-12
ChrZ	35000001	36000000	3.62804703745365e-07	3.6277407546569933e-09
ChrZ	36000001	37000000	4.361543452832958e-07	4.361176058625841e-09
ChrZ	37000001	38000000	4.439015179073568e-06	4.435192693431361e-08
ChrZ	38000001	39000000	1.10952015874448e-06	1.10595225311532e-08
ChrZ	39000001	40000000	1.10952015874448e-06	1.10595225311532e-08
ChrZ	40000001	41000000	1.10952015874448e-06	1.10595225311532e-08
ChrZ	41000001	42000000	1.3908410989421303e-06	1.3885630837715389e-08
ChrZ	42000001	43000000	5.579431585476274e-07	5.578211774259944e-09
ChrZ	43000001	44000000	8.045269105690415e-07	8.044590333570915e-09
ChrZ	44000001	45000000	2.671402319499987e-09	2.6714023182630312e-11
ChrZ	45000001	46000000	7.007220858502458e-10	7.007220856408036e-12
ChrZ	46000001	47000000	1.8620549917504467e-06	1.8453087791090803e-08
ChrZ	47000001	48000000	2.57827560431408e-06	2.55508813041606e-08
ChrZ	48000001	49000000	2.57827560431408e-06	2.55508813041606e-08
ChrZ	49000001	50000000	2.111274289206159e-06	2.1000524634793696e-08
ChrZ	50000001	51000000	7.881319947749798e-07	7.879825930309166e-09
ChrZ	51000001	52000000	7.630265582117455e-06	6.880702690337225e-08
ChrZ	52000001	52185292	2.42445550837558e-05	2.13738032970299e-07
