Scaffold	Window_start	Window_end	CM_per_bp	kosambi_r_per_bp
ChrZ	0	1000000	NA	NA
ChrZ	1000000	2000000	1.31836798307583e-06	1.31668565086019e-08
ChrZ	2000000	3000000	1.31836798307583e-06	1.31668565086019e-08
ChrZ	3000000	4000000	1.2602948565952996e-06	1.2592933364148847e-08
ChrZ	4000000	5000000	3.430231608711942e-06	3.421497075368631e-08
ChrZ	5000000	6000000	2.9482164683706167e-06	2.9391376651626475e-08
ChrZ	6000000	7000000	4.63456519609827e-07	4.63085653521776e-09
ChrZ	7000000	8000000	4.63456519609827e-07	4.63085653521776e-09
ChrZ	8000000	9000000	4.63456519609827e-07	4.63085653521776e-09
ChrZ	9000000	10000000	4.63456519609827e-07	4.63085653521776e-09
ChrZ	10000000	11000000	1.152021463258925e-06	1.1512404613812327e-08
ChrZ	11000000	12000000	1.2860538795306083e-06	1.2852223268014932e-08
ChrZ	12000000	13000000	4.3582989118377844e-06	4.354630074673194e-08
ChrZ	13000000	14000000	1.4209299521519228e-06	1.4202368493964216e-08
ChrZ	14000000	15000000	1.0312589826622038e-06	1.0309745605323778e-08
ChrZ	15000000	16000000	1.2990893142402808e-06	1.298703185502972e-08
ChrZ	16000000	17000000	8.074228391078048e-07	8.07183916050723e-09
ChrZ	17000000	18000000	1.6563277637978967e-06	1.654562872081889e-08
ChrZ	18000000	19000000	1.27894380132447e-06	1.27653969248435e-08
ChrZ	19000000	20000000	1.27894380132447e-06	1.27653969248435e-08
ChrZ	20000000	21000000	2.9178463355317123e-07	2.9123614814184204e-09
ChrZ	21000000	22000000	0	0
ChrZ	22000000	23000000	0	0
ChrZ	23000000	24000000	0.0	0.0
ChrZ	24000000	25000000	2.6509999999999993e-06	2.6485186966661566e-08
ChrZ	25000000	26000000	0.0	0.0
ChrZ	26000000	27000000	4.199209923384472e-07	4.1990846017778086e-09
ChrZ	27000000	28000000	1.1860790076615524e-06	1.1858486696167433e-08
ChrZ	28000000	29000000	5.027111477560147e-07	5.027060706675232e-09
ChrZ	29000000	30000000	1.1002888522439864e-06	1.1001260433019588e-08
ChrZ	30000000	31000000	9.970633252409559e-07	9.951681325243395e-09
ChrZ	31000000	32000000	1.38663591122889e-06	1.38400022880729e-08
ChrZ	32000000	33000000	1.38663591122889e-06	1.38400022880729e-08
ChrZ	33000000	34000000	9.664852301265363e-09	9.646481594786812e-11
ChrZ	34000000	35000000	0.0	0.0
ChrZ	35000000	36000000	0.0	0.0
ChrZ	36000000	37000000	0.0	0.0
ChrZ	37000000	38000000	3.0734554718464223e-07	3.0723936850149965e-09
ChrZ	38000000	39000000	3.63037710147535e-07	3.62912291489781e-09
ChrZ	39000000	40000000	3.63037710147535e-07	3.62912291489781e-09
ChrZ	40000000	41000000	3.63037710147535e-07	3.62912291489781e-09
ChrZ	41000000	42000000	2.135413223727511e-07	2.134675502403296e-09
ChrZ	42000000	43000000	0.0	0.0
ChrZ	43000000	44000000	1.6053577823272292e-06	1.6048149367354398e-08
ChrZ	44000000	45000000	4.260013431245582e-09	4.260013426134723e-11
ChrZ	45000000	46000000	1.3822042415259618e-09	1.3822042398676917e-11
ChrZ	46000000	47000000	2.2302420128322546e-07	2.2299599520361043e-09
ChrZ	47000000	48000000	3.04591736057188e-07	3.04553214055056e-09
ChrZ	48000000	49000000	3.04591736057188e-07	3.04553214055056e-09
ChrZ	49000000	50000000	1.0921519007332723e-06	1.09210822853292e-08
ChrZ	50000000	51000000	2.864042586912542e-08	2.8640418476079735e-10
ChrZ	51000000	52000000	3.2415244246647154e-07	3.2404757173321187e-09
ChrZ	52000000	53000000	1.17422286870636e-06	1.17384298073663e-08
ChrZ	53000000	54000000	5.962468882717155e-08	5.960539887584461e-10
ChrZ	54000000	55000000	0.0	0.0
ChrZ	55000000	56000000	0.0	0.0
ChrZ	56000000	57000000	0	0
ChrZ	57000000	58000000	0	0
ChrZ	58000000	59000000	2.5498640750118912e-06	2.546430208602902e-08
ChrZ	59000000	60000000	1.20526965470886e-06	1.20164318937021e-08
ChrZ	60000000	61000000	1.20526965470886e-06	1.20164318937021e-08
ChrZ	61000000	62000000	1.20526965470886e-06	1.20164318937021e-08
ChrZ	62000000	63000000	5.224318772270523e-07	5.184660339622917e-09
ChrZ	63000000	64000000	2.53848567955651e-06	2.51334023807876e-08
ChrZ	64000000	65000000	2.53848567955651e-06	2.51334023807876e-08
ChrZ	65000000	66000000	2.53848567955651e-06	2.51334023807876e-08
ChrZ	66000000	67000000	7.084380449649514e-07	7.0142048030278226e-09
ChrZ	67000000	68000000	1.9552355125644556e-06	1.9545431346053215e-08
ChrZ	68000000	69000000	3.0262989334819367e-06	3.0255424675838216e-08
ChrZ	69000000	70000000	5.678134966529562e-06	5.667070262229341e-08
ChrZ	70000000	71000000	2.3729746990684e-06	2.36106822809305e-08
ChrZ	71000000	72000000	2.3729746990684e-06	2.36106822809305e-08
ChrZ	72000000	73000000	6.029516905011935e-07	6.014325120921751e-09
ChrZ	73000000	74000000	3.49351192680685e-07	3.49320256262352e-09
ChrZ	74000000	75000000	4.663760258903814e-06	4.650645399153789e-08
ChrZ	75000000	76000000	4.338771637976755e-06	4.314426130731231e-08
ChrZ	76000000	77000000	7.7045464092248e-06	7.612127565038127e-08
ChrZ	77000000	78000000	0.0	0.0
ChrZ	78000000	79000000	3.753632421374431e-08	3.7536322592180685e-10
ChrZ	79000000	81000000	NA	NA
