start_pos	end_pos	female_pair_cm_per_site	male_pair_cm_per_site	sex_averaged_pair_cm_per_site	female_smoothed	male_smoothed	sex_averaged_smoothed
1113306	2113305	2.03	1.318	1.674	2.747	1.721	2.234
2113306	3113305	2.03	1.318	1.674	2.855	1.653	2.254
3113306	4113305	3.935	1.248	2.591	2.924	1.597	2.26
4113306	5113305	4.786	4.633	4.71	2.953	1.557	2.255
5113306	6113305	2.793	1.661	2.227	2.946	1.525	2.236
6113306	7113305	2.6	0.463	1.532	2.9	1.503	2.202
7113306	8113305	2.6	0.463	1.532	2.815	1.491	2.153
8113306	9113305	2.6	0.463	1.532	2.699	1.475	2.087
9113306	10113305	2.6	0.463	1.532	2.521	1.453	1.987
10113306	11113305	1.145	1.31	1.228	2.312	1.432	1.872
11113306	12113305	0.116	1.075	0.596	2.072	1.478	1.775
12113306	13113305	6.836	4.812	5.824	1.786	1.58	1.683
13113306	14113305	0.349	1.112	0.73	1.522	1.629	1.575
14113306	15113305	1.792	1.07	1.431	1.241	1.626	1.433
15113306	16113305	0	1.345	0.673	0.967	1.595	1.281
16113306	17113305	0	1.326	0.663	0.689	1.411	1.05
17113306	18113305	0.179	1.054	0.617	0.375	1.121	0.748
18113306	19113305	0.217	1.279	0.748	0.152	0.908	0.53
19113306	20113305	0.217	1.279	0.748	0.034	0.755	0.394
20113306	21113305	0.025	0.147	0.086	-0.039	0.62	0.29
21113306	22113305	0	0	0	-0.004	0.567	0.282
22113306	23113305	0	0	0	0.122	0.551	0.336
23113306	24113305	0	0	0	0.24	0.549	0.394
24113306	25113305	0.661	2.651	1.656	0.384	0.611	0.497
25113306	26113305	0.937	0	0.468	0.539	0.687	0.613
26113306	27113305	0.199	0.549	0.374	0.638	0.777	0.707
27113306	28113305	1.402	1.057	1.229	0.738	0.915	0.826
28113306	29113305	0	0.535	0.268	0.848	0.984	0.916
29113306	30113305	1.04	1.068	1.054	0.928	0.942	0.935
30113306	31113305	1.635	1.147	1.391	1.025	0.878	0.951
31113306	32113305	1.976	1.387	1.681	1.23	0.786	1.008
32113306	33113305	1.776	1.246	1.511	1.48	0.653	1.067
33113306	34113305	0.001	0	0.001	1.684	0.548	1.116
34113306	35113305	0.001	0	0.001	1.941	0.432	1.187
35113306	36113305	1.594	0	0.797	2.165	0.322	1.244
36113306	37113305	4.88	0	2.44	2.185	0.279	1.232
37113306	38113305	3.907	0.347	2.127	2.119	0.256	1.188
38113306	39113305	1.856	0.363	1.11	2.028	0.247	1.137
39113306	40113305	1.856	0.363	1.11	1.97	0.244	1.107
40113306	41113305	1.856	0.363	1.11	1.849	0.273	0.995
41113306	42113305	2.764	0.174	1.469	1.653	0.331	0.813
42113306	43113305	0.709	0	0.354	1.568	0.371	0.758
43113306	44113305	0.004	1.608	0.806	1.687	0.373	0.533
44113306	45113305	0	0.003	0.002	1.815	0.373	0.439
45113306	46113305	0	0.001	0.001	2.039	0.394	1.132
46113306	47113305	4.054	0.254	2.154	2.399	0.419	2.165
47113306	48113305	4.852	0.304	2.578	2.582	0.43	2.972
48113306	49113305	4.852	0.304	2.578	2.614	0.412	3.997
49113306	50113305	2.753	1.065	1.909	2.59	0.39	4.919
50113306	51113305	1.371	0.026	0.698	2.303	0.354	5.19
51113306	52113305	2.753	0.44	10.377	1.845	0.3	5.352
52113306	53113305	0.384	1.118	23.092	1.452	0.293	5.324
53113306	54113305	0	0	0	0.919	0.329	4.804
54113306	55113305	0.002	0	0	0.387	0.381	4.161
55113306	56113305	0.002	0	0	0.15	0.459	3.336
56113306	57113305	0	0	0	-0.021	0.556	2.126
57113306	58113305	0	0	0	-0.147	0.673	1.245
58113306	59113305	0.001	2.661	1.774	-0.142	0.865	0.619
59113306	60113305	0	1.204	0.802	-0.099	1.069	0.096
60113306	61113305	0	1.204	0.802	-0.089	1.238	0.184
61113306	62113305	0	1.204	0.802	-0.034	1.425	0.653
62113306	63113305	0	0.639	0.426	-0.001	1.615	0.996
63113306	64113305	0	2.535	1.69	-0.001	1.86	1.196
64113306	65113305	0	2.535	1.69	0	2.087	1.391
65113306	66113305	0	2.535	1.69	0	2.203	1.469
66113306	67113305	0	0.496	0.331	0	2.285	1.523
67113306	68113305	0	2.104	1.403	0	2.377	1.585
68113306	69113305	0	3.167	2.112	-0.006	2.529	1.686
69113306	70113305	0	5.584	3.723	-0.01	2.67	1.78
70113306	71113305	0	2.368	1.579	-0.007	2.784	1.856
71113306	72113305	0	2.368	1.579	-0.004	2.894	1.93
72113306	73113305	0	0.444	0.296	0.005	2.93	1.953
73113306	74113305	0	0.349	0.233	0.02	2.886	1.924
74113306	75113305	0	4.812	3.208	0.038	2.797	1.865
75113306	76113305	0.001	5.107	3.405	0.061	2.658	1.772
76113306	77113305	0.023	6.761	4.507	0.089	2.471	1.647
77113306	78113305	0	0	0	0.12	2.237	1.492
78113306	79014069	0.355	0.04	0.027	0.156	1.959	1.306
