Scaffold	Window_start	Window_end	CM_per_bp	kosambi_r_per_bp
ChrZ	0	1000000	NA	NA
ChrZ	1000000	2000000	1.67436140486246e-06	1.67091836537518e-08
ChrZ	2000000	3000000	1.67436140486246e-06	1.67091836537518e-08
ChrZ	3000000	4000000	2.431888063517459e-06	2.426597583960179e-08
ChrZ	4000000	5000000	4.137426299069606e-06	4.1292513054541846e-08
ChrZ	5000000	6000000	2.9747596377620754e-06	2.961538708008174e-08
ChrZ	6000000	7000000	1.53152430868209e-06	1.51826732004107e-08
ChrZ	7000000	8000000	1.53152430868209e-06	1.51826732004107e-08
ChrZ	8000000	9000000	1.53152430868209e-06	1.51826732004107e-08
ChrZ	9000000	10000000	1.53152430868209e-06	1.51826732004107e-08
ChrZ	10000000	11000000	1.2844105641205105e-06	1.2775857018432806e-08
ChrZ	11000000	12000000	7.119122587778417e-07	7.117711267798034e-09
ChrZ	12000000	13000000	5.204135985613185e-06	5.196401130715547e-08
ChrZ	13000000	14000000	1.1449784463816667e-06	1.1435418156091351e-08
ChrZ	14000000	15000000	1.5446294913311036e-06	1.5445563508983462e-08
ChrZ	15000000	16000000	6.495446571201395e-07	6.4949637811277664e-09
ChrZ	16000000	17000000	4.037114195539004e-07	4.0368154621601935e-09
ChrZ	17000000	18000000	9.054531132193589e-07	9.051034562457755e-09
ChrZ	18000000	19000000	7.48177020248072e-07	7.47695008435688e-09
ChrZ	19000000	20000000	7.48177020248072e-07	7.47695008435688e-09
ChrZ	20000000	21000000	1.7069284628449637e-07	1.7058287769956004e-09
ChrZ	21000000	22000000	0	0
ChrZ	22000000	23000000	0	0
ChrZ	23000000	24000000	0.0	0.0
ChrZ	24000000	25000000	1.592325327936802e-06	1.591992193638556e-08
ChrZ	25000000	26000000	5.321746720631984e-07	5.321293779106816e-09
ChrZ	26000000	27000000	2.2383560334977607e-07	2.2382815058909176e-09
ChrZ	27000000	28000000	1.3796643966502245e-06	1.379301895442933e-08
ChrZ	28000000	29000000	2.51355573878007e-07	2.5135493923566014e-09
ChrZ	29000000	30000000	1.0701444261219915e-06	1.069988281422611e-08
ChrZ	30000000	31000000	1.2090052251962776e-06	1.205629989745746e-08
ChrZ	31000000	32000000	1.68138775108932e-06	1.67669374363154e-08
ChrZ	32000000	33000000	1.68138775108932e-06	1.67669374363154e-08
ChrZ	33000000	34000000	1.2353896747877435e-08	1.232117951581364e-10
ChrZ	34000000	35000000	6.876656345027799e-10	6.876656344127684e-12
ChrZ	35000000	36000000	3.819704978083773e-07	3.8193824817311236e-09
ChrZ	36000000	37000000	4.169975915751855e-07	4.169624734673964e-09
ChrZ	37000000	38000000	4.444522518326246e-06	4.440682220339841e-08
ChrZ	38000000	39000000	1.10951990855959e-06	1.10595200373497e-08
ChrZ	39000000	40000000	1.10951990855959e-06	1.10595200373497e-08
ChrZ	40000000	41000000	1.10951990855959e-06	1.10595200373497e-08
ChrZ	41000000	42000000	1.3995266813861492e-06	1.3972633624834137e-08
ChrZ	42000000	43000000	5.437448257564727e-07	5.43625982189549e-09
ChrZ	43000000	44000000	8.045943912629782e-07	8.045265147976547e-09
ChrZ	44000000	45000000	2.570376327751384e-09	2.5703763265713448e-11
ChrZ	45000000	46000000	6.911021207629795e-10	6.91102120556439e-12
ChrZ	46000000	47000000	1.890782692090587e-06	1.8737781196366892e-08
ChrZ	47000000	48000000	2.58230622227128e-06	2.55908249939797e-08
ChrZ	48000000	49000000	2.58230622227128e-06	2.55908249939797e-08
ChrZ	49000000	50000000	2.0863842304365636e-06	2.075491071065452e-08
ChrZ	50000000	51000000	7.762206329302739e-07	7.760734891560012e-09
ChrZ	51000000	52000000	1.5187314063165338e-06	1.5185724448014466e-08
ChrZ	52000000	53000000	7.88719019320413e-07	7.88603869458175e-09
ChrZ	53000000	54000000	4.0049574363051934e-08	4.004372728334721e-10
ChrZ	54000000	55000000	0.0	0.0
ChrZ	55000000	56000000	0.0	0.0
ChrZ	56000000	57000000	0	0
ChrZ	57000000	58000000	0	0
ChrZ	58000000	59000000	1.699909383341264e-06	1.6988901731449722e-08
ChrZ	59000000	60000000	8.0351310313924e-07	8.02436435343444e-09
ChrZ	60000000	61000000	8.0351310313924e-07	8.02436435343444e-09
ChrZ	61000000	62000000	8.0351310313924e-07	8.02436435343444e-09
ChrZ	62000000	63000000	3.482879181513686e-07	3.4710576834989142e-09
ChrZ	63000000	64000000	1.69232378637101e-06	1.68482376686476e-08
ChrZ	64000000	65000000	1.69232378637101e-06	1.68482376686476e-08
ChrZ	65000000	66000000	1.69232378637101e-06	1.68482376686476e-08
ChrZ	66000000	67000000	4.7229202997663513e-07	4.701989320328503e-09
ChrZ	67000000	68000000	1.30349034170964e-06	1.3032851437826178e-08
ChrZ	68000000	69000000	2.0175326223212916e-06	2.0173084453739385e-08
ChrZ	69000000	70000000	3.78542331101971e-06	3.782137664597078e-08
ChrZ	70000000	71000000	1.58198313271226e-06	1.57844345038528e-08
ChrZ	71000000	72000000	1.58198313271226e-06	1.57844345038528e-08
ChrZ	72000000	73000000	4.0196779366746173e-07	4.0151618258521985e-09
ChrZ	73000000	74000000	2.32900795120457e-07	2.3289162823311e-09
ChrZ	74000000	75000000	3.1091735059358716e-06	3.105280079569268e-08
ChrZ	75000000	76000000	2.8925144253178406e-06	2.88524743900128e-08
ChrZ	76000000	77000000	5.136364272816534e-06	5.1087602197893544e-08
ChrZ	77000000	78000000	0.0	0.0
ChrZ	78000000	79000000	2.5024216142496236e-08	2.502421566202871e-10
ChrZ	79000000	81000000	NA	NA
