NC_006088.5	chromosome_1
NC_006089.5	chromosome_2
NC_006090.5	chromosome_3
NC_006091.5	chromosome_4
NC_006092.5	chromosome_5
NC_006093.5	chromosome_6
NC_006094.5	chromosome_7
NC_006095.5	chromosome_8
NC_006096.5	chromosome_9
NC_006097.5	chromosome_10
NC_006098.5	chromosome_11
NC_006099.5	chromosome_12
NC_006100.5	chromosome_13
NC_006101.5	chromosome_14
NC_006102.5	chromosome_15
NC_006103.5	chromosome_16
NC_006104.5	chromosome_17
NC_006105.5	chromosome_18
NC_006106.5	chromosome_19
NC_006107.5	chromosome_20
NC_006108.5	chromosome_21
NC_006109.5	chromosome_22
NC_006110.5	chromosome_23
NC_006111.5	chromosome_24
NC_006112.4	chromosome_25
NC_006113.5	chromosome_26
NC_006114.5	chromosome_27
NC_006115.5	chromosome_28
NC_028739.2	chromosome_30
NC_028740.2	chromosome_31
NC_006119.4	chromosome_32
NC_008465.4	chromosome_33
NC_006126.5	chromosome_W
NC_006127.5	chromosome_Z
NC_040902.1	mitochondrion_complete
