scaffold	point_estimate	UPPER_CI
superscaffold11.283	1.00065874533849	1.00271243124076
superscaffold11.282	1.0002044712567	1.00098715549782
superscaffold11.281	1.00032790915609	1.00175395760898
superscaffold11.280	1.00044029271054	1.00216231339084
superscaffold11.279	1.00029156666364	1.00117250665201
superscaffold11.278	1.00188506001758	1.00716849653019
superscaffold11.277	1.00324264773462	1.01063929566294
superscaffold11.276	1.00150173362347	1.00434856520456
superscaffold11.275	1.00316984276325	1.01061553828559
superscaffold11.274	1.00049487904015	1.00099508528736
superscaffold11.273	1.00071039988498	1.00202816997902
superscaffold11.272	1.00012448224337	1.0006959730311
superscaffold11.271	1.0014349846212	1.00580056670645
superscaffold11.270	1.00033265508008	1.00073904763944
superscaffold11.269	1.00150087396722	1.00520726802345
superscaffold11.268	1.00030773231858	1.00147349316625
superscaffold11.267	1.00398788228904	1.01251362248707
superscaffold11.266	1.00001215184244	1.00055642997832
superscaffold11.265	1.00081274358461	1.00343035530925
superscaffold11.264	1.00965645067421	1.02741601024867
superscaffold11.263	1.00063509193641	1.00225302905683
superscaffold11.262	1.01297997255295	1.03946598519411
superscaffold11.261	1.00285701920303	1.00924391664796
superscaffold11.260	1.00083962702971	1.00344226074776
superscaffold11.259	1.00012488760354	1.00078787634555
superscaffold11.258	1.00261787508599	1.0081763008628
superscaffold11.257	1.00545738908423	1.01718114150998
superscaffold11.256	1.00185600101145	1.00615199454789
superscaffold11.255	1.00104920166754	1.0041608584803
superscaffold11.254	1.00153226519969	1.00512820848318
superscaffold11.253	1.00360332351885	1.01324822648045
superscaffold11.252	1.00092394762082	1.00212155384443
superscaffold11.251	1.00017881335966	1.00067234143744
superscaffold11.250	1.00058993883224	1.00224161509959
superscaffold11.249	1.00038303020259	1.0018310866947
superscaffold11.248	1.00052329695392	1.00232322333182
superscaffold11.247	1.00047316372121	1.00131850402893
superscaffold11.246	1.00393787627426	1.01229197950843
superscaffold11.245	1.00378241263251	1.01191227262686
superscaffold11.244	1.0029782200718	1.01119350577125
superscaffold11.243	1.00296134055859	1.00962548815649
superscaffold11.242	1.00028109201402	1.00114932352439
superscaffold11.241	0.999909393440193	1.00011944881875
superscaffold11.240	1.00095289844104	1.00362127959117
superscaffold11.239	0.99999771021833	1.00008165529568
superscaffold11.238	1.00426372051433	1.01569993412931
superscaffold11.237	1.0003134622264	1.0004369687582
superscaffold11.236	1.00488237055485	1.01796549612702
superscaffold11.235	1.00823933887005	1.02886235990128
superscaffold11.234	1.00383621291807	1.01445634806357
superscaffold11.233	1.00086595625996	1.00299908555522
superscaffold11.232	1.00292216806499	1.01056644014537
superscaffold11.231	1.00014474242774	1.00083862820743
superscaffold11.230	1.00088657410574	1.0037916572407
superscaffold11.229	1.00113931644647	1.00453138987553
superscaffold11.228	1.00006310283212	1.00034552663431
superscaffold11.227	1.00060229420164	1.00216902817138
superscaffold11.226	0.99992678095488	1.0002535526335
superscaffold11.225	1.00207446941858	1.00748763999576
superscaffold11.224	1.01043809608851	1.03010686272099
superscaffold11.223	1.00478808768622	1.01299579455106
superscaffold11.222	1.00014900092515	1.00049669600407
superscaffold11.221	1.00253414931351	1.00896650744373
superscaffold11.220	1.00005973710177	1.00055402024839
superscaffold11.219	1.0006775189757	1.00296072317557
superscaffold11.218	1.01045917200541	1.03738276281979
superscaffold11.217	1.00140769605336	1.00477011524879
superscaffold11.216	1.00829481548379	1.02909318413033
superscaffold11.215	1.00392613437737	1.01385622036264
superscaffold11.214	1.000577214582	1.00265116107693
superscaffold11.213	1.00090967351757	1.00218292762638
superscaffold11.212	1.00073301253794	1.00277530342585
superscaffold11.211	1.00093159813855	1.00331908975734
superscaffold11.210	1.00078795664965	1.00319794374047
