scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold11.283.1	27.0633333333333	1.93048317742633	24	26	27	28	31	3611.68809439144
superscaffold11.282.1	35.4402083333333	3.51429195214554	29	33	35	38	43	1053.28883899195
superscaffold11.281.1	43.3425	3.13637153764845	38	41	43	45	50	1816.54914858986
superscaffold11.280.1	36.4077083333333	2.34283498438282	32	35	36	38	41	4037.51235180309
superscaffold11.279.1	33.5352083333333	2.69425735030145	28	32	33	35	39	2886.14263177288
superscaffold11.278.1	35.750625	3.18788921684667	30	34	36	38	42	1269.39466061089
superscaffold11.277.1	40.5639583333333	3.18317508535407	35	38	40	43	47	1361.55785350461
superscaffold11.276.1	40.0714583333333	2.93304067618952	35	38	40	42	46	1746.49804238962
superscaffold11.275.1	46.338125	3.71231072401655	39	44	46	49	54	980.398716382189
superscaffold11.274.1	34.3997916666667	2.87163012834394	29	32	34	36	40	1223.47059840943
superscaffold11.273.1	31.5720833333333	2.73147243977325	27	30	31	33	37	2928.36500372344
superscaffold11.272.1	34.5354166666667	2.50866301363822	30	33	34	36	40	2338.77817664427
superscaffold11.271.1	35.914375	2.63742156745642	31	34	36	38	41.0249999999996	2583.87322541001
superscaffold11.270.1	32.081875	3.09631536042611	26	30	32	34	38	2012.00629694153
superscaffold11.269.1	33.2785416666667	2.49043135654617	29	32	33	35	38	2397.1619107926
superscaffold11.268.1	36.1541666666667	2.92220150772205	31	34	36	38	42	1808.19296985589
superscaffold11.267.1	39.16875	3.00230211386414	33	37	39	41	45	645.443294290365
superscaffold11.266.1	40.3164583333333	2.86903479531602	35	38	40	42	46	2143.70921319938
superscaffold11.265.1	39.5495833333333	2.98227727389955	34	37	39	41	46	1431.99123610167
superscaffold11.264.1	39.7479166666667	2.71816296637769	35	38	40	41	45	1202.31338061235
superscaffold11.263.1	35.3672916666667	2.87386658458646	30	33	35	37	41	772.80024217546
superscaffold11.262.1	52.9283333333333	2.90300756829621	47	51	53	55	59	1014.83429699584
superscaffold11.261.1	45.8525	2.76922216031917	41	44	46	48	51	1618.14446095322
superscaffold11.260.1	37.9316666666667	2.99250946042564	32	36	38	40	44	1951.76462672066
superscaffold11.259.1	38.0283333333333	2.72792611426823	33	36	38	40	44	1834.60989784767
