scaffold	point_estimate	UPPER_CI
superscaffold8.227	0.999857549862004	0.999862999404766
superscaffold8.226	1.00189381106	1.0039350809362
superscaffold8.225	1.00132823716684	1.00526713571042
superscaffold8.224	1.00839471598232	1.02682592304794
superscaffold8.223	1.00140457422693	1.00350609760696
superscaffold8.222	1.00006609319914	1.00072833881625
superscaffold8.221	1.0021347542787	1.00829734506923
superscaffold8.220	1.00076682543564	1.00312404998929
superscaffold8.219	1.00237697853561	1.00840519208131
superscaffold8.218	1.00288967518188	1.01070086037924
superscaffold8.217	1.00340685865151	1.00993140018743
superscaffold8.216	1.00058784295662	1.00209842524927
superscaffold8.215	1.00978997887969	1.03471417341722
superscaffold8.214	1.00234730685348	1.00813385189983
superscaffold8.213	1.00117682952918	1.00473611631874
superscaffold8.212	1.00051697769632	1.00191728902822
superscaffold8.211	1.00148269215329	1.00354845168184
superscaffold8.210	1.00612099165938	1.02263337826271
superscaffold8.209	1.00111112917229	1.00458196663566
superscaffold8.208	1.00018075125145	1.00095409004781
superscaffold8.207	1.00028901375287	1.00116828524619
superscaffold8.206	1.0148574132459	1.05192921825862
superscaffold8.205	1.00367885668532	1.01191683107508
superscaffold8.204	1.00253525080092	1.00793862186515
superscaffold8.203	1.00439401325465	1.01600174565459
superscaffold8.202	1.00404696650296	1.01493156201208
superscaffold8.201	1.00496458808635	1.01833247731023
superscaffold8.200	1.00016028619229	1.00079951224555
superscaffold8.199	1.0205223853549	1.06665467278371
superscaffold8.198	1.01933744498201	1.06786870123942
superscaffold8.197	1.00784115676369	1.02751450166494
superscaffold8.196	1.00063902455334	1.0019934352702
superscaffold8.195	1.00161571313012	1.00640925008683
superscaffold8.194	1.00828904404764	1.02854750282365
superscaffold8.193	1.00153403118928	1.00588452199515
superscaffold8.192	1.00021175473064	1.00121985669746
superscaffold8.191	1.00039703495648	1.00191034178337
superscaffold8.190	1.00285318190842	1.00910386512788
superscaffold8.189	1.07360432128504	1.23791190509242
superscaffold8.188	1.00054245627741	1.00220163032414
superscaffold8.187	1.00383029449153	1.01373544846618
superscaffold8.186	1.00397872394485	1.01464360481996
superscaffold8.185	1.00043399863354	1.00164076094142
superscaffold8.184	1.04087172257371	1.13426682028343
superscaffold8.183	1.00290290418941	1.00940581189412
superscaffold8.182	1.00090389145272	1.00364699643631
superscaffold8.181	1.0001042053634	1.00065735077773
superscaffold8.180	1.00176994135755	1.00581076560939
superscaffold8.179	1.00728534191711	1.02559300697541
