scaffold	point_estimate	UPPER_CI
superscaffold8.227	1.00013258926821	1.00074633631545
superscaffold8.226	1.00156297312042	1.00594153456032
superscaffold8.225	0.999980186283483	1.00046949580466
superscaffold8.224	1.00067291070453	1.00253617257734
superscaffold8.223	1.0001281073148	1.00074082711609
superscaffold8.222	1.00020428772689	1.00075668802542
superscaffold8.221	1.0005786810654	1.00214863353909
superscaffold8.220	1.00030893936166	1.00117448363059
superscaffold8.219	1.00018261384156	1.00106955169993
superscaffold8.218	0.999964308972555	1.0001045263535
superscaffold8.217	1.00003315021355	1.00034886321496
superscaffold8.216	1.0002990011108	1.00139800097744
superscaffold8.215	1.00068244799179	1.00262210131789
superscaffold8.214	1.00011540834924	1.00037932696234
superscaffold8.213	0.999888531801444	0.99991397855427
superscaffold8.212	0.999847671529043	0.999954352437753
superscaffold8.211	1.00004042359064	1.00009907751848
superscaffold8.210	1.00024340251964	1.00143068513811
superscaffold8.209	1.00064817260029	1.00247219380616
superscaffold8.208	1.00050000678439	1.00099112043415
superscaffold8.207	1.00108062351952	1.0026467555973
superscaffold8.206	1.00016369520778	1.00098784094594
superscaffold8.205	0.999858338689273	1.00003706872633
superscaffold8.204	0.99989354374611	1.00013511380716
superscaffold8.203	0.99999558742699	1.00008839817106
superscaffold8.202	1.00005318336633	1.00051299245153
superscaffold8.201	1.00030420325768	1.00136052022007
superscaffold8.200	1.0000991227617	1.00076723234408
superscaffold8.199	1.00807686677758	1.02967970232243
superscaffold8.198	1.00057702786552	1.00168812814377
superscaffold8.197	1.00073589571662	1.0030726137825
superscaffold8.196	0.99996052251301	1.00009620020241
superscaffold8.195	0.999872792890906	1.00000961787114
superscaffold8.194	0.999925935793961	1.00012807835672
superscaffold8.193	1.0003382910966	1.00067473175718
superscaffold8.192	0.999833127637522	0.999887941029626
superscaffold8.191	1.00042557763649	1.00158822956167
superscaffold8.190	1.00017533431308	1.00112844213562
superscaffold8.189	1.00261240791737	1.00760301945218
superscaffold8.188	1.00042905729364	1.00188575284168
superscaffold8.187	1.0018066490173	1.00655660586997
superscaffold8.186	1.00112578997023	1.00463787360192
superscaffold8.185	0.999915831574555	1.00017078528786
superscaffold8.184	1.01250834994582	1.0441816599496
superscaffold8.183	1.00085415462042	1.00358589522037
superscaffold8.182	1.00032974264681	1.00171198722611
superscaffold8.181	1.00024632455019	1.00072122864785
superscaffold8.180	1.00050940750695	1.00235424606415
superscaffold8.179	1.00110670008641	1.00439338799491
superscaffold8.178	0.999806900009139	0.999842822560708
superscaffold8.177	1.0004143465294	1.00171352057469
superscaffold8.176	1.00041080218418	1.00142821453481
superscaffold8.175	1.00014178793461	1.00104108072122
superscaffold8.174	0.999934575474091	1.00009614900862
superscaffold8.173	1.00016118379185	1.00036235352402
superscaffold8.172	0.999982736188239	1.00019109788651
superscaffold8.171	0.999874867449795	0.999894474767971
superscaffold8.170	1.00017807344043	1.00046215992941
superscaffold8.169	1.00005348841768	1.00009983917496
superscaffold8.168	0.999893094992227	1.00007126120362
superscaffold8.167	0.999957359108682	1.00030682501247
superscaffold8.166	1.00072069640304	1.00304942366499
superscaffold8.165	1.00027008121753	1.00106549461033
superscaffold8.164	1.00054036785236	1.00218579950962
superscaffold8.163	1.00029590179074	1.00079547895132
superscaffold8.162	0.999928441623902	1.00007289124152
superscaffold8.161	1.0002773148223	1.00119978671117
superscaffold8.160	1.00019059213189	1.00093665291105
superscaffold8.159	0.999987586317141	1.00007244537938
superscaffold8.158	0.999991992040168	1.00046333251646
superscaffold8.157	0.999978437102117	1.00012144923782
superscaffold8.156	0.999914565574844	1.00021911808113
superscaffold8.155	1.00005942377681	1.00070744644354
superscaffold8.154	1.00051312920107	1.00208599218675
superscaffold8.153	1.00027407614134	1.00071746051239
superscaffold8.152	1.00012743655273	1.00093276744892
superscaffold8.151	1.00092879152399	1.00397223299041
superscaffold8.150	1.00047961608571	1.0019195272893
superscaffold8.149	1.00071651476175	1.00316686898639
superscaffold8.148	0.999958872708586	1.00018061000531
superscaffold8.147	1.00059259655687	1.00262030889657
superscaffold8.146	1.00191823035109	1.00660044423166
superscaffold8.145	0.999884592640566	1.00012006346321
superscaffold8.144	1.00026696298233	1.00145687320834
superscaffold8.143	1.00006136504056	1.00069779902641
superscaffold8.142	1.00006531113569	1.00056757189936
superscaffold8.141	1.0009551162812	1.00397034052571
superscaffold8.140	0.999860781932983	0.999867963254723
superscaffold8.139	1.00008547285939	1.00086530592475
superscaffold8.138	1.0011816281187	1.00412022503904
superscaffold8.137	1.00007526293788	1.00050503290914
superscaffold8.136	1.00108217457756	1.00332764390432
superscaffold8.135	0.999822702709589	0.999823474430669
superscaffold8.134	1.00171485058354	1.0066330468875
superscaffold8.133	1.00047306137934	1.00215500354163
superscaffold8.132	1.00015738270391	1.00061526274481
superscaffold8.131	1.00157121150759	1.00584855227709
superscaffold8.130	1.00004294880348	1.00061417215613
superscaffold8.129	1.00008621164296	1.0002357224125
superscaffold8.128	1.00063560996235	1.00194646009649
superscaffold8.127	1.00120766437599	1.00493347798051
superscaffold8.126	1.00013242382551	1.00034399851297
superscaffold8.125	0.999930157567502	1.00013850596592
superscaffold8.124	1.00075327765259	1.00230606461364
superscaffold8.123	0.999875541767717	1.00002321574837
superscaffold8.122	1.00006715519175	1.00059456748623
superscaffold8.121	1.00085760854221	1.00243106614866
superscaffold8.120	1.00062981671152	1.00267842420387
superscaffold8.119	0.999979120462252	1.00008998987031
superscaffold8.118	1.00030732959714	1.00143363851943
superscaffold8.117	0.999842844244503	0.999934294677765
superscaffold8.116	1.00464908466012	1.01517775606171
superscaffold8.115	1.00020502541118	1.00130824140243
superscaffold8.114	1.0000305062902	1.00010713742299
superscaffold8.113	1.00002204874037	1.00060897756696
superscaffold8.112	1.00032879914894	1.00090809168142
superscaffold8.111	1.00047998036806	1.0020574815338
superscaffold8.110	1.0006316434035	1.00237751864399
superscaffold8.109	0.999967265585053	1.00006057960457
superscaffold8.108	1.00004680818439	1.00045611574956
superscaffold8.107	0.999951928896583	0.999993701982107
superscaffold8.106	1.00006073938975	1.00065058955072
superscaffold8.105	1.00040447087154	1.00178384156176
superscaffold8.104	1.00060300393854	1.00244688091748
superscaffold8.103	1.00154121020021	1.00481955830845
superscaffold8.102	1.00001050602264	1.00050687837769
superscaffold8.101	1.00428659099701	1.01604885739792
superscaffold8.100	1.00049664894939	1.00196961308083
superscaffold8.99	1.0000020712254	1.00006093218856
superscaffold8.98	1.00070636433341	1.00256030463166
superscaffold8.97	1.00022227108019	1.00124246336398
superscaffold8.96	1.00007547863281	1.00043304473681
superscaffold8.95	1.00018213166108	1.00119807023962
superscaffold8.94	1.00031988486728	1.00160446361897
superscaffold8.93	1.00028288987954	1.00122066968162
superscaffold8.92	1.00000030884273	1.00015848911574
