scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold8.227.1	-259001.399091042	4.9761117585976	-259012.18035	-259004.55875	-259000.952	-258997.90675	-258992.466575	4263.16116509816
superscaffold8.226.1	-1273683.93836125	13.5413666420266	-1273712.479475	-1273692.69825	-1273683.352	-1273674.588	-1273658.96895	953.733610904442
superscaffold8.225.1	-1268743.24422229	15.0030499032988	-1268773.72325	-1268753.4695	-1268742.6385	-1268732.68675	-1268715.24135	402.943178856286
superscaffold8.224.1	-1245057.62641583	16.6988406316771	-1245088.101925	-1245069.613	-1245057.9415	-1245046.44175	-1245023.872125	289.172427180165
superscaffold8.223.1	-1231600.24109396	14.9322391508182	-1231630.1591	-1231610.086	-1231599.841	-1231589.565	-1231572.202425	756.102883210548
superscaffold8.222.1	-1242274.87085583	13.7920931024819	-1242300.985175	-1242284.202	-1242274.998	-1242265.69575	-1242246.9905	1462.64417037217
superscaffold8.221.1	-1255611.25290479	13.5319943263497	-1255637.650875	-1255620.426	-1255611.234	-1255602.1695	-1255584.813625	1244.68538151767
superscaffold8.220.1	-1249919.77575667	14.3800263367501	-1249947.918725	-1249929.51525	-1249919.821	-1249909.618	-1249892.212775	934.576071218766
superscaffold8.219.1	-1243053.45121729	11.8286073917505	-1243077.09085	-1243061.1485	-1243053.427	-1243045.60825	-1243029.87755	951.165096484835
superscaffold8.218.1	-1323300.04987083	18.110856961582	-1323336.195975	-1323311.79025	-1323299.7135	-1323287.6495	-1323265.8734	283.165139778019
superscaffold8.217.1	-1297037.01062792	17.6538762922955	-1297070.4773	-1297049.03025	-1297037.197	-1297025.50075	-1297000.99815	387.102124802833
superscaffold8.216.1	-1244449.75429833	12.6436357649657	-1244475.48245	-1244457.98925	-1244449.55	-1244441.1965	-1244425.92585	1679.53555523746
superscaffold8.215.1	-1327033.74482708	15.0351568959587	-1327062.397275	-1327043.7425	-1327034.157	-1327024.2795	-1327002.54075	367.696253084658
superscaffold8.214.1	-1219695.91341917	13.2969036806354	-1219719.3827	-1219705.00975	-1219697.1255	-1219687.65325	-1219666.4252	300.44118440912
superscaffold8.213.1	-1315151.62424542	13.2941970734638	-1315179.00905	-1315160.37925	-1315151.0325	-1315142.54175	-1315126.88315	1246.40566533253
superscaffold8.212.1	-1301545.94697063	14.1068713074293	-1301572.5253	-1301555.649	-1301546.5685	-1301536.714	-1301516.65535	444.815577345453
superscaffold8.211.1	-1270689.59756667	12.940262930606	-1270714.0911	-1270698.5705	-1270690.2365	-1270680.8145	-1270663.96755	809.343945405324
superscaffold8.210.1	-1257505.97656333	13.1329932491789	-1257530.9204	-1257514.9635	-1257506.307	-1257497.276	-1257479.19695	860.998926785922
superscaffold8.209.1	-1247987.95726146	11.8033125504205	-1248012.583725	-1247995.37525	-1247987.6465	-1247980.08475	-1247965.447675	387.058045986437
superscaffold8.208.1	-1271509.21301563	10.9042277722627	-1271531.149175	-1271516.38375	-1271509.046	-1271501.98075	-1271487.9846	2035.38088911293
superscaffold8.207.1	-1185111.760455	11.9911696483787	-1185134.919675	-1185119.412	-1185112.004	-1185104.2555	-1185086.983	1088.57682300601
superscaffold8.206.1	-1186480.97210292	17.718333938872	-1186519.397325	-1186491.68725	-1186478.907	-1186468.841	-1186449.62985	116.059969213488
superscaffold8.205.1	-1263342.74381083	15.3318720602098	-1263373.648675	-1263352.904	-1263342.742	-1263332.24	-1263312.7043	445.250121913852
superscaffold8.204.1	-1247756.81683875	17.534743902052	-1247792.507375	-1247768.383	-1247756.166	-1247744.678	-1247723.565825	267.970122434145
superscaffold8.203.1	-1253547.77249833	13.9767725645021	-1253576.158325	-1253557.06875	-1253547.6435	-1253537.89725	-1253521.173375	673.662595503022
superscaffold8.202.1	-1280459.68879667	13.4755841473078	-1280485.6835	-1280469.0035	-1280459.922	-1280450.496	-1280432.47215	887.875607285171
superscaffold8.201.1	-1249074.31391813	15.6036161453271	-1249106.4077	-1249085.16725	-1249073.27	-1249062.587	-1249046.78355	404.034734907357
superscaffold8.200.1	-1223308.44625854	13.1989407912481	-1223334.4138	-1223317.247	-1223308.292	-1223299.80825	-1223282.9752	966.622142334905
superscaffold8.199.1	-1223871.17047646	15.9724021615554	-1223905.118325	-1223881.534	-1223870.6245	-1223860.1795	-1223841.41995	222.920049203244
superscaffold8.198.1	-1277662.48714687	16.3638886989445	-1277693.3746	-1277673.75125	-1277662.948	-1277651.7325	-1277628.5027	290.397622662778
superscaffold8.197.1	-1322259.24691104	18.9227806916587	-1322295.917	-1322272.97725	-1322258.779	-1322244.7125	-1322225.9727	58.0155106082978
superscaffold8.196.1	-1305168.69577125	14.8409617658854	-1305198.7864	-1305178.48575	-1305168.2065	-1305158.638	-1305140.021375	1235.00407605108
superscaffold8.195.1	-1320579.96290187	15.2958825775706	-1320610.52525	-1320590.12025	-1320579.3655	-1320569.897	-1320550.69995	1004.61723699664
superscaffold8.194.1	-1330032.12050187	15.2323345825648	-1330064.2437	-1330041.66825	-1330031.1975	-1330021.814	-1330004.34575	313.291803162625
superscaffold8.193.1	-1289341.50821979	15.8564799800197	-1289374.6361	-1289351.80425	-1289340.775	-1289330.569	-1289312.02675	490.123881109038
superscaffold8.192.1	-1281577.35926812	12.8219761929914	-1281604.022875	-1281585.95175	-1281576.7825	-1281568.49275	-1281553.378125	1077.12177834481
superscaffold8.191.1	-1336805.22063229	12.5476944383196	-1336831.248525	-1336813.289	-1336804.3915	-1336796.536	-1336782.985525	651.797992516897
superscaffold8.190.1	-1290749.05657729	13.6484021679671	-1290776.490225	-1290757.96275	-1290749.1485	-1290739.87275	-1290722.869375	1311.06823221373
superscaffold8.189.1	-1303513.49096333	13.2458853576022	-1303541.5625	-1303521.71725	-1303512.8965	-1303504.50625	-1303488.940375	955.854090327922
superscaffold8.188.1	-1313677.25754292	17.0007768844669	-1313710.57835	-1313688.6405	-1313676.9305	-1313665.484	-1313644.784525	224.100234001563
superscaffold8.187.1	-1243039.56404896	13.8307354165883	-1243068.050575	-1243048.7745	-1243038.8855	-1243029.81675	-1243014.226925	429.501377580936
superscaffold8.186.1	-1302815.20849938	11.3476156791646	-1302839.00005	-1302822.71525	-1302814.9025	-1302807.51875	-1302794.190825	815.7155158747
superscaffold8.185.1	-1218386.00172313	13.3340125858548	-1218411.797475	-1218394.84625	-1218386.013	-1218376.87275	-1218359.27825	871.010315981379
superscaffold8.184.1	-1257380.30525562	12.3886576316072	-1257405.3396	-1257388.42275	-1257379.84	-1257371.787	-1257357.3493	39.948321678364
superscaffold8.183.1	-1301189.43526792	13.765853023505	-1301215.570225	-1301198.9185	-1301189.627	-1301180.16475	-1301161.738925	957.433902160859
superscaffold8.182.1	-1240966.57008417	14.6585649320751	-1240995.87645	-1240976.29075	-1240966.5255	-1240956.66025	-1240938.282675	662.551926875832
superscaffold8.181.1	-1223508.38195312	13.3780925962624	-1223535.66	-1223516.8045	-1223508.2655	-1223499.56325	-1223482.5455	947.642914659714
superscaffold8.180.1	-1183074.53032125	14.7350650305223	-1183101.98785	-1183084.9555	-1183075.005	-1183064.6145	-1183044.718925	300.310185057444
superscaffold8.179.1	-1210567.86299167	17.0065153001628	-1210601.437075	-1210579.41925	-1210567.6755	-1210556.18425	-1210535.15195	471.215003932007
superscaffold8.178.1	-1295952.22484042	16.5942412496042	-1295983.222425	-1295963.75875	-1295952.5225	-1295941.254	-1295918.87135	321.887118220229
superscaffold8.177.1	-1261231.40318417	19.5113963126524	-1261268.126525	-1261244.802	-1261231.8535	-1261218.531	-1261191.81945	392.408264234059
superscaffold8.176.1	-1296439.49372229	18.7644871958346	-1296484.349675	-1296449.08225	-1296436.8825	-1296426.804	-1296410.93835	69.1392133251898
superscaffold8.175.1	-1307121.18491854	16.732673241813	-1307156.32405	-1307132.08425	-1307120.123	-1307109.50975	-1307090.557525	280.887306611159
superscaffold8.174.1	-1326822.579515	13.6058659443046	-1326849.676775	-1326831.43725	-1326822.286	-1326813.5375	-1326796.570925	910.519707374453
superscaffold8.173.1	-1308327.23340729	16.7404625911565	-1308360.2081	-1308338.15575	-1308327.4395	-1308316.635	-1308292.98285	351.068453482174
superscaffold8.172.1	-1300063.51380083	15.0070203801147	-1300093.08235	-1300073.6605	-1300063.3945	-1300053.163	-1300034.1414	953.18239039824
superscaffold8.171.1	-1226483.55837375	16.2046506638839	-1226514.655025	-1226494.46475	-1226483.7625	-1226472.6495	-1226450.61075	787.704955293888
superscaffold8.170.1	-1233524.43889312	15.9984272607435	-1233558.6594	-1233534.785	-1233523.4285	-1233513.26175	-1233495.45175	195.354663302104
superscaffold8.169.1	-1281567.27839687	12.9820601132701	-1281592.51625	-1281576.015	-1281567.201	-1281558.85525	-1281541.30615	1649.04559993371
superscaffold8.168.1	-1284489.41735688	12.1130691730588	-1284513.5372	-1284497.38	-1284489.0505	-1284481.429	-1284465.277425	1339.02113691646
superscaffold8.167.1	-1415159.48144292	12.4957325355324	-1415184.219575	-1415167.905	-1415159.142	-1415151.26725	-1415135.543725	1773.71851102888
superscaffold8.166.1	-1367717.11669479	14.9863143129721	-1367746.5981	-1367727.17325	-1367716.9245	-1367706.7075	-1367688.0528	1393.18525000612
superscaffold8.165.1	-1164654.59308458	13.0902007440447	-1164683.2058	-1164662.54375	-1164653.6045	-1164645.74675	-1164630.8409	462.758998535448
superscaffold8.164.1	-1316114.26174333	16.3800374246098	-1316147.225675	-1316125.38325	-1316113.909	-1316102.60225	-1316083.6548	187.880956350293
superscaffold8.163.1	-1351548.65820146	12.6611098453332	-1351574.091075	-1351557.07375	-1351548.395	-1351540.117	-1351524.172225	1261.51836638856
superscaffold8.162.1	-1372880.81874292	15.5044396680312	-1372913.56355	-1372890.67525	-1372880.363	-1372870.13	-1372852.07935	498.913051518898
superscaffold8.161.1	-1373108.72982875	17.9471382920443	-1373139.182025	-1373120.88825	-1373110.24	-1373099.28575	-1373065.646	73.6087259950395
superscaffold8.160.1	-1313410.37804563	15.2473412565969	-1313440.458025	-1313420.63325	-1313410.263	-1313400.38975	-1313380.3083	1220.30131905334
superscaffold8.159.1	-1262940.80885833	11.3950396565459	-1262962.745025	-1262948.375	-1262940.737	-1262933.038	-1262918.56955	2346.28513124615
superscaffold8.158.1	-1273687.06849708	13.9564166839027	-1273714.5143	-1273696.671	-1273687.1075	-1273677.667	-1273660.079575	876.403561502102
superscaffold8.157.1	-1371659.57212687	10.4628907456759	-1371680.66525	-1371666.576	-1371659.366	-1371652.65475	-1371638.716425	1481.73071404376
superscaffold8.156.1	-1425600.77156292	11.7396790935014	-1425623.77935	-1425608.75325	-1425600.7475	-1425592.51275	-1425577.87205	726.965944786952
superscaffold8.155.1	-1409766.57457938	15.426343075203	-1409795.5894	-1409776.96825	-1409767.0925	-1409756.52675	-1409734.9502	161.640480470359
superscaffold8.154.1	-1319529.43698646	10.7165204074505	-1319551.317025	-1319536.186	-1319529.028	-1319522.2735	-1319508.897225	1655.39858761371
superscaffold8.153.1	-1288931.00311104	11.4933512494967	-1288954.49365	-1288938.7435	-1288930.759	-1288923.05575	-1288909.343	1943.34413717146
superscaffold8.152.1	-1293357.67298854	14.9160627415968	-1293387.081075	-1293367.43725	-1293357.8835	-1293347.91425	-1293327.53575	655.244753292697
superscaffold8.151.1	-1283449.73705354	13.5152536607627	-1283477.246725	-1283458.70175	-1283449.45	-1283440.3395	-1283424.49045	254.192007087016
superscaffold8.150.1	-1341001.28031479	15.1919702294003	-1341032.180875	-1341011.131	-1341001.1155	-1340990.91175	-1340973.00695	1136.95150129211
superscaffold8.149.1	-1393850.54227292	14.5703421241006	-1393879.026775	-1393860.589	-1393850.598	-1393840.49075	-1393822.523675	131.306983198941
superscaffold8.148.1	-1262276.73377083	14.5860574826103	-1262306.8482	-1262286.35	-1262276.0765	-1262266.52525	-1262249.7519	474.350122385073
superscaffold8.147.1	-1358908.4482925	14.8455286469965	-1358938.3552	-1358918.29	-1358908.174	-1358898.16875	-1358880.268425	610.015021437453
superscaffold8.146.1	-1327229.80355167	16.6602690183299	-1327263.3395	-1327240.9045	-1327229.314	-1327218.285	-1327198.064525	367.081372702586
superscaffold8.145.1	-1427659.95831646	11.9759703987215	-1427683.231	-1427667.90925	-1427660.2515	-1427651.7705	-1427636.5109	659.843881296833
superscaffold8.144.1	-1337901.67096271	12.0398927939992	-1337925.95935	-1337909.621	-1337901.5115	-1337893.54375	-1337878.768175	1783.65896111586
