scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold8.227.1	14.8933052083333	0.64743401830448	13.65295	14.45275	14.869	15.31825	16.199025	4748.97551174365
superscaffold8.226.1	98.65532875	1.98308994537586	94.6669	97.317	98.6655	99.973	102.5182	3608.12068282519
superscaffold8.225.1	81.85018	1.83319913286518	78.3539	80.60575	81.7885	83.04325	85.529125	4126.73941672272
superscaffold8.224.1	87.7575677083333	1.81505349480301	84.356925	86.49475	87.72	88.93075	91.35125	2305.86060464947
superscaffold8.223.1	88.73433625	1.94171047194056	85.034825	87.426	88.684	90.0075	92.656025	4249.46407927289
superscaffold8.222.1	93.4656108333333	2.05882536407881	89.629	92.04075	93.3725	94.8155	97.645325	4407.4597409611
superscaffold8.221.1	94.0980364583333	1.83044962750838	90.668875	92.80775	94.0465	95.374	97.72705	4524.35596495129
superscaffold8.220.1	102.792676875	2.08854537505656	98.827875	101.376	102.7755	104.16325	106.927275	4317.39344994722
superscaffold8.219.1	71.3615070833333	1.48245386952079	68.42785	70.36075	71.354	72.32525	74.29315	4344.83597789008
superscaffold8.218.1	43.3611860416667	0.954794171621009	41.51895	42.7005	43.348	44.0125	45.24615	1575.12414178523
superscaffold8.217.1	97.90676625	2.36891827043064	93.451725	96.306	97.858	99.476	102.71715	4267.25255467383
superscaffold8.216.1	98.7896683333333	1.70784917859689	95.575	97.628	98.755	99.90625	102.26925	3867.34251365744
superscaffold8.215.1	95.11636625	1.71925963170523	91.801775	93.9595	95.094	96.25125	98.5525	4357.34336198519
superscaffold8.214.1	87.5042320833333	2.18279144121004	83.4519	85.989	87.444	88.92	91.859125	4800.00000000001
superscaffold8.213.1	95.2533014583333	3.56198308080911	89.057875	92.7825	95.0065	97.4685	102.908025	4284.40547050977
superscaffold8.212.1	78.5384710416667	1.48737183348024	75.64575	77.563	78.5195	79.51475	81.5314	3939.48646007326
superscaffold8.211.1	108.458828541667	3.25414828830615	102.8139	106.20775	108.192	110.39575	115.581475	4602.10068283813
superscaffold8.210.1	86.21416625	1.61828961526587	83.060975	85.14675	86.195	87.263	89.454225	3530.44515609567
superscaffold8.209.1	124.313610625	3.41087113906848	117.948725	121.938	124.2705	126.513	131.18915	3953.05568945124
superscaffold8.208.1	115.925650416667	2.20082846642169	111.656875	114.41675	115.907	117.428	120.289475	4800.00000000001
superscaffold8.207.1	79.9569189583333	1.48006019469752	77.100925	78.97	79.927	80.95225	82.8883	4280.2024983468
superscaffold8.206.1	88.0327960416667	1.90009426024532	84.418875	86.70875	88.005	89.33925	91.835025	4119.16138040831
superscaffold8.205.1	90.1166516666667	1.77080885776796	86.74285	88.90825	90.0915	91.30525	93.6714	4312.01599396026
superscaffold8.204.1	117.484039166667	2.43648114916039	112.817875	115.83175	117.4485	119.08725	122.520275	3563.1389965201
superscaffold8.203.1	90.0095845833333	2.14849953048108	85.965825	88.5705	89.941	91.395	94.349075	4800
superscaffold8.202.1	116.564734375	2.58727347319018	111.72195	114.76675	116.4835	118.281	121.716	3991.21455138113
superscaffold8.201.1	111.972581041667	2.42461756730239	107.4067	110.27875	111.9285	113.5675	116.904025	3987.19527057457
