scaffold	point_estimate	UPPER_CI
superscaffold92.16	1.00030869967073	1.00060732903896
superscaffold92.15	1.00110919877426	1.00442977678458
superscaffold92.14	1.0024835700616	1.00893910250698
superscaffold92.13	1.00049213294669	1.00224555818156
superscaffold92.12	1.01760499234656	1.06202178807393
superscaffold92.11	1.00619767136775	1.0196052488254
superscaffold92.10	1.00014840907282	1.00092917614858
superscaffold92.9	1.00034084028379	1.00142330248842
superscaffold92.8	1.0008227301919	1.00268340837959
superscaffold92.7	1.00013917645311	1.00105618137127
superscaffold92.6	1.00043272378769	1.00209633119645
superscaffold92.5	1.00031113459838	1.00166498301652
superscaffold92.4	1.00180987987824	1.00509638868351
superscaffold92.3	1.00080231591535	1.0027113603738
superscaffold92.2	1.00434764553777	1.01422426195096
superscaffold92.1	1.00007104216395	1.00019702314443
superscaffold83.4	1.00042007455522	1.00110455645183
superscaffold83.3	1.00272632271692	1.00539577444213
superscaffold83.2	1.00029481348491	1.00156649446955
superscaffold83.1	0.999929967192932	0.999973692840172
superscaffold88.2	1.00056796383211	1.00088093685623
superscaffold88.1	1.00031558669899	1.00047347077578
superscaffold63.11	1.00086988590173	1.0018298021758
superscaffold63.10	1.00017354033995	1.00064433952362
superscaffold63.9	1.00026751748923	1.00117568492824
superscaffold63.8	1.00006579433024	1.00017783312268
superscaffold63.7	1.0000393385783	1.00062246762849
superscaffold63.6	1.00776059793	1.02610671218297
superscaffold63.5	1.00064731596879	1.00292760452753
superscaffold63.4	1.00050341672203	1.0023654169243
superscaffold63.3	1.01753724055602	1.0593349667178
superscaffold63.2	1.00056695403601	1.00211307456754
superscaffold63.1	0.999871968242185	0.999950818378747
superscaffold93.29	1.00062844203209	1.00284974137567
superscaffold93.28	0.999867355375011	0.999922742841793
superscaffold93.27	1.18859707954666	1.54272697368456
superscaffold93.26	1.00216373691289	1.00844117339551
superscaffold93.25	1.00051387052327	1.0021819592614
superscaffold93.24	1.00055682274794	1.00236003640855
superscaffold93.23	1.00257257373891	1.00973646634364
superscaffold93.22	1.00002289928869	1.00011440345608
superscaffold93.21	1.00006744082935	1.0002177697615
superscaffold93.20	0.999931942647832	0.999974023402781
superscaffold93.19	1.00031444572125	1.00132891948941
superscaffold93.18	1.00038062832289	1.00184735162952
superscaffold93.17	1.00012763355726	1.00047524100414
superscaffold93.16	1.00024699568785	1.00078257007369
superscaffold93.15	1.02715115774089	1.08821074420982
superscaffold93.14	1.00029555818318	1.00094291575047
superscaffold93.13	1.00544779816541	1.02032952928494
superscaffold93.12	1.00029615315031	1.00160027285728
superscaffold93.11	1.00305971211804	1.01172981447364
superscaffold93.10	0.999858161350544	0.999924048876819
superscaffold93.9	1.01192741615741	1.0420928742676
superscaffold93.8	1.09511810776833	1.29742575972099
superscaffold93.7	1.00137227405146	1.00539397695428
superscaffold93.6	1.00257766525883	1.00664791147937
superscaffold93.5	1.00397211906938	1.00792481512447
superscaffold93.4	1.00134155699364	1.00536554050601
superscaffold93.3	1.00043088342223	1.00202868935305
superscaffold93.2	1.00043150972511	1.00159058413801
superscaffold93.1	1.002828854551	1.01076943464848
superscaffold69-1.31	1.00040381074923	1.00091817668725
superscaffold69-1.30	1.00785326646564	1.02789218187422
superscaffold69-1.29	0.999996620030986	1.00015850772812
superscaffold69-1.28	1.00754068570495	1.02762297836827
superscaffold69-1.27	1.00023429562233	1.0010122639832
superscaffold69-1.26	1.00104520501037	1.00394854491252
superscaffold69-1.25	1.00009793806809	1.00036239223123
superscaffold69-1.24	1.00063734960431	1.00193253118506
superscaffold69-1.23	1.00075782521373	1.00295175170551
superscaffold69-1.22	1.00135596789735	1.00539835667843
superscaffold69-1.21	1.00037528848531	1.00039299963519
superscaffold69-1.20	0.999806005901405	0.999836236210227
superscaffold69-1.19	1.00007840556753	1.00041657593467
superscaffold69-1.18	1.00095935664458	1.00210266466695
superscaffold69-1.17	1.00021057572255	1.00078662619061
superscaffold69-1.16	1.00126321992153	1.00477731583435
superscaffold69-1.15	1.00082017626743	1.00349333711291
superscaffold69-1.14	1.00028550384619	1.00149007143081
superscaffold69-1.13	1.00255379392772	1.00980371422103
superscaffold69-1.12	0.999953525709671	1.00029590367249
superscaffold69-1.11	1.00094660716702	1.00398714393523
superscaffold69-1.10	1.00094950495197	1.0040439948037
superscaffold69-1.9	1.00037595842358	1.00182316623184
superscaffold69-1.8	1.00015359090547	1.00070140523012
superscaffold69-1.7	1.00032234195168	1.00127964945155
superscaffold69-1.6	1.00088495557483	1.00333786896694
superscaffold69-1.5	1.00180243759314	1.00713341155056
superscaffold69-1.4	1.00028759910842	1.00077781093711
superscaffold69-1.3	1.00006052891342	1.0001522944301
superscaffold69-1.2	1.00196547057685	1.00632032009363
superscaffold69-1.1	1.00135086901236	1.00519738998075
superscaffold67.18	0.99983558754738	0.999953176717715
superscaffold67.17	1.00231866224171	1.00760751382321
superscaffold67.16	0.999917864007359	1.00020065141994
superscaffold67.15	1.00160704097495	1.00562634902904
superscaffold67.14	1.00032595530295	1.00159838667347
superscaffold67.13	1.00215922380811	1.00751038720313
superscaffold67.12	1.00144628089273	1.0047032832437
superscaffold67.11	1.00170930756954	1.00531690770457
superscaffold67.10	1.0004157955662	1.00118923646556
superscaffold67.9	1.00441589996799	1.01658860972891
superscaffold67.8	1.00148791736735	1.004315788018
superscaffold67.7	1.00090324787894	1.00348264811819
superscaffold67.6	1.00203404506805	1.00741864379705
superscaffold67.5	1.00093102805698	1.00244649264965
superscaffold67.4	1.00107148727176	1.00398926458513
superscaffold67.3	1.00074625010631	1.00329475641468
superscaffold67.2	1.00038163712565	1.00082416244248
superscaffold67.1	1.00034725221223	1.00167678997702
superscaffold62.9	0.999979450498753	1.00029723926284
superscaffold62.8	1.00004991878603	1.00059726056478
superscaffold62.7	1.00527996138004	1.01830623099988
superscaffold62.6	1.00108357698312	1.00344024935309
superscaffold62.5	0.999931133588184	0.999968498897636
superscaffold62.4	0.999979689909538	1.00017261314461
superscaffold62.3	1.00430553993883	1.01385245408984
superscaffold62.2	1.00100372168305	1.00382717533268
superscaffold62.1	1.0002369036176	1.00043911692324
superscaffold36.12	1.00080104155996	1.00296576304507
superscaffold36.11	1.00014134249	1.00038589554595
superscaffold36.10	1.00040994885118	1.00206190897531
superscaffold36.9	1.00307544181352	1.00758941290662
superscaffold36.8	1.00029900562974	1.00096812640806
superscaffold36.7	1.00043731330624	1.00140865426776
superscaffold36.6	1.00068951061918	1.00163102481329
superscaffold36.5	1.00161529741608	1.00567620743149
superscaffold36.4	1.00158464277451	1.00496031217806
superscaffold36.3	1.01166023420132	1.04209437200379
superscaffold36.2	1.01679921013393	1.05710759351564
superscaffold36.1	1.00002205878712	1.00021889469327
