scaffold	point_estimate	UPPER_CI
superscaffold92.16	1.00097297251486	1.0017871376876
superscaffold92.15	1.00249622419147	1.00958296156719
superscaffold92.14	1.01370026747522	1.04304858187746
superscaffold92.13	1.00016296808313	1.00102127108544
superscaffold92.12	1.02528559405715	1.08371187960442
superscaffold92.11	1.00888872203539	1.02789158843109
superscaffold92.10	1.00098364234069	1.00324475229968
superscaffold92.9	1.00069423347055	1.00235599972652
superscaffold92.8	1.0018681123949	1.00534880565041
superscaffold92.7	1.00038114838044	1.00178205826712
superscaffold92.6	1.00152216343575	1.00487771063685
superscaffold92.5	1.00023296434912	1.0007484715919
superscaffold92.4	1.00311649923236	1.00562725751486
superscaffold92.3	1.00006903719084	1.00079744504282
superscaffold92.2	1.00504044190285	1.01265954383335
superscaffold92.1	0.999961701142376	1.0001908106152
superscaffold83.4	1.0000291169523	1.00015814246768
superscaffold83.3	1.00224315365227	1.00519490695738
superscaffold83.2	1.00019583571083	1.00115198692921
superscaffold83.1	1.00025941311933	1.00038962750684
superscaffold88.2	1.00004554795833	1.00056933573232
superscaffold88.1	1.0013616170071	1.00164287288038
superscaffold63.11	1.00126079787373	1.00221942049488
superscaffold63.10	1.00009004180893	1.00048534139996
superscaffold63.9	1.00045064671662	1.00216352191232
superscaffold63.8	1.00036205639762	1.00188033719523
superscaffold63.7	1.00130463512196	1.0050120960558
superscaffold63.6	1.00575795784438	1.01755926120192
superscaffold63.5	1.00108587729334	1.00316515398038
superscaffold63.4	1.00101098794151	1.00402298098287
superscaffold63.3	1.03822920144667	1.12695301361999
superscaffold63.2	1.00172952936418	1.00643469687668
superscaffold63.1	1.00166462112655	1.00610422294934
superscaffold93.29	1.00184986103354	1.00711644843777
superscaffold93.28	1.00090957754314	1.00275968465052
superscaffold93.27	1.42343348970641	2.10435072475334
superscaffold93.26	1.00105574053851	1.00438996143899
superscaffold93.25	1.00141098501107	1.00460191720398
superscaffold93.24	1.00051339944487	1.00225588375008
superscaffold93.23	1.00435138942417	1.01588796666788
superscaffold93.22	1.00056808267918	1.00217907514401
superscaffold93.21	1.00026443415053	1.00138882802933
superscaffold93.20	0.999866841726306	0.999894149573833
superscaffold93.19	1.0000681161349	1.00064691238378
superscaffold93.18	1.00047029281087	1.0012792082609
superscaffold93.17	1.00035164493599	1.00122014351866
superscaffold93.16	1.00081541261437	1.00095197484524
superscaffold93.15	1.03185370633724	1.10046858704574
