scaffold	point_estimate	UPPER_CI
superscaffold92.16	1.0003545894611	1.00183636660154
superscaffold92.15	1.00001740720971	1.00015079753483
superscaffold92.14	1.0001013810399	1.00013048032918
superscaffold92.13	1.00064098786614	1.00252045620954
superscaffold92.12	1.00015598716706	1.00055767510885
superscaffold92.11	1.00030774789859	1.00142361629941
superscaffold92.10	1.00022208227025	1.00046950313618
superscaffold92.9	1.00004781189772	1.00048230067875
superscaffold92.8	1.00040297849063	1.00125685418913
superscaffold92.7	1.00005481932521	1.00023285854936
superscaffold92.6	1.00053756701441	1.00098441324068
superscaffold92.5	1.00081262808991	1.00324925421258
superscaffold92.4	0.999924286401869	1.00018875245028
superscaffold92.3	1.00036960134616	1.0012643400994
superscaffold92.2	1.00239950242295	1.00778098774029
superscaffold92.1	1.00019279490176	1.00080067484991
superscaffold83.4	1.00032497323629	1.00138474403334
superscaffold83.3	0.999841362163538	0.99993996245608
superscaffold83.2	1.00007988121406	1.00070115797294
superscaffold83.1	1.00047224808491	1.00180120807663
superscaffold88.2	1.00010559501952	1.00079889546535
superscaffold88.1	1.00003988612972	1.00052257472146
superscaffold63.11	1.00040111312173	1.00180561790611
superscaffold63.10	1.00059135751136	1.00254069788094
superscaffold63.9	1.00009595574107	1.00019267339001
superscaffold63.8	0.999943620895787	1.00028149089129
superscaffold63.7	1.0002547473938	1.00132369964367
superscaffold63.6	0.999972288975302	1.00000042487773
superscaffold63.5	1.00094288849582	1.00346369843229
superscaffold63.4	1.0003614473252	1.00136418136369
superscaffold63.3	1.00035766850236	1.00081757989184
superscaffold63.2	1.00023473103063	1.00112399574797
superscaffold63.1	1.00023903203895	1.00119350580298
superscaffold93.29	1.00009656623563	1.00015488244393
superscaffold93.28	1.00012549214115	1.0009782546697
superscaffold93.27	1.00207685959853	1.00406054777607
superscaffold93.26	1.00028232071188	1.00137789120853
superscaffold93.25	1.00437844069313	1.01604771298155
superscaffold93.24	1.00005587719388	1.00076433468175
superscaffold93.23	1.00088109082071	1.00359995408981
superscaffold93.22	1.00026315447586	1.00126366658612
superscaffold93.21	1.00046578487277	1.00220409161524
superscaffold93.20	0.999860143959487	0.99998605526069
superscaffold93.19	1.00011475797262	1.00064450926098
superscaffold93.18	0.999873592056709	0.99993943309457
superscaffold93.17	1.00019094907898	1.00064917335965
superscaffold93.16	0.999984298385915	1.00033193524273
superscaffold93.15	0.999907275561521	0.999997004129524
superscaffold93.14	1.0007117765505	1.00251145479793
superscaffold93.13	1.0005064964107	1.00165054420336
superscaffold93.12	1.00048730829044	1.00161689727128
superscaffold93.11	1.00151806765904	1.00593331245525
superscaffold93.10	1.00008241595954	1.00051857309296
superscaffold93.9	1.0086202758347	1.03032756171994
superscaffold93.8	1.06652776856334	1.21483765396025
superscaffold93.7	1.00021830997643	1.00094295063475
superscaffold93.6	1.00021186172081	1.00114314100885
superscaffold93.5	1.00006507534694	1.00021479509217
superscaffold93.4	1.00044379545574	1.0021531900548
superscaffold93.3	1.0000950592622	1.00070430361967
