scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold92.16.1	23.2879166666667	2.46467432712576	19	22	23	25	28	1621.39131309747
superscaffold92.15.1	33.6416666666667	2.84333105698545	28	32	33	35	39	2108.74631306155
superscaffold92.14.1	36.4175	2.63249960644892	31	35	36	38	42	2543.50375679003
superscaffold92.13.1	37.7972916666667	2.56979119687047	33	36	38	39	43	1713.46540840784
superscaffold92.12.1	34.7975	3.05008445973261	29	33	35	37	41	194.367937872822
superscaffold92.11.1	36.4572916666667	2.73955402194354	31	35	36	38	42	420.096547612282
superscaffold92.10.1	38.11	2.38282036289989	34	36	38	40	43	2890.07045142998
superscaffold92.9.1	43.011875	2.65319628685292	38	41	43	45	48	2177.67612996264
superscaffold92.8.1	36.820625	2.58880844752055	32	35	37	38	42	1609.89082908164
superscaffold92.7.1	41.7689583333333	2.33176488590857	38	40	42	43	47	1194.55502912466
superscaffold92.6.1	39.693125	3.06364295111269	34	38	40	42	46	1407.13350704236
superscaffold92.5.1	30.9454166666667	2.49682854334927	26	29	31	33	36	1538.04420006636
superscaffold92.4.1	36.1435416666667	2.13661847954278	32	35	36	37	41	797.335207050857
superscaffold92.3.1	36.2654166666667	2.2239606733513	32	35	36	38	41	1925.53588395803
superscaffold92.2.1	27.7652083333333	1.89999998857584	24	26	28	29	32	1118.82465165795
superscaffold92.1.1	23.8316666666667	2.13300142413523	20	22	24	25	28	2245.42632896235
superscaffold83.4.1	12.845	1.35358414573738	11	12	13	14	16	4594.97446008584
superscaffold83.3.1	37.883125	2.81873857766234	32	36	38	40	43	431.520921126841
superscaffold83.2.1	29.1779166666667	2.18826642176515	25	28	29	31	34	553.955270538682
superscaffold83.1.1	32.7027083333333	2.56601787955843	28	31	33	34	38	1148.3099122508
superscaffold88.2.1	25.2675	1.80553489051957	22	24	25	26	29	1001.81217521058
superscaffold88.1.1	29.7627083333333	2.58301328995979	25	28	30	31	35	1204.10931620352
superscaffold63.11.1	21.063125	1.71821281788954	18	20	21	22	25	1542.41958030763
superscaffold63.10.1	37.7764583333333	3.0378298244014	32	36	38	40	44	1596.94926052957
superscaffold63.9.1	36.01875	2.72112557227321	31	34	36	38	42	3202.75381784911
superscaffold63.8.1	39.4579166666667	2.46701512165499	35	38	39	41	45	2869.70098292904
superscaffold63.7.1	41.3879166666667	2.67600682684745	37	39	41	43	47	3530.4808258168
superscaffold63.6.1	44.2297916666667	3.41800449051184	38	42	44	47	51	538.655194233863
superscaffold63.5.1	35.7077083333333	2.40653217777458	32	34	35	37	41	2905.29875650314
superscaffold63.4.1	30.7297916666667	2.55126801643803	26	29	30.5	32	36	629.842327130768
superscaffold63.3.1	30.3652083333333	3.11516766741317	25	28	30	32	37	274.953744140409
superscaffold63.2.1	31.074375	2.49552415026151	26	29	31	33	36	3024.52198950924
superscaffold63.1.1	45.5327083333333	2.60054592148282	41	44	45	47	51	3020.03147776675
superscaffold93.29.1	11.035625	1.15002089410882	10	10	11	12	14	4210.19216881074
superscaffold93.28.1	27.3752083333333	2.58923870522863	23	26	27	29	33	3810.30131227729
superscaffold93.27.1	32.6045833333333	2.17227885152107	29	31	32	34	37	884.260134397628
superscaffold93.26.1	31.5752083333333	2.48256474065289	27	30	31	33	37	2528.9637950073
superscaffold93.25.1	33.46625	2.49928235167423	29	32	33	35	39	2575.46226271035
superscaffold93.24.1	31.6072916666667	2.47187744815662	27	30	31	33	37	2291.84797679524
superscaffold93.23.1	27.495625	2.71727849938451	22	26	27	29	33	714.822582186552
superscaffold93.22.1	30.1072916666667	2.92718270377878	25	28	30	32	36	1606.22658268609
superscaffold93.21.1	29.9097916666667	2.65184574390792	25	28	30	32	35	3455.29201658394
superscaffold93.20.1	23.9322916666667	2.72107511846065	19	22	24	26	30	2179.6690526962
superscaffold93.19.1	32.9679166666667	2.50030459351652	28	31	33	35	38	2257.14031707306
superscaffold93.18.1	44.35	2.89943984358066	39	42	44	46	50	1676.68820411405
superscaffold93.17.1	22.3060416666667	2.6554376656237	18	20	22	24	28	2996.47448960486
superscaffold93.16.1	20.4610416666667	2.31930727705458	16	19	20	22	25	899.80318323564
superscaffold93.15.1	27.0160416666667	2.00186227070662	23	26	27	28	31	108.391467226539
superscaffold93.14.1	33.5922916666667	2.46463271461171	29	32	34	35	39	1187.56201683374
superscaffold93.13.1	27.6625	2.33375128972837	23	26	28	29	32	935.224616712184
superscaffold93.12.1	33.0575	2.65648526071655	28	31	33	35	38	1062.81904983863
superscaffold93.11.1	28.8764583333333	2.8483128294674	23	27	29	31	34	167.674447746639
superscaffold93.10.1	13.4141666666667	2.07790731894961	10	12	13	15	17	752.647232486196
superscaffold93.9.1	22.07875	2.6718194143919	17	20	22	24	27.0249999999996	228.921472908903
superscaffold93.8.1	29.7379166666667	2.19540803834207	26	28	30	31	34	332.207481332263
superscaffold93.7.1	14.2975	1.07629073691297	12	14	14	15	17	4302.31627414934
superscaffold93.6.1	30.2970833333333	1.57948131833824	28	29	30	31	34	1417.87765520091
superscaffold93.5.1	47.5327083333333	2.3531185849289	43	46	48	49	52	396.021620954153
superscaffold93.4.1	30.4933333333333	2.03069725289532	27	29	31	32	34	1125.27875890913
superscaffold93.3.1	29.6525	2.66409253581463	25	28	30	31	35	1305.6271491366
superscaffold93.2.1	30.38125	2.17461881080016	26	29	30	32	35	1571.66578802925
superscaffold93.1.1	36.4316666666667	2.99550217339603	31	34	36	38	43	413.706274460121
superscaffold69-1.31.1	30.7477083333333	1.78235866632779	28	29.75	31	32	34	2874.54681995364
superscaffold69-1.30.1	30.900625	2.44129226507719	26	29	31	33	36	371.865453330471
superscaffold69-1.29.1	29.8410416666667	2.46186648273239	25	28	30	31	35	2852.44484334679
superscaffold69-1.28.1	25.2302083333333	2.1755915378642	21	24	25	27	30	584.238403081083
superscaffold69-1.27.1	33.489375	2.3854222356955	29	32	33	35	38	2284.94753432718
superscaffold69-1.26.1	41.2304166666667	2.69499621873906	36	39	41	43	46	1737.48020949158
superscaffold69-1.25.1	40.1120833333333	2.39571834360492	35	39	40	42	45	2452.05599431606
superscaffold69-1.24.1	34.0052083333333	2.88130365830144	29	32	34	36	40	2006.76805332332
superscaffold69-1.23.1	34.575625	3.09219817358086	29	32	34	37	41	1493.54278171493
superscaffold69-1.22.1	28.5854166666667	2.99916565346666	23	26	28	31	35	1873.33292342608
superscaffold69-1.21.1	26.0125	2.7392499539986	21	24	26	28	32	3205.64231261767
superscaffold69-1.20.1	31.3410416666667	2.28235641856211	27	30	31	33	36	4869.88128193517
superscaffold69-1.19.1	24.085625	2.37756269323932	20	22	24	26	29	3617.36880270899
superscaffold69-1.18.1	32.163125	2.73925083356628	27	30	32	34	38	2495.47975209328
superscaffold69-1.17.1	33.2270833333333	2.7486373204806	28	31	33	35	39	3004.70963006153
superscaffold69-1.16.1	37.0583333333333	3.13094333071809	31	35	37	39	43	1307.31159311545
superscaffold69-1.15.1	35.106875	2.19559187866173	31	34	35	36	40	921.334685375134
superscaffold69-1.14.1	31.0389583333333	2.63631153832845	26	29	31	33	37	863.867072292323
superscaffold69-1.13.1	33.29625	2.66910786581082	28	31	33	35	39	2374.25837484347
superscaffold69-1.12.1	27.050625	3.40141722191273	20	25	27	29	34	1222.4711848232
superscaffold69-1.11.1	26.1520833333333	2.3100466933589	22	25	26	28	31	2357.53932989132
superscaffold69-1.10.1	28.3545833333333	2.78613612826946	23	26	28	30	34	3520.19507892361
superscaffold69-1.9.1	37.5125	2.55822996020235	33	36	37	39	43	2257.45276469084
superscaffold69-1.8.1	30.3227083333333	2.83435612788007	25	28	30	32	36	2415.41438376665
superscaffold69-1.7.1	32.0147916666667	2.57125784549827	27	30	32	34	37	1447.37074536022
superscaffold69-1.6.1	32.1054166666667	2.47835636969351	28	30	32	34	37	1215.21058141017
superscaffold69-1.5.1	30.9220833333333	2.76836756296432	26	29	31	33	37	1883.01285766638
superscaffold69-1.4.1	30.1264583333333	3.00857425088037	24.975	28	30	32	36	919.282512673498
superscaffold69-1.3.1	42.5872916666667	3.69727080096033	36	40	43	45	50	1202.28598195796
superscaffold69-1.2.1	32.93875	2.97800482051011	27	31	33	35	39	2761.15142272098
superscaffold69-1.1.1	31.8735416666667	2.43508082558763	27	30	32	33	37	2410.99532226024
superscaffold67.18.1	12.3647916666667	1.42961923855867	10	11	12	13	15	4246.62858386043
superscaffold67.17.1	34.025625	2.37589864662559	30	32	34	35.25	39	1166.78127676985
