scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold92.16.1	-533604.1409875	10.6412833384923	-533624.083675	-533611.35225	-533604.2145	-533597.34425	-533581.95315	1909.90959745912
superscaffold92.15.1	-807675.189763333	12.1723342824605	-807699.3556	-807683.33025	-807674.972	-807666.81875	-807652.13495	1680.73783903725
superscaffold92.14.1	-770533.95552375	12.5569869562965	-770559.91055	-770541.88725	-770533.604	-770525.242	-770511.139025	264.003337248517
superscaffold92.13.1	-768726.599616875	12.3341224857772	-768750.97505	-768734.8225	-768726.4965	-768718.40775	-768702.9273	1876.02935820392
superscaffold92.12.1	-710969.085770833	12.5833516375669	-710994.6201	-710977.479	-710968.3885	-710960.39425	-710945.482575	258.813289443054
superscaffold92.11.1	-654837.751760208	11.9276851513967	-654863.019825	-654845.62925	-654836.7275	-654829.16975	-654816.619475	174.768808399197
superscaffold92.10.1	-751910.049251458	11.4654146325867	-751933.543475	-751917.457	-751909.5365	-751901.89075	-751889.01995	1818.99719792183
superscaffold92.9.1	-641980.17082625	11.9382329539652	-642004.63525	-641988.06975	-641979.8675	-641971.8615	-641957.93535	1840.07854420676
superscaffold92.8.1	-613249.315096458	13.7557283110508	-613276.9552	-613258.63525	-613248.6535	-613239.55375	-613224.45905	657.246556921519
superscaffold92.7.1	-715670.948774167	10.8027252509698	-715693.512775	-715677.87125	-715670.736	-715663.68225	-715650.753375	882.448092807092
superscaffold92.6.1	-694887.209306042	14.7712245863744	-694915.55525	-694897.61425	-694887.187	-694876.866	-694858.859575	1006.11213413438
superscaffold92.5.1	-740804.039346667	11.9745406403607	-740827.643525	-740812.053	-740803.8015	-740796.0195	-740780.623875	1151.05806567287
superscaffold92.4.1	-729082.418206875	13.1613014633634	-729107.4541	-729091.2025	-729082.8445	-729073.3765	-729056.6021	672.551286090933
superscaffold92.3.1	-723702.924266458	11.1098123632238	-723725.84405	-723710.259	-723702.6665	-723695.11375	-723682.2496	1357.18537341021
superscaffold92.2.1	-548939.749762917	10.9482759342711	-548963.8579	-548946.27925	-548939.1595	-548932.3665	-548919.767025	701.559680757338
superscaffold92.1.1	-472910.231349583	9.24228684092233	-472928.521975	-472916.16725	-472910.327	-472904.45075	-472891.317425	2373.31993000181
superscaffold83.4.1	-217079.290728333	5.52712832168967	-217090.375075	-217082.65625	-217079.135	-217075.8055	-217068.569675	4306.90373916623
superscaffold83.3.1	-741526.07432875	15.6260732123518	-741556.875375	-741536.4745	-741526.187	-741515.3485	-741495.46065	381.88414613807
