scaffold	point_estimate	UPPER_CI
superscaffold35.34	1.00092180217041	1.00241213786923
superscaffold35.33	1.00277217119491	1.00873608868018
superscaffold35.32	1.00944220996249	1.03378330604064
superscaffold35.31	1.00072911943164	1.00305382004293
superscaffold35.30	1.00130241270981	1.00506127670797
superscaffold35.29	1.00009694353014	1.00024257224746
superscaffold35.28	1.00450772995468	1.01652494316638
superscaffold35.27	1.0020035028459	1.00725180312756
superscaffold35.26	1.00080794276904	1.00341889279485
superscaffold35.25	1.00050894389579	1.00079479338568
superscaffold35.24	1.00140428221462	1.00565854485143
superscaffold35.23	1.00001212449596	1.00054973695489
superscaffold35.22	1.00057633477599	1.00229700807727
superscaffold35.21	1.00027932842064	1.00133364613104
superscaffold35.20	1.00333780239016	1.01195187964406
superscaffold35.19	1.00108580878453	1.00410281484185
superscaffold35.18	1.00242129411741	1.0092420870444
superscaffold35.17	1.00267294338486	1.01031028671371
superscaffold35.16	1.00022912404757	1.00039373895601
superscaffold35.15	1.00033886938378	1.00135339609591
superscaffold35.14	1.00188617314791	1.00701074320319
superscaffold35.13	1.00457251147506	1.0171785273119
superscaffold35.12	1.00007868839967	1.0007275851811
superscaffold35.11	1.00100350186345	1.00414067337801
superscaffold35.10	1.00305324015542	1.01074591855718
superscaffold35.9	1.00018889997932	1.0012427600771
superscaffold35.8	1.00038461095305	1.00194614801055
superscaffold35.7	1.00070084924494	1.00311926253654
superscaffold35.6	1.00283221505745	1.01023843850718
superscaffold35.5	1.00028622654713	1.00156799277792
superscaffold35.4	1.00022949230589	1.0010146666706
superscaffold35.3	1.00134169386425	1.00488402807469
superscaffold35.2	1.00019008595615	1.00058631612971
superscaffold35.1	1.00090826942268	1.0033046686281
superscaffold35.34	1.00092180217041	1.00241213786923
superscaffold35.33	1.00277217119491	1.00873608868018
superscaffold35.32	1.00944220996249	1.03378330604064
superscaffold35.31	1.00072911943164	1.00305382004293
superscaffold35.30	1.00130241270981	1.00506127670797
superscaffold35.29	1.00009694353014	1.00024257224746
superscaffold35.28	1.00450772995468	1.01652494316638
superscaffold35.27	1.0020035028459	1.00725180312756
superscaffold35.26	1.00080794276904	1.00341889279485
superscaffold35.25	1.00050894389579	1.00079479338568
superscaffold35.24	1.00140428221462	1.00565854485143
superscaffold35.23	1.00001212449596	1.00054973695489
superscaffold35.22	1.00057633477599	1.00229700807727
superscaffold35.21	1.00027932842064	1.00133364613104
superscaffold35.20	1.00333780239016	1.01195187964406
superscaffold35.19	1.00108580878453	1.00410281484185
superscaffold35.18	1.00242129411741	1.0092420870444
superscaffold35.17	1.00267294338486	1.01031028671371
superscaffold35.16	1.00022912404757	1.00039373895601
superscaffold35.15	1.00033886938378	1.00135339609591
superscaffold35.14	1.00188617314791	1.00701074320319
superscaffold35.13	1.00457251147506	1.0171785273119
superscaffold35.12	1.00007868839967	1.0007275851811
superscaffold35.11	1.00100350186345	1.00414067337801
superscaffold35.10	1.00305324015542	1.01074591855718
superscaffold35.9	1.00018889997932	1.0012427600771
superscaffold35.8	1.00038461095305	1.00194614801055
superscaffold35.7	1.00070084924494	1.00311926253654
superscaffold35.6	1.00283221505745	1.01023843850718
superscaffold35.5	1.00028622654713	1.00156799277792
superscaffold35.4	1.00022949230589	1.0010146666706
superscaffold35.3	1.00134169386425	1.00488402807469
superscaffold35.2	1.00019008595615	1.00058631612971
superscaffold35.1	1.00090826942268	1.0033046686281
superscaffold54.105	1.00008735342839	1.00031919212835
superscaffold54.104	1.00034869540705	1.00055109275591
superscaffold54.103	1.00252527290516	1.00781637300112
superscaffold54.102	1.01273562180579	1.04381586407308
superscaffold54.101	1.00536494001837	1.01643311048136
superscaffold54.100	1.00153580456346	1.00616085134221
superscaffold54.99	1.00075740393306	1.00295236372078
superscaffold54.98	1.00236451123602	1.0081658736439
superscaffold54.97	1.00335189793315	1.01137328759475
superscaffold54.96	1.00044054237507	1.00195146691559
superscaffold54.95	1.00034980730585	1.00124291554402
superscaffold54.94	1.0007293805743	1.00244781429581
superscaffold54.93	1.000575937941	1.00170775666032
superscaffold54.92	1.00073167144297	1.00313213862464
superscaffold54.91	1.00064633106054	1.00206489024419
superscaffold54.90	1.00041341700987	1.0017682690606
superscaffold54.89	1.01102096808974	1.03983845240944
superscaffold54.88	1.00418454182696	1.01561734152267
superscaffold54.87	1.00081117028856	1.00269662320822
superscaffold54.86	1.000206844153	1.00110562985062
superscaffold54.85	1.00289768477621	1.01110177405278
superscaffold54.84	1.00059580920104	1.00211964446606
superscaffold54.83	0.999954564994276	1.00017848476615
superscaffold54.82	1.0017140106086	1.0058192458683
superscaffold54.81	1.00271945286183	1.00929328007167
superscaffold54.80	1.00055373604767	1.00169384402773
superscaffold54.79	1.00008094986057	1.00073632325601
superscaffold54.78	1.00072590872102	1.00299068190097
superscaffold54.77	1.00025902795928	1.00147301983402
superscaffold54.76	1.00044565574158	1.00130816168284
superscaffold54.75	1.0010964506758	1.00360328315461
superscaffold54.74	1.00059990950425	1.00275568290974
superscaffold54.73	1.00321977222927	1.01229498081387
superscaffold54.72	1.0043346449833	1.01006096715678
superscaffold54.71	1.00064448535429	1.00234288071145
superscaffold54.70	1.00757548307364	1.02605392940889
superscaffold54.69	1.00261246685596	1.00800571132103
superscaffold54.68	1.00208236137015	1.00708629767429
superscaffold54.67	1.00033543174351	1.00147577486372
superscaffold54.66	1.00107042313371	1.00372328973758
superscaffold54.65	1.00334887200476	1.01120758162161
superscaffold54.64	1.00176111104174	1.00510894884558
superscaffold54.63	1.00033957902521	1.00081436836338
superscaffold54.62	1.00017396851076	1.00106793031855
superscaffold54.61	1.00036657689242	1.00166577115021
superscaffold54.60	1.00046728729077	1.00101973953507
superscaffold54.59	1.00205883312965	1.00468170943364
superscaffold54.58	1.00536761625174	1.01907899378058
superscaffold54.57	1.00088702969135	1.00367372729177
superscaffold54.56	1.00218510826492	1.0070916960658
superscaffold54.55	1.00057322554291	1.00264349756241
superscaffold54.54	1.0010099964282	1.0037767689495
superscaffold54.53	0.99993356561286	1.00022302625816
superscaffold54.52	1.00060104782381	1.00275970271806
superscaffold54.51	1.00209102998681	1.00808100076489
superscaffold54.50	1.00029653496064	1.00090954669767
superscaffold54.49	1.00019007882385	1.00029527810854
superscaffold54.48	1.00044904851362	1.00172586993603
superscaffold54.47	0.999994118082055	1.00007427227225
superscaffold54.46	1.00073136280347	1.00189723530661
superscaffold54.45	1.00065602596895	1.00283215889749
superscaffold54.44	1.00032735775365	1.00168347495014
superscaffold54.43	1.00012528641508	1.00100506152321
superscaffold54.42	1.00158646589933	1.00590134565174
superscaffold54.41	1.00118202336573	1.00470663892754
superscaffold54.40	1.00015174604768	1.0005532169138
superscaffold54.39	1.00015575798993	1.00030670329
superscaffold54.38	1.00081835288915	1.00331372760644
superscaffold54.37	1.00093524063682	1.00327315132333
superscaffold54.36	1.00030013832611	1.0008145401065
superscaffold54.35	1.00044363325374	1.00137279615624
superscaffold54.34	1.00002667861745	1.00047182881843
superscaffold54.33	1.00008021659039	1.00081770159303
superscaffold54.32	1.00009637724671	1.00046479568312
