scaffold	point_estimate	UPPER_CI
superscaffold35.34	1.00092269912627	1.00213029236501
superscaffold35.33	1.00243800216106	1.00477081571004
superscaffold35.32	1.00397858541563	1.01289208488187
superscaffold35.31	1.01538206200332	1.05463584888145
superscaffold35.30	1.00207620813782	1.00628483811396
superscaffold35.29	1.00078253945746	1.00336721884835
superscaffold35.28	1.00293706619281	1.01093860552137
superscaffold35.27	1.0024560258325	1.00717909709946
superscaffold35.26	1.00963551121425	1.03412057228824
superscaffold35.25	1.00365939264534	1.01375811307535
superscaffold35.24	1.00630137670503	1.02310486086626
superscaffold35.23	1.00134566345403	1.00500786093448
superscaffold35.22	1.00221608608384	1.00849164380968
superscaffold35.21	1.00022721087983	1.00129703267006
superscaffold35.20	1.00093123354402	1.0036056335338
superscaffold35.19	1.00002053215863	1.00033605452268
superscaffold35.18	1.00042089560772	1.00129725931767
superscaffold35.17	1.00502677280621	1.01794597283793
superscaffold35.16	1.00049152130567	1.00217069184337
superscaffold35.15	1.00140574090948	1.00405222537744
superscaffold35.14	1.00127057742197	1.00365928201216
superscaffold35.13	0.999873436902545	0.999947486537218
superscaffold35.12	1.00007904474543	1.00067615588958
superscaffold35.11	1.00124822021281	1.0018883496237
superscaffold35.10	1.00237199943158	1.00629447215498
superscaffold35.9	1.00058555436484	1.0012255892467
superscaffold35.8	1.0000129918532	1.00056571795301
superscaffold35.7	1.00122894964513	1.00437802678684
superscaffold35.6	1.00326819915246	1.01190226348945
superscaffold35.5	1.00202555923175	1.00481415774086
superscaffold35.4	1.00122996111563	1.00401014759323
superscaffold35.3	1.00088544568307	1.00309161118532
superscaffold35.2	1.00082257424866	1.00303427830529
superscaffold35.1	1.00155074930013	1.00430579473179
superscaffold35.34	1.00092269912627	1.00213029236501
superscaffold35.33	1.00243800216106	1.00477081571004
superscaffold35.32	1.00397858541563	1.01289208488187
superscaffold35.31	1.01538206200332	1.05463584888145
superscaffold35.30	1.00207620813782	1.00628483811396
superscaffold35.29	1.00078253945746	1.00336721884835
superscaffold35.28	1.00293706619281	1.01093860552137
superscaffold35.27	1.0024560258325	1.00717909709946
superscaffold35.26	1.00963551121425	1.03412057228824
superscaffold35.25	1.00365939264534	1.01375811307535
superscaffold35.24	1.00630137670503	1.02310486086626
superscaffold35.23	1.00134566345403	1.00500786093448
superscaffold35.22	1.00221608608384	1.00849164380968
superscaffold35.21	1.00022721087983	1.00129703267006
superscaffold35.20	1.00093123354402	1.0036056335338
superscaffold35.19	1.00002053215863	1.00033605452268
superscaffold35.18	1.00042089560772	1.00129725931767
superscaffold35.17	1.00502677280621	1.01794597283793
superscaffold35.16	1.00049152130567	1.00217069184337
superscaffold35.15	1.00140574090948	1.00405222537744
superscaffold35.14	1.00127057742197	1.00365928201216
superscaffold35.13	0.999873436902545	0.999947486537218
superscaffold35.12	1.00007904474543	1.00067615588958
superscaffold35.11	1.00124822021281	1.0018883496237
superscaffold35.10	1.00237199943158	1.00629447215498
