scaffold	point_estimate	UPPER_CI
superscaffold35.34	0.999960452573436	1.00013991938856
superscaffold35.33	1.00012091728397	1.00063590908588
superscaffold35.32	0.999812452109429	0.999866301091753
superscaffold35.31	1.00076830606293	1.0025547889373
superscaffold35.30	1.00000938876432	1.00038209833421
superscaffold35.29	0.999884372412552	1.00006431497729
superscaffold35.28	1.00000031624561	1.00044935313708
superscaffold35.27	1.00025736045787	1.00132980241863
superscaffold35.26	1.00007398218366	1.00050720495136
superscaffold35.25	1.0005517954995	1.00200032868605
superscaffold35.24	0.999873878991749	1.00004926467181
superscaffold35.23	1.00045043471611	1.00120523566143
superscaffold35.22	1.00105864013873	1.00406017422806
superscaffold35.21	1.00053963656384	1.00172349115632
superscaffold35.20	1.00011022207263	1.00064163674173
superscaffold35.19	1.00028696989469	1.00160499788657
superscaffold35.18	1.00002740709544	1.00035695569284
superscaffold35.17	0.999922459498034	0.999985802045533
superscaffold35.16	0.999824357324771	0.999905703818781
superscaffold35.15	1.00019910399728	1.00079492000622
superscaffold35.14	1.00124120916548	1.0050224040551
superscaffold35.13	1.00007780054043	1.00039781775241
superscaffold35.12	1.00016699570144	1.00114613649274
superscaffold35.11	1.00008067439328	1.00033481591943
superscaffold35.10	1.00076149365147	1.00295146210661
superscaffold35.9	0.999977818497519	1.00040297465466
superscaffold35.8	1.00044525733712	1.00190954350321
superscaffold35.7	1.00025408257807	1.00096128060097
superscaffold35.6	0.999982834597079	1.0000999710548
superscaffold35.5	1.00005799100969	1.00010192158268
superscaffold35.4	1.00030964284621	1.00126273505019
superscaffold35.3	1.00052389964194	1.00223584001913
superscaffold35.2	1.00048863916644	1.00145688200673
superscaffold35.1	1.00008228485475	1.00010224564236
superscaffold35.34	0.999960452573436	1.00013991938856
superscaffold35.33	1.00012091728397	1.00063590908588
superscaffold35.32	0.999812452109429	0.999866301091753
superscaffold35.31	1.00076830606293	1.0025547889373
superscaffold35.30	1.00000938876432	1.00038209833421
superscaffold35.29	0.999884372412552	1.00006431497729
superscaffold35.28	1.00000031624561	1.00044935313708
superscaffold35.27	1.00025736045787	1.00132980241863
superscaffold35.26	1.00007398218366	1.00050720495136
superscaffold35.25	1.0005517954995	1.00200032868605
superscaffold35.24	0.999873878991749	1.00004926467181
superscaffold35.23	1.00045043471611	1.00120523566143
superscaffold35.22	1.00105864013873	1.00406017422806
superscaffold35.21	1.00053963656384	1.00172349115632
superscaffold35.20	1.00011022207263	1.00064163674173
superscaffold35.19	1.00028696989469	1.00160499788657
superscaffold35.18	1.00002740709544	1.00035695569284
superscaffold35.17	0.999922459498034	0.999985802045533
superscaffold35.16	0.999824357324771	0.999905703818781
superscaffold35.15	1.00019910399728	1.00079492000622
superscaffold35.14	1.00124120916548	1.0050224040551
superscaffold35.13	1.00007780054043	1.00039781775241
superscaffold35.12	1.00016699570144	1.00114613649274
superscaffold35.11	1.00008067439328	1.00033481591943
superscaffold35.10	1.00076149365147	1.00295146210661
superscaffold35.9	0.999977818497519	1.00040297465466
superscaffold35.8	1.00044525733712	1.00190954350321
superscaffold35.7	1.00025408257807	1.00096128060097
superscaffold35.6	0.999982834597079	1.0000999710548
superscaffold35.5	1.00005799100969	1.00010192158268
superscaffold35.4	1.00030964284621	1.00126273505019
superscaffold35.3	1.00052389964194	1.00223584001913
superscaffold35.2	1.00048863916644	1.00145688200673
superscaffold35.1	1.00008228485475	1.00010224564236
superscaffold54.105	1.000221416905	1.00110996658279
superscaffold54.104	0.999826553517262	0.999853633344954
superscaffold54.103	1.00018727510983	1.00031861136605
