scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold35.34.1	19.974375	1.68663205164647	17	19	20	21	24	1512.0376652424
superscaffold35.33.1	36.5866666666667	3.08103876782908	31	34	36	39	43	844.933840445856
superscaffold35.32.1	42.8945833333333	3.31265354487453	37	41	43	45	50	1265.59267123402
superscaffold35.31.1	30.9910416666667	3.2511275166534	25	29	31	33	38	458.653531335349
superscaffold35.30.1	35.3960416666667	2.54380766720524	31	34	35	37	41	2431.60322755493
superscaffold35.29.1	37.9877083333333	3.06273485958243	32	36	38	40	44	1867.16528234483
superscaffold35.28.1	47.1558333333333	3.11699482419234	41	45	47	49	53	591.237963924447
superscaffold35.27.1	38.494375	2.83364744641846	34	36	38	40	44	1359.83538881911
superscaffold35.26.1	45.5779166666667	3.60808921829575	39	43	45	48	53	517.872836964941
superscaffold35.25.1	46.0122916666667	2.65233032947143	41	44	46	48	51	1462.87807875219
superscaffold35.24.1	33.4610416666667	2.60965854684565	29	32	33	35	39	1006.1544226578
superscaffold35.23.1	38.96875	2.58037347213117	34	37	39	41	44	1881.9711179799
superscaffold35.22.1	31.5072916666667	3.00952661151814	26	29	31	33	37	1859.6384270619
superscaffold35.21.1	28.8358333333333	2.65454340343069	24	27	29	31	34	2584.86253595273
superscaffold35.20.1	34.7210416666667	3.07215020040662	29	33	35	37	41	1359.30587554355
superscaffold35.19.1	33.6	3.11888493172431	28	31	34	36	40	1146.67602536948
superscaffold35.18.1	46.2072916666667	3.21840743931529	40	44	46	48	53	1371.68991899327
superscaffold35.17.1	40.86375	2.86658586906041	36	39	41	43	47	1497.15634699098
superscaffold35.16.1	37.069375	2.65278687591029	32	35	37	39	43	3851.15144629626
superscaffold35.15.1	42.926875	2.86347445607898	38	41	43	45	49	1840.43271171035
superscaffold35.14.1	32.2627083333333	3.46084353366437	26	30	32	35	39	1336.48300083786
superscaffold35.13.1	37.7720833333333	3.12237918162378	32	36	38	40	44	1210.15056413819
superscaffold35.12.1	38.2875	2.89358568065109	33	36	38	40	44	2505.14199393085
superscaffold35.11.1	37.85	2.47091858082142	33	36	38	39	43	926.725951999611
superscaffold35.10.1	37.6833333333333	3.39160021286261	31	35	38	40	44	580.495407395758
superscaffold35.9.1	36.8685416666667	3.01576222445853	31	35	37	39	43	2294.52068531879
superscaffold35.8.1	36.3277083333333	2.93115827790102	31	34	36	38	42	1744.55697639758
superscaffold35.7.1	35.5647916666667	2.9264032826093	30	34	35	38	41	750.99891042392
superscaffold35.6.1	43.0610416666667	3.28588876411431	37	41	43	45	50	1288.07286424788
superscaffold35.5.1	43.26125	2.90799361411996	38	41	43	45	49	1344.38932024242
superscaffold35.4.1	41.66875	3.12506928449971	36	39	42	44	48	1385.13975969435
superscaffold35.3.1	47.1425	2.90871501637201	42	45	47	49	53	1877.15359833326
superscaffold35.2.1	37.02375	2.60112388952227	32	35	37	39	43	3243.02429339244
superscaffold35.1.1	33.5745833333333	2.84361072144648	28	32	33	35	39	1835.17159651287
superscaffold35.34.1	19.974375	1.68663205164647	17	19	20	21	24	1512.0376652424
superscaffold35.33.1	36.5866666666667	3.08103876782908	31	34	36	39	43	844.933840445856
superscaffold35.32.1	42.8945833333333	3.31265354487453	37	41	43	45	50	1265.59267123402
superscaffold35.31.1	30.9910416666667	3.2511275166534	25	29	31	33	38	458.653531335349
superscaffold35.30.1	35.3960416666667	2.54380766720524	31	34	35	37	41	2431.60322755493
superscaffold35.29.1	37.9877083333333	3.06273485958243	32	36	38	40	44	1867.16528234483
superscaffold35.28.1	47.1558333333333	3.11699482419234	41	45	47	49	53	591.237963924447
superscaffold35.27.1	38.494375	2.83364744641846	34	36	38	40	44	1359.83538881911
superscaffold35.26.1	45.5779166666667	3.60808921829575	39	43	45	48	53	517.872836964941
superscaffold35.25.1	46.0122916666667	2.65233032947143	41	44	46	48	51	1462.87807875219
superscaffold35.24.1	33.4610416666667	2.60965854684565	29	32	33	35	39	1006.1544226578
