scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold35.34.1	-783496.720020417	9.71758168503692	-783520.087175	-783501.90575	-783495.325	-783490.0015	-783481.278775	697.234036767777
superscaffold35.33.1	-1366082.28146354	14.0237608373677	-1366106.750575	-1366092.17425	-1366083.549	-1366073.301	-1366051.482525	589.337707193479
superscaffold35.32.1	-1349926.87346771	14.6283123078862	-1349955.081425	-1349937.0075	-1349926.6865	-1349916.7645	-1349898.561575	1058.12071769553
superscaffold35.31.1	-1322904.20415312	14.2697036016977	-1322932.8051	-1322913.9765	-1322904.0005	-1322894.16075	-1322877.4947	446.949528365306
superscaffold35.30.1	-1287400.49621167	11.2967197978654	-1287424.311025	-1287407.613	-1287400.1495	-1287392.73475	-1287379.156575	1411.61607587163
superscaffold35.29.1	-1307505.06419875	13.3486961262018	-1307530.500025	-1307514.2445	-1307504.928	-1307495.9735	-1307479.16885	1448.10937436773
superscaffold35.28.1	-1317345.48317063	17.9726661574609	-1317381.90635	-1317357.1355	-1317345.2225	-1317332.8445	-1317312.906975	447.328268920021
superscaffold35.27.1	-1309989.83204	14.2553227605736	-1310015.939575	-1309999.37725	-1309990.26	-1309980.935	-1309960.3634	593.154954455996
superscaffold35.26.1	-1314570.49583063	19.5958974207874	-1314608.380525	-1314584.05375	-1314570.4325	-1314556.945	-1314532.7435	433.298805588666
superscaffold35.25.1	-1263321.45189687	13.6618254342947	-1263350.22115	-1263330.528	-1263320.6755	-1263312.1925	-1263296.686525	1199.21282237376
superscaffold35.24.1	-1254892.14097479	11.2574668761859	-1254914.9961	-1254899.5505	-1254892.054	-1254884.72825	-1254869.969975	687.573695805788
superscaffold35.23.1	-1251575.67291479	10.6725364057084	-1251597.31095	-1251582.58075	-1251575.3315	-1251568.421	-1251555.5796	2056.65562477533
superscaffold35.22.1	-1310981.83764458	13.129505843515	-1311008.523075	-1310990.8135	-1310981.505	-1310972.40925	-1310957.60795	1343.5068463651
superscaffold35.21.1	-1334622.12719479	12.0563563650352	-1334646.26375	-1334630.08175	-1334621.796	-1334614.32075	-1334598.9169	1799.8483751215
superscaffold35.20.1	-1274936.62277125	13.5332171235149	-1274962.7919	-1274945.64575	-1274936.6115	-1274927.7055	-1274909.54845	858.313381564446
