scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold35.34.1	214.568748333333	7.6568962054571	200.631975	209.344	214.239	219.58125	230.323125	4799.99999999999
superscaffold35.33.1	219.046015208333	5.14019229250176	209.23075	215.473	218.921	222.5085	229.399325	3825.3019367278
superscaffold35.32.1	140.903119166667	2.99774809681814	135.1126	138.863	140.9125	142.925	146.66815	4459.0307677468
superscaffold35.31.1	175.958087291667	4.14580046894729	168.062975	173.128	175.879	178.66825	184.071775	4800
superscaffold35.30.1	192.691087708333	5.42767838346326	182.64345	188.92625	192.574	196.3085	203.671125	3610.02838222738
superscaffold35.29.1	163.652106041667	4.0527579556003	155.93185	160.89125	163.586	166.27	171.7211	4800.00000000001
superscaffold35.28.1	105.573447083333	2.72310940544816	100.324875	103.72175	105.545	107.355	111.050525	4800.00000000001
superscaffold35.27.1	78.3525204166667	1.73717138957487	74.973925	77.1975	78.318	79.49625	81.7581	3583.02829407018
superscaffold35.26.1	90.0878925	1.98469762722192	86.324525	88.75675	90.068	91.379	94.09425	2855.71491586709
superscaffold35.25.1	107.905896666667	2.42216495127972	103.377475	106.2805	107.826	109.5145	112.832175	4248.95209445033
superscaffold35.24.1	90.8360722916667	2.65788676802904	85.9939	89.02725	90.675	92.56	96.4482	3848.14309386753
superscaffold35.23.1	140.504266041667	3.45066889859514	134.043925	138.08875	140.488	142.86275	147.39805	2990.88151552377
superscaffold35.22.1	229.413332916667	5.59275892073746	218.828775	225.64475	229.255	233.2185	240.6027	4327.67348774921
superscaffold35.21.1	329.34751	8.86504971794694	312.5309	323.229	329.26	335.4405	347.06505	4800
superscaffold35.20.1	260.927992708333	7.09709459530271	247.689	256.06975	260.7765	265.63575	275.27445	4445.13788461763
superscaffold35.19.1	326.35908375	8.17782148912839	310.801925	320.84775	326.0735	331.72775	343.017525	3428.93103067363
superscaffold35.18.1	171.07565625	3.46468002341959	164.53385	168.77975	171.0545	173.33475	177.9842	4424.04188089015
superscaffold35.17.1	221.569465833333	5.47902809784146	211.203475	217.7815	221.5475	225.2615	232.39505	4800
superscaffold35.16.1	279.25944875	7.75368931758492	264.800675	273.8645	278.9845	284.17525	295.320325	4606.97927925041
superscaffold35.15.1	280.181060416667	7.58073312383624	265.921075	274.9115	279.9855	285.14325	295.387175	4546.43721800065
superscaffold35.14.1	225.223455833333	5.49405577494697	214.626725	221.438	225.096	228.98275	236.097675	3941.05254808779
superscaffold35.13.1	200.887809583333	3.9352550442078	193.348725	198.18425	200.814	203.57625	208.642325	4498.31102320371
superscaffold35.12.1	196.191702708333	4.48965184643315	187.71385	193.08575	196.2215	199.2085	205.249275	4486.51886495405
superscaffold35.11.1	127.379007916667	4.07269542404342	120.05875	124.567	127.1855	129.88275	136.059075	4799.99999999999
superscaffold35.10.1	141.872326875	2.90605003050077	136.336575	139.93925	141.7975	143.836	147.783325	4268.33897631353
superscaffold35.9.1	177.652435833333	4.10008560088921	169.824975	174.905	177.5935	180.33075	185.8584	4520.32465680903
