window	Window_start	Window_end	rho_per_bp	rho_per_window
superscaffold8	0	200000	0.000242	48.497473
superscaffold8	200000	400000	0.000274	54.86246
superscaffold8	400000	600000	0.000202	40.386078
superscaffold8	600000	800000	0.000272	54.498272
superscaffold8	800000	1000000	0.000509	101.706371
superscaffold8	1000000	1200000	0.000567	113.331571
superscaffold8	1200000	1400000	0.000622	124.413824
superscaffold8	1400000	1600000	0.000638	127.648002
superscaffold8	1600000	1800000	0.00062	124.074083
superscaffold8	1800000	2000000	0.000494	98.828482
superscaffold8	2000000	2200000	0.000446	89.203197
superscaffold8	2200000	2400000	0.000376	75.173613
superscaffold8	2400000	2600000	0.00034	67.915549
superscaffold8	2600000	2800000	0.000487	97.379867
superscaffold8	2800000	3000000	0.000755	150.908564
superscaffold8	3000000	3200000	0.000645	128.984326
superscaffold8	3200000	3400000	0.000699	139.70434
superscaffold8	3400000	3600000	0.000658	131.533937
superscaffold8	3600000	3800000	0.000607	121.386097
superscaffold8	3800000	4000000	0.000473	94.573956
superscaffold8	4000000	4200000	0.000289	57.866482
superscaffold8	4200000	4400000	0.000315	62.933553
superscaffold8	4400000	4600000	0.000441	88.20313
superscaffold8	4600000	4800000	0.000375	74.991766
superscaffold8	4800000	5000000	0.000455	91.067209
superscaffold8	5000000	5200000	0.000458	91.64332
superscaffold8	5200000	5400000	0.000515	103.004
superscaffold8	5400000	5600000	0.000338	67.601016
superscaffold8	5600000	5800000	0.000408	81.687632
superscaffold8	5800000	6000000	0.00076	151.908509
superscaffold8	6000000	6200000	0.000922	184.362983
superscaffold8	6200000	6400000	0.001049	209.733922
superscaffold8	6400000	6600000	0.000814	162.779898
superscaffold8	6600000	6800000	0.000508	101.60324
superscaffold8	6800000	7000000	0.000801	160.196948
superscaffold8	7000000	7200000	0.001038	207.660143
superscaffold8	7200000	7400000	0.001265	253.058095
superscaffold8	7400000	7600000	0.000959	191.814459
superscaffold8	7600000	7800000	0.001103	220.629363
superscaffold8	7800000	8000000	0.000999	199.700656
superscaffold8	8000000	8200000	0.00074	148.086774
superscaffold8	8200000	8400000	0.000607	121.386561
superscaffold8	8400000	8600000	0.000573	114.63986
superscaffold8	8600000	8800000	0.000525	105.039398
superscaffold8	8800000	9000000	0.000622	124.416374
superscaffold8	9000000	9200000	0.001104	220.75639
superscaffold8	9200000	9400000	0.001189	237.72595
superscaffold8	9400000	9600000	0.001107	221.339324
superscaffold8	9600000	9800000	0.000773	154.653459
superscaffold8	9800000	10000000	0.000765	152.985686
superscaffold8	10000000	10200000	0.000729	145.796979
superscaffold8	10200000	10400000	0.000464	92.833792
superscaffold8	10400000	10600000	0.000443	88.650812
superscaffold8	10600000	10800000	0.000916	183.106909
superscaffold8	10800000	11000000	0.001075	214.908073
superscaffold8	11000000	11200000	0.000918	183.661944
superscaffold8	11200000	11400000	0.001129	225.73344
superscaffold8	11400000	11600000	0.001217	243.444364
superscaffold8	11600000	11800000	0.000807	161.40394
superscaffold8	11800000	12000000	0.000847	169.494463
superscaffold8	12000000	12200000	0.000968	193.64864
superscaffold8	12200000	12400000	0.000709	141.865338
superscaffold8	12400000	12600000	0.00066	132.056433
superscaffold8	12600000	12800000	0.000606	121.235465
superscaffold8	12800000	13000000	0.000558	111.613301
superscaffold8	13000000	13200000	0.000518	103.521138
superscaffold8	13200000	13400000	0.00048	95.957505
superscaffold8	13400000	13600000	0.001026	205.230716
superscaffold8	13600000	13800000	0.000703	140.615414
superscaffold8	13800000	14000000	0.000569	113.860647
superscaffold8	14000000	14200000	0.000749	149.893547
superscaffold8	14200000	14400000	0.000861	172.24553
superscaffold8	14400000	14600000	0.000971	194.255848
superscaffold8	14600000	14800000	0.000478	95.501912
superscaffold8	14800000	15000000	0.000444	88.819343
superscaffold8	15000000	15200000	0.00077	154.005881
superscaffold8	15200000	15400000	0.000753	150.660761
superscaffold8	15400000	15600000	0.000465	93.096245
superscaffold8	15600000	15800000	0.000619	123.823206
superscaffold8	15800000	16000000	0.00052	104.000731
superscaffold8	16000000	16200000	0.000379	75.822615
superscaffold8	16200000	16400000	0.000607	121.35255
superscaffold8	16400000	16600000	0.000751	150.213252
superscaffold8	16600000	16800000	0.00061	122.041726
superscaffold8	16800000	17000000	0.000737	147.370327
superscaffold8	17000000	17200000	0.000711	142.244998
superscaffold8	17200000	17400000	0.000592	118.467808
superscaffold8	17400000	17600000	0.000602	120.454846
superscaffold8	17600000	17800000	0.000894	178.718502
superscaffold8	17800000	18000000	0.00067	134.008184
superscaffold8	18000000	18200000	0.000514	102.793835
superscaffold8	18200000	18400000	0.000571	114.160544
superscaffold8	18400000	18600000	0.000805	161.023493
superscaffold8	18600000	18800000	0.000722	144.44884
superscaffold8	18800000	19000000	0.000895	179.098683
superscaffold8	19000000	19200000	0.000653	130.624235
superscaffold8	19200000	19400000	0.000532	106.434405
superscaffold8	19400000	19600000	0.000527	105.451934
superscaffold8	19600000	19800000	0.000503	100.525615
superscaffold8	19800000	20000000	0.000506	101.158314
superscaffold8	20000000	20200000	0.00049	97.967699
superscaffold8	20200000	20400000	0.000434	86.897898
superscaffold8	20400000	20600000	0.000476	95.273958
superscaffold8	20600000	20800000	0.000691	138.218628
superscaffold8	20800000	21000000	0.000759	151.810977
superscaffold8	21000000	21200000	0.000781	156.22552
superscaffold8	21200000	21400000	0.000784	156.790972
superscaffold8	21400000	21600000	0.000753	150.535245
superscaffold8	21600000	21800000	0.000745	148.999967
superscaffold8	21800000	22000000	0.000957	191.479646
superscaffold8	22000000	22200000	0.000637	127.444114
superscaffold8	22200000	22400000	0.000554	110.877598
superscaffold8	22400000	22600000	0.000674	134.702458
superscaffold8	22600000	22800000	0.000748	149.565055
superscaffold8	22800000	23000000	0.000493	98.592124
superscaffold8	23000000	23200000	0.000403	80.510551
superscaffold8	23200000	23400000	0.000366	73.251855
superscaffold8	23400000	23600000	0.000396	79.251909
superscaffold8	23600000	23800000	0.000396	79.162788
superscaffold8	23800000	24000000	0.000419	83.895906
superscaffold8	24000000	24200000	0.000462	92.446038
superscaffold8	24200000	24400000	0.000481	96.15917
superscaffold8	24400000	24600000	0.000481	96.154556
superscaffold8	24600000	24800000	0.000373	74.656185
superscaffold8	24800000	25000000	0.000298	59.524443
superscaffold8	25000000	25200000	0.000603	120.655794
superscaffold8	25200000	25400000	0.000503	100.594906
superscaffold8	25400000	25600000	0.000619	123.773688
superscaffold8	25600000	25800000	0.000659	131.727103
superscaffold8	25800000	26000000	0.000386	77.123229
superscaffold8	26000000	26200000	0.000504	100.798094
superscaffold8	26200000	26400000	0.000561	112.141524
superscaffold8	26400000	26600000	0.000434	86.893848
superscaffold8	26600000	26800000	0.000377	75.312701
superscaffold8	26800000	27000000	0.000708	141.517155
superscaffold8	27000000	27200000	0.000674	134.895141
superscaffold8	27200000	27400000	0.000586	117.149225
superscaffold8	27400000	27600000	0.000528	105.678538
superscaffold8	27600000	27800000	0.000393	78.539157
superscaffold8	27800000	28000000	0.000267	53.374658
superscaffold8	28000000	28200000	0.000403	80.52882
superscaffold8	28200000	28400000	0.000521	104.258315
superscaffold8	28400000	28600000	0.00034	68.079746
superscaffold8	28600000	28800000	0.000368	73.574082
superscaffold8	28800000	29000000	0.000373	74.599423
superscaffold8	29000000	29200000	0.000289	57.77256
superscaffold8	29200000	29400000	0.000317	63.411451
superscaffold8	29400000	29600000	0.000375	74.940295
superscaffold8	29600000	29800000	0.000302	60.376831
superscaffold8	29800000	30000000	0.000262	52.434213
superscaffold8	30000000	30200000	0.000366	73.112889
superscaffold8	30200000	30400000	0.000423	84.579527
superscaffold8	30400000	30600000	0.000358	71.69405
superscaffold8	30600000	30800000	0.000352	70.494923
superscaffold8	30800000	31000000	0.000448	89.688108
superscaffold8	31000000	31200000	0.000616	123.245608
superscaffold8	31200000	31400000	0.000682	136.382902
superscaffold8	31400000	31600000	0.000859	171.884606
superscaffold8	31600000	31800000	0.000779	155.869412
superscaffold8	31800000	32000000	0.000776	155.233858
superscaffold8	32000000	32200000	0.000392	78.446823
superscaffold8	32200000	32400000	0.000276	55.225416
superscaffold8	32400000	32600000	0.000396	79.193073
superscaffold8	32600000	32800000	0.00061	121.991463
superscaffold8	32800000	33000000	0.000527	105.492761
superscaffold8	33000000	33200000	0.000599	119.703196
superscaffold8	33200000	33400000	0.000531	106.120849
superscaffold8	33400000	33600000	0.000378	75.657797
superscaffold8	33600000	33800000	0.000621	124.272191
superscaffold8	33800000	34000000	0.000545	109.044607
superscaffold8	34000000	34200000	0.000442	88.499833
superscaffold8	34200000	34400000	0.000471	94.240462
superscaffold8	34400000	34600000	0.00028	55.905047
superscaffold8	34600000	34800000	0.000281	56.281377
superscaffold8	34800000	35000000	0.00049	97.922045
superscaffold8	35000000	35200000	0.000628	125.655702
superscaffold8	35200000	35400000	0.00027	53.964682
superscaffold8	35400000	35600000	0.000384	76.816514
superscaffold8	35600000	35800000	0.000568	113.556819
superscaffold8	35800000	36000000	0.000548	109.620894
superscaffold8	36000000	36200000	0.000469	93.791086
