window	Window_start	Window_end	rho_per_bp	rho_per_window
ChrZ	0	1000000	0.00161	1609.521783
ChrZ	1000000	2000000	0.002645	2645.444389
ChrZ	2000000	3000000	0.002661	2661.22439
ChrZ	3000000	4000000	0.002418	2418.411965
ChrZ	4000000	5000000	0.001597	1596.928276
ChrZ	5000000	6000000	0.001374	1374.105412
ChrZ	6000000	7000000	0.000798	797.584947
ChrZ	7000000	8000000	0.001112	1112.032413
ChrZ	8000000	9000000	0.000852	852.04247
ChrZ	9000000	10000000	0.000558	557.563628
ChrZ	10000000	11000000	0.000754	754.22634
ChrZ	11000000	12000000	0.001116	1115.823488
ChrZ	12000000	13000000	0.000491	491.044022
ChrZ	13000000	14000000	0.000506	506.052887
ChrZ	14000000	15000000	0.000395	394.600162
ChrZ	15000000	16000000	0.0003	299.681535
ChrZ	16000000	17000000	0.0004	399.811928
ChrZ	17000000	18000000	0.000383	382.905763
ChrZ	18000000	19000000	0.000265	264.709962
ChrZ	19000000	20000000	0.00022	219.578845
ChrZ	20000000	21000000	0.000295	295.344527
ChrZ	21000000	22000000	0.000252	251.766281
ChrZ	22000000	23000000	0.000215	215.042695
ChrZ	23000000	24000000	0.000406	406.106409
ChrZ	24000000	25000000	0.000302	395.332214
ChrZ	25000000	26000000	0.0004	399.894942
ChrZ	26000000	27000000	0.000447	447.411731
ChrZ	27000000	28000000	0.000477	476.711017
ChrZ	28000000	29000000	0.000549	548.571961
ChrZ	29000000	30000000	0.000721	720.720749
ChrZ	30000000	31000000	0.000833	832.541625
ChrZ	31000000	32000000	0.000591	591.041778
ChrZ	32000000	33000000	0.000797	796.909298
ChrZ	33000000	34000000	0.000692	692.310727
ChrZ	34000000	35000000	0.000617	617.036912
ChrZ	35000000	36000000	0.000809	809.127614
ChrZ	36000000	37000000	0.001064	1063.635483
ChrZ	37000000	38000000	0.001243	1243.149928
ChrZ	38000000	39000000	0.001139	1138.829468
ChrZ	39000000	40000000	0.000914	914.434045
ChrZ	40000000	41000000	0.000741	741.224322
ChrZ	41000000	42000000	0.000761	761.198282
ChrZ	42000000	43000000	0.000731	731.443338
ChrZ	43000000	44000000	0.001067	1066.506538
ChrZ	44000000	45000000	0.001348	1348.118742
ChrZ	45000000	46000000	0.001037	1685.400516
ChrZ	46000000	47000000	0.001023	1022.623001
ChrZ	47000000	48000000	0.001053	1052.886314
ChrZ	48000000	49000000	0.00106	1059.642739
ChrZ	49000000	50000000	0.000868	868.489067
ChrZ	50000000	51000000	0.000893	893.481575
ChrZ	51000000	52000000	0.000765	764.984406
ChrZ	52000000	53000000	0.000404	404.12806
ChrZ	53000000	54000000	0.000172	171.532799
ChrZ	54000000	55000000	0.000128	127.632721
ChrZ	55000000	56000000	0.00026	259.683945
ChrZ	56000000	57000000	0.000269	268.665156
ChrZ	57000000	58000000	0.000197	377.21577
ChrZ	58000000	59000000	0.000232	232.449535
ChrZ	59000000	60000000	0.000205	205.428504
ChrZ	60000000	61000000	0.000129	129.406458
ChrZ	61000000	62000000	0.000356	356.453288
ChrZ	62000000	63000000	0.000517	517.371902
ChrZ	63000000	64000000	0.00049	489.776777
ChrZ	64000000	65000000	0.000665	664.635535
ChrZ	65000000	66000000	0.000663	662.91572
ChrZ	66000000	67000000	0.000734	733.895245
ChrZ	67000000	68000000	0.001138	1138.321162
ChrZ	68000000	69000000	0.000799	1580.287106
ChrZ	69000000	70000000	0.000742	741.9975
ChrZ	70000000	71000000	0.000191	190.564375
ChrZ	71000000	72000000	0.000151	151.20875
ChrZ	72000000	73000000	0.000271	270.90125
ChrZ	73000000	74000000	0.001124	2229.438145
ChrZ	74000000	75000000	0.001089	1088.992256
ChrZ	75000000	76000000	0.000808	1367.922282
ChrZ	76000000	77000000	0.000549	548.509561
ChrZ	77000000	78000000	0.000198	198.325971
ChrZ	78000000	79000000	0.000226	225.675695
ChrZ	79000000	81000000	0.000725	1365.746519
