start	end	real_rate_map_cM_Mb	smooth_rate_map_cM_Mb	rho	Ne_smooth_r	Ne_real_r
1000000	2000000	1.67436140486246	1.64341333955414	2645.444389	40279.6937853243	39580.6947218215
2000000	3000000	1.67436140486246	2.19597975114057	2661.22439	30360.8490076845	39816.7924469856
3000000	4000000	2.43188806351746	2.50904512706748	2418.411965	24168.8125699763	24915.6677335553
4000000	5000000	4.13742629906961	2.64154183936825	1596.928276	15169.6932430341	9668.38875785226
5000000	6000000	2.97475963776208	2.56245771237961	1374.105412	13468.3764858838	11599.5901749008
6000000	7000000	1.53152430868209	2.32798666109651	797.584947	8614.46618498541	13133.1442176208
7000000	8000000	1.53152430868209	1.74754948541075	1112.032413	16036.6533390646	18310.8797495872
8000000	9000000	1.53152430868209	1.48507944306418	852.04247	14465.5043833296	14029.8493347165
9000000	10000000	1.53152430868209	1.38263993344454	557.563628	10157.7815382079	9180.91993155918
10000000	11000000	1.28441056412051	1.80600249207525	754.22634	10486.7145598059	14758.8208546756
11000000	12000000	0.711912258777842	2.05229180001783	1115.823488	13628.8686578367	39191.7937528673
12000000	13000000	5.20413598561318	2.20417251973857	491.044022	5577.4757861256	2362.42357762507
13000000	14000000	1.14497844638167	2.03623206793751	506.052887	6218.2697692107	11063.279018145
14000000	15000000	1.5446294913311	1.58883047779958	394.600162	6212.42765170835	6386.94991235659
15000000	16000000	0.64954465712014	1.08294557856739	299.681535	6920.95374877494	11535.1503526
16000000	17000000	0.4037114195539	0.819383753532343	399.811928	12200.7043013551	24760.3545262168
17000000	18000000	0.905453113219359	0.626349056416897	382.905763	15284.8585788228	10576.2982219798
18000000	19000000	0.748177020248072	0.53610308245364	264.709962	12348.1143837534	8850.86696492132
19000000	20000000	0.748177020248072	0.472221773564205	219.578845	11632.4530101283	7341.85872991844
20000000	21000000	0.170692846284496	0.26940478075811	295.344527	27429.026324803	43284.6090684695
21000000	22000000	0	0.222047454769473	251.766281	28362.659841743	NA
22000000	23000000	0	0.227817815066302	215.042695	23603.5410248756	NA
23000000	24000000	0	0.37240597398456	406.106409	27265.8410362921	NA
24000000	25000000	1.5923253279368	0.545727803577052	395.332214	18111.6776313891	6208.13681718586
25000000	26000000	0.532174672063198	0.72150930721111	399.894942	13857.3570932209	18787.4865869143
26000000	27000000	0.223835603349776	0.752052581687196	447.411731	14871.4265224457	49972.6832641985
27000000	28000000	1.37966439665022	0.783927000253322	476.711017	15206.0117992631	8640.44011276651
28000000	29000000	0.251355573878007	0.829486096540152	548.571961	16546.0704291847	54561.4861068715
29000000	30000000	1.07014442612199	1.08794176763555	720.720749	16588.5249240701	16839.4542611663
30000000	31000000	1.20900522519628	1.29300603750266	832.541625	16131.6984240058	17263.6221743201
31000000	32000000	1.68138775108932	1.13574592021094	591.041778	13043.7077015024	8812.60785168594
32000000	33000000	1.68138775108932	0.925085499397882	796.909298	21601.2661622586	11882.153509352
33000000	34000000	0.0123538967478774	0.542960651650563	692.310727	31979.3951372347	NA
34000000	35000000	0.00068766563450278	0.6382511215645	617.036912	24206.3211469999	NA
35000000	36000000	0.381970497808377	0.829034801188728	809.127614	24412.8418495818	52961.9393887769
36000000	37000000	0.416997591575186	1.29437090529389	1063.635483	20561.5935032646	63772.8543143805
37000000	38000000	4.44452251832625	1.62862883077135	1243.149928	19109.3722775714	6998.64269900889
38000000	39000000	1.10951990855959	1.87633214601206	1138.829468	15200.657352028	25743.1937406415
39000000	40000000	1.10951990855959	1.70922922575168	914.434045	13403.0218921572	20670.74434315
40000000	41000000	1.10951990855959	1.32423438422726	741.224322	14021.9593599009	16755.345609411
41000000	42000000	1.39952668138615	0.878558186034288	761.198282	21700.4821524135	13619.4489607008
42000000	43000000	0.543744825756473	0.602589844522144	731.443338	30338.8004665311	33637.2507001038
43000000	44000000	0.804594391262978	0.476840093595333	1066.506538	55964.327322337	33140.8138322276
44000000	45000000	0.00257037632775138	0.500925864480256	1348.118742	67585.0985487741	NA
45000000	46000000	0.000691102120762979	0.912158611416001	1685.400516	46596.7201363377	NA
46000000	47000000	1.89078269209059	1.40065196977639	1034.261524	18630.0452908572	13799.1461363704
47000000	48000000	2.58230622227128	1.82048577586439	1931.40078	26759.3958595628	18868.0980434821
48000000	49000000	2.58230622227128	1.93365807348441	947.455936	12348.3610353774	9255.81664740088
49000000	50000000	2.08638423043656	1.86723048618166	950.81175	12814.5848631428	11452.8528122251
50000000	51000000	0.776220632930274	1.6261398939752	872.085347	13461.5172792499	28092.8726204916
51000000	52185292	1.40461146354185	1.14921140600756	1034.054014	22450.3269395335	18406.6205496827
