start_rev,end_rev,real_rate_map_cM_Mb_rev,smooth_rate_map_cM_Mb_rev,rho_rev,Ne_smooth_r_rev,Ne_real_r_rev,Tbar_ZZ,Tbar_ZZ_ci_lo,Tbar_ZZ_ci_hi,Tbar_ZW,Tbar_ZW_ci_lo,Tbar_ZW_ci_hi,Tbar_WW,Tbar_WW_ci_lo,Tbar_WW_ci_hi,Tbar_w,Tw_ci_lo,Tw_ci_hi,Tbar_t,Tt_ci_lo,Tt_ci_hi,FstBarXY,FstBarXY_ci_lo,FstBarXY_ci_hi,Tbar_ff,Tff_ci_lo,Tff_ci_hi,Tbar_mm,Tmm_ci_lo,Tmm_ci_hi,Tbar_fm,Tfm_ci_lo,Tfm_ci_hi,Tbar_wFM,TwFM_ci_lo,TwFM_ci_hi,Tbar_tFM,TtFM_ci_lo,TtFM_ci_hi,FstBarFM,FstFM_ci_lo,FstFM_ci_hi
0,1000000,1.596326304,1.072339914,538.2802086,12549.19735,8429.98401,1.013249669,0.363130392,2.409725772,1.001816266,0.368771959,2.283043338,0.997735278,0.22947061,2.559949001,1.005492473,0.427761144,1.964558031,1.00365437,0.52340491,1.766764582,-0.0185007,-0.538437177,0.519664277,1.013249669,0.363130392,2.409725772,1.007532967,0.52340491,1.766764582,1.007532967,0.493384805,1.908823721,1.008452019,0.51186862,1.916374597,1.007992493,0.513768755,1.883193259,-0.001971388,-0.143303197,0.146890544
1000000,2000000,0.698154571,1.328446907,1177.865439,22166.21216,42177.81731,1.000515758,0.370675761,2.291587633,0.999592854,0.37482091,2.362988177,0.996524132,0.229233935,2.485905245,0.998519945,0.436683,1.929348329,0.9990564,0.531280125,1.769398423,-0.019330041,-0.538811584,0.529346731,1.000515758,0.370675761,2.291587633,1.000054306,0.531280125,1.769398423,1.000054306,0.492213417,1.897043524,0.999786079,0.520611288,1.858794124,0.999920193,0.51815688,1.831219939,-0.002374485,-0.142272988,0.150224084
2000000,3000000,1.909264698,1.490067755,1102.701215,18500.85696,14438.82056,1.005399929,0.368261633,2.296118704,1.016576097,0.380711203,2.363971906,0.996959928,0.235709973,2.577013337,1.001179929,0.434857974,1.97254792,1.008878013,0.538567187,1.797386317,-0.011601434,-0.531763067,0.53274562,1.005399929,0.368261633,2.296118704,1.010988013,0.538567187,1.797386317,1.010988013,0.498322608,1.902732986,1.007138971,0.518752497,1.849079075,1.009063492,0.516466291,1.857951292,-0.000449682,-0.143541586,0.152134153
3000000,4000000,2.578275604,1.512809506,1029.532232,17013.58016,9982.759699,0.998551362,0.358497784,2.279090599,1.007633819,0.370193632,2.338754277,1.007145588,0.243046286,2.572811997,1.002848475,0.428652391,1.97538077,1.005241147,0.526618246,1.770264997,-0.016595013,-0.540855272,0.537318878,0.998551362,0.358497784,2.279090599,1.003092591,0.526618246,1.770264997,1.003092591,0.489335881,1.891170727,1.001896255,0.511701011,1.876638693,1.002494423,0.508967144,1.85790125,-0.001943182,-0.144638837,0.152217997
4000000,5000000,2.578275604,1.506437936,909.4701545,15093.05715,8818.58938,0.996227238,0.367498913,2.284550313,1.005952882,0.375722,2.354529806,0.997811697,0.234891606,2.556036186,0.997019467,0.430085703,1.958862487,1.001486175,0.524094882,1.778659192,-0.014454047,-0.531452621,0.526224941,0.996227238,0.367498913,2.284550313,1.00109006,0.524094882,1.778659192,1.00109006,0.486428895,1.891933163,0.998856706,0.510230615,1.861934095,0.999973383,0.509810962,1.845728067,-0.001475561,-0.143635315,0.149154489
5000000,6000000,2.154185363,1.409271811,1015.040153,18006.4652,11779.86085,0.996593195,0.355764476,2.341382215,0.995116909,0.364371886,2.316554977,1.005290879,0.228440665,2.57961731,1.000942037,0.427387956,1.964665706,0.998029473,0.526369319,1.757795199,-0.020267014,-0.541557036,0.528151106,0.996593195,0.355764476,2.341382215,0.995855052,0.526369319,1.757795199,0.995855052,0.487038514,1.886980843,0.997311334,0.507324606,1.879421991,0.996583193,0.509899131,1.857282985,-0.002884016,-0.147882671,0.152826111
6000000,7000000,0.000591718,1.216422549,1030.153965,21171.79523,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000000,8000000,0.001526546,1.093858704,1311.67759,29978.22264,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000000,9000000,0.805669693,1.029884419,1337.547856,32468.39723,41504.22523,0.997445869,0.373632175,2.273610921,0.999735811,0.372386396,2.241917556,1.010890993,0.235466343,2.588454953,1.004168431,0.43394159,1.982054531,1.001952121,0.526298217,1.760987168,-0.017476082,-0.542775383,0.516362426,0.997445869,0.373632175,2.273610921,0.99859084,0.526298217,1.760987168,0.99859084,0.490743839,1.844624297,0.999698995,0.517822878,1.838132781,0.999144917,0.516225861,1.834153429,-0.002065482,-0.144465691,0.148559691
9000000,10000000,0.354261488,0.969564071,941.2127581,24268.96752,66420.76476,1.002511872,0.366780659,2.296457334,1.004891928,0.38260416,2.280686932,1.001963611,0.23358461,2.503010222,1.002237742,0.432496031,1.946277923,1.003564835,0.530100112,1.768433474,-0.016051892,-0.530896938,0.528918549,1.002511872,0.366780659,2.296457334,1.0037019,0.530100112,1.768433474,1.0037019,0.49311827,1.880289026,1.003038353,0.513781609,1.855626464,1.003370127,0.519394299,1.841778367,-0.001633552,-0.140587701,0.151151817
10000000,11000000,1.469197854,0.991646545,369.1413138,9306.272373,6281.341087,1.006477872,0.367029201,2.339146433,0.996250681,0.3734021,2.303516443,1.006329935,0.228359718,2.561448205,1.006403904,0.440636572,1.972229941,1.001327292,0.526558174,1.782856269,-0.023219347,-0.531720367,0.52370549,1.006477872,0.367029201,2.339146433,1.001364277,0.526558174,1.782856269,1.001364277,0.486628821,1.887396935,1.003902582,0.514733847,1.874419148,1.002633429,0.511107896,1.864710738,-0.003652047,-0.143148632,0.148877152
11000000,12000000,1.109520159,1.060782911,219.6723532,5177.127923,4949.715232,1.003558478,0.365057767,2.318343164,1.005826251,0.380256914,2.355730457,0.993844684,0.241984696,2.537575119,0.998701581,0.440246529,1.923171005,1.002263916,0.525382198,1.77031714,-0.016316975,-0.529457648,0.527416246,1.003558478,0.365057767,2.318343164,1.004692365,0.525382198,1.77031714,1.004692365,0.493439937,1.915118114,1.002911197,0.510395852,1.872095911,1.003801781,0.512613254,1.855921451,-0.001563376,-0.139698445,0.149198191
12000000,13000000,1.109520159,1.106935349,468.7871506,10587.50069,10562.83536,1.001422077,0.371541867,2.316736614,0.998669326,0.376151384,2.266277353,0.992529614,0.233863266,2.469357781,0.996975846,0.438627579,1.93429836,0.997822586,0.523492944,1.735429097,-0.017605949,-0.535352392,0.518765978,1.001422077,0.371541867,2.316736614,1.000045701,0.523492944,1.735429097,1.000045701,0.491197736,1.853119597,0.999622331,0.51093719,1.832727792,0.999834016,0.511481523,1.820545041,-0.00175231,-0.140240018,0.147914356
13000000,14000000,1.109520159,1.13720763,512.6640726,11270.23903,11551.48171,1.002156128,0.372476902,2.290467521,0.996561208,0.366160353,2.305357822,0.999762593,0.230676542,2.481667749,1.00095936,0.439900395,1.95566983,0.998760284,0.530316811,1.783682198,-0.020127696,-0.536945469,0.522902907,1.002156128,0.372476902,2.290467521,0.999358668,0.530316811,1.783682198,0.999358668,0.48513688,1.89053753,1.000458206,0.512999198,1.875673427,0.999908437,0.510350098,1.847036958,-0.002747418,-0.142823194,0.1482689
14000000,15000000,2.126932167,1.187746492,572.0800433,12041.29095,6724.239402,1.003217012,0.372698465,2.294680248,0.986244593,0.368273798,2.243062827,1.000655704,0.232404824,2.559070564,1.001936358,0.434969587,1.951578555,0.994090476,0.534337597,1.759140991,-0.025109037,-0.534784689,0.524957546,1.003217012,0.372698465,2.294680248,0.994730803,0.534337597,1.759140991,0.994730803,0.489161162,1.872305351,0.998653744,0.513287338,1.858377832,0.996692273,0.514135323,1.845058326,-0.003993554,-0.143655381,0.148362011
15000000,16000000,2.439978228,1.232078566,749.619831,15210.47138,7680.59959,1.001104768,0.363439482,2.268286351,1.008599796,0.373029429,2.2987121,1.004455777,0.240704776,2.522572277,1.002780273,0.433299502,1.911933874,1.005690034,0.535471746,1.756229661,-0.015953117,-0.5364114,0.525557755,1.001104768,0.363439482,2.268286351,1.004852282,0.535471746,1.756229661,1.004852282,0.496483574,1.882784367,1.003397401,0.513803636,1.84580322,1.004124841,0.515650489,1.858242726,-0.001605481,-0.142440983,0.151644736
16000000,17000000,0.797100042,1.243730482,1028.782615,20679.37206,32266.42081,0.998888369,0.359764107,2.247901735,0.999837407,0.373432063,2.305721357,1.004820064,0.227837882,2.543778498,1.001854216,0.434991033,1.959484078,1.000845812,0.524674204,1.768588445,-0.019119115,-0.546065763,0.523568562,0.998888369,0.359764107,2.247901735,0.999362888,0.524674204,1.768588445,0.999362888,0.488575776,1.851426295,0.99986709,0.513159316,1.832415748,0.999614989,0.51295581,1.810005209,-0.002147236,-0.143478325,0.14936943
17000000,18000000,0.000699953,1.186914959,475.347851,10012.25588,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18000000,19000000,0.000639079,1.116265485,868.8869668,19459.68452,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
