window	Window_start	Window_end	chr	chr_start	chr_end	scaffold	scaf_start	scaf_end	rho_per_bp	rho_per_window
ChrZ	1	200000	ChrZ	149449	354022	superscaffold26	149449	354022	0.001016	203.27749
ChrZ	200001	400000	ChrZ	309765	491202	superscaffold26	309765	491202	0.000861	172.144592
ChrZ	400001	600000	ChrZ	566018	714296	superscaffold26	566018	714296	0.001825	364.906844
ChrZ	600001	800000	ChrZ	683158	865588	superscaffold26	683158	865588	0.00179	357.970334
ChrZ	800001	1000000	ChrZ	931740	1054577	superscaffold26	931740	1054577	0.002432	486.374285
ChrZ	1000001	1200000	ChrZ	1029606	1152642	superscaffold26	1029606	1152642	0.002737	547.454335
ChrZ	1200001	1400000	ChrZ	1308055	1434133	superscaffold26	1308055	1434133	0.0027	539.983594
ChrZ	1400001	1600000	ChrZ	1520800	1665884	superscaffold26	1520800	1665884	0.003263	652.63012
ChrZ	1600001	1800000	ChrZ	1633132	1765168	superscaffold26	1633132	1765168	0.003119	623.703197
ChrZ	1800001	2000000	ChrZ	1931003	2046607	superscaffold26	1931003	2046607	0.00203	405.991031
ChrZ	2000001	2200000	ChrZ	2019659	2141499	superscaffold26	2019659	2141499	0.003104	620.706075
ChrZ	2200001	2400000	ChrZ	2302112	2401672	superscaffold26	2302112	2401672	0.004297	859.443136
ChrZ	2400001	2600000	ChrZ	2540507	2632486	superscaffold26	2540507	2632486	0.002646	529.189517
ChrZ	2600001	2800000	ChrZ	2706981	2844072	superscaffold26	2706981	2844072	0.001862	372.367208
ChrZ	2800001	3000000	ChrZ	2990442	3148132	superscaffold26	2990442	3148132	0.00203	405.968991
ChrZ	3000001	3200000	ChrZ	3125760	3232213	superscaffold26	3125760	3232213	0.002561	512.231655
ChrZ	3200001	3400000	ChrZ	3125760	3232213	superscaffold26	3125760	3232213	0.002934	586.821569
ChrZ	3400001	3600000	ChrZ	3595774	3709760	superscaffold26	3595774	3709760	0.002404	480.82429
ChrZ	3600001	3800000	ChrZ	3788733	3921681	superscaffold26	3788733	3921681	0.002446	489.228061
ChrZ	3800001	4000000	ChrZ	3895334	4056672	superscaffold26	3895334	4056672	0.002324	464.701371
ChrZ	4000001	4200000	ChrZ	4128872	4260681	superscaffold26	4128872	4260681	0.002265	452.954827
ChrZ	4200001	4400000	ChrZ	4128872	4260681	superscaffold26	4128872	4260681	0.001906	381.242479
ChrZ	4400001	4600000	ChrZ	4589844	4730463	superscaffold26	4589844	4730463	0.001176	235.268995
ChrZ	4600001	4800000	ChrZ	4697941	4864257	superscaffold26	4697941	4864257	0.001707	341.441257
ChrZ	4800001	5000000	ChrZ	4956799	5071341	superscaffold26	4956799	5071341	0.001344	268.786131
ChrZ	5000001	5200000	ChrZ	5154573	5297026	superscaffold26	5154573	5297026	0.001829	365.753124
ChrZ	5200001	5400000	ChrZ	5154573	5297026	superscaffold26	5154573	5297026	0.001553	310.510956
ChrZ	5400001	5600000	ChrZ	5502509	5653155	superscaffold26	5502509	5653155	0.001327	265.399964
ChrZ	5600001	5800000	ChrZ	5752125	5925620	superscaffold26	5752125	5925620	0.001092	218.465949
ChrZ	5800001	6000000	ChrZ	5899192	6055504	superscaffold26	5899192	6055504	0.001306	261.290165
ChrZ	6000001	6200000	ChrZ	6157268	6293239	superscaffold26	6157268	6293239	0.001028	205.68214
ChrZ	6200001	6400000	ChrZ	6267872	6403296	superscaffold26	6267872	6403296	0.000784	156.892031
ChrZ	6400001	6600000	ChrZ	6267872	6403296	superscaffold26	6267872	6403296	0.000858	171.665811
ChrZ	6600001	6800000	ChrZ	6752613	6887670	superscaffold26	6752613	6887670	0.000793	158.641894
ChrZ	6800001	7000000	ChrZ	6962847	7105793	superscaffold26	6962847	7105793	0.000889	177.740774
ChrZ	7000001	7200000	ChrZ	7190873	7322476	superscaffold26	7190873	7322476	0.000913	182.577506
ChrZ	7200001	7400000	ChrZ	7294095	7417410	superscaffold26	7294095	7417410	0.001422	284.393948
ChrZ	7400001	7600000	ChrZ	7294095	7417410	superscaffold26	7294095	7417410	0.001034	206.789306
ChrZ	7600001	7800000	ChrZ	7711293	7850993	superscaffold26	7711293	7850993	0.001064	212.893963
ChrZ	7800001	8000000	ChrZ	7930287	8057196	superscaffold26	7930287	8057196	0.001234	246.707134
ChrZ	8000001	8200000	ChrZ	8144073	8293698	superscaffold26	8144073	8293698	0.001204	240.821064
ChrZ	8200001	8400000	ChrZ	8385781	8526763	superscaffold26	8385781	8526763	0.000698	139.553751
ChrZ	8400001	8600000	ChrZ	8385781	8526763	superscaffold26	8385781	8526763	0.00099	198.064391
ChrZ	8600001	8800000	ChrZ	8728579	8888252	superscaffold26	8728579	8888252	0.000761	152.28168
ChrZ	8800001	9000000	ChrZ	8959578	9102894	superscaffold26	8959578	9102894	0.000833	166.560271
