scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold92.16.1	60.9947964583333	2.76758311409497	56.098875	59.0305	60.845	62.78875	66.7755	4800
superscaffold92.15.1	208.543071041667	10.3663200256452	188.757925	201.4815	208.3705	215.45475	229.460325	3658.72739978374
superscaffold92.14.1	236.39640125	14.5396904732805	210.58325	226.1475	235.1735	245.7965	267.960625	2888.0372715147
superscaffold92.13.1	302.843716666667	16.1982057316775	272.30445	291.6945	302.7395	313.442	335.43835	3653.01444796068
superscaffold92.12.1	291.491302916667	15.1448500345698	263.47205	280.981	290.7525	301.48775	322.280675	4154.15451920263
superscaffold92.11.1	124.231969583333	5.07803611018192	115.367875	120.594	123.846	127.4285	135.249	4613.08640886131
superscaffold92.10.1	99.1433647916667	5.87798612726548	88.758875	94.957	98.819	102.90975	111.6662	4799.99999999999
superscaffold92.9.1	109.308488125	4.77554673981566	100.7729	106.04375	108.985	112.14275	119.7744	4553.9486760059
superscaffold92.8.1	110.531082291667	4.91330273437698	101.69145	107.19375	110.185	113.6305	120.9733	4173.10201570481
superscaffold92.7.1	78.2715839583333	2.58132236562484	73.39695	76.509	78.158	80.005	83.598075	3973.14470309179
superscaffold92.6.1	89.947403125	3.52330502113029	84.1946	87.6585	89.6075	91.726	98.5225	2934.28600849911
superscaffold92.5.1	69.4701975	2.55578615080968	64.8574	67.7415	69.293	71.067	74.945125	4800
superscaffold92.4.1	58.1840383333333	2.33007466354283	53.92595	56.5705	58.0585	59.65525	62.946075	3709.70721380082
superscaffold92.3.1	88.6161164583333	3.0481856670458	83.00395	86.61725	88.434	90.464	94.73435	4145.10641202365
superscaffold92.2.1	38.65397	2.15647500565787	34.78795	37.12	38.511	40.07425	43.1438	2993.51343907744
superscaffold92.1.1	64.551314375	6.69720537666124	53.7373	59.859	63.923	68.147	81.0260999999999	4255.55982699845
superscaffold83.4.1	41.229998125	3.75760856876693	35.1335	38.64025	40.7555	43.31225	50.049375	4704.77158111982
superscaffold83.3.1	62.377455625	2.52993452497823	57.735775	60.56525	62.2305	64.0745	67.499425	1243.01612439011
superscaffold83.2.1	39.7248429166667	1.94413287505612	36.13695	38.399	39.6325	41.01525	43.74805	4349.06288927927
superscaffold83.1.1	58.9096904166667	2.86722764560744	53.8149	56.9095	58.7815	60.69575	64.975075	4434.31839886039
superscaffold88.2.1	45.4930883333333	2.26823197717081	41.366875	43.9185	45.387	46.9765	50.022025	3282.60483350487
superscaffold88.1.1	86.9444529166667	3.56633244689371	80.4697	84.4855	86.75	89.24325	94.41885	4181.61689939687
superscaffold63.11.1	34.3311710416667	1.71187249683523	31.164975	33.15875	34.2465	35.42825	37.81765	4799.99999999999
superscaffold63.10.1	165.642388541667	6.80117443611273	153.163825	160.9335	165.3125	169.94225	179.889025	4314.99859283961
superscaffold63.9.1	229.119062916667	10.6344266022762	209.944775	221.81975	228.48	235.484	251.4761	3554.77614031709
superscaffold63.8.1	153.678259791667	9.09625976726141	138.464025	147.33375	152.4925	158.99975	174.676425	2933.60781687995
superscaffold63.7.1	182.480322291667	6.32939818232095	170.253	178.23075	182.5195	186.657	195.290075	4292.53724793781
superscaffold63.6.1	158.007383125	5.7504550326024	147.598575	153.9035	157.766	161.7585	169.98065	4377.38675234284
superscaffold63.5.1	107.112020833333	4.33164764334405	99.331725	104.12575	106.868	109.89	116.345375	4799.99999999999
superscaffold63.4.1	52.7741108333333	1.75995094974158	49.51975	51.56125	52.71	53.943	56.42705	1842.83791975685
superscaffold63.3.1	190.078680625	13.4176232325299	166.188175	180.401	189.534	198.86575	218.075225	4799.99999999999
superscaffold63.2.1	271.905718958333	12.9464441300778	247.5909	263.07225	271.4575	280.446	297.71715	4545.70568505402
superscaffold63.1.1	190.676824583333	6.55373674506929	178.875925	186.044	190.4575	194.9405	203.96425	4251.5776829236
superscaffold93.29.1	42.4441095833333	3.37759690587658	36.8799	40.10975	42.0595	44.43925	50.07235	4800.00000000001
superscaffold93.28.1	274.991716666667	12.5542810562565	252.1495	266.287	274.692	283.40375	300.817075	4594.75503251521
superscaffold93.27.1	270.144889791667	18.0385700410712	236.20685	257.83775	269.62	281.576	306.55225	4542.84185472366
superscaffold93.26.1	297.300738333333	16.1448507074606	268.21015	285.9685	296.471	307.9045	330.6621	3566.28883421444
superscaffold93.25.1	308.9065025	32.5508242137807	249.552225	282.06225	313.033	332.776	367.535725	633.044360829853
superscaffold93.24.1	229.429362291667	15.002388564031	201.693125	218.74525	228.9945	238.97825	260.665225	3198.29495481628
superscaffold93.23.1	100.220454375	3.23170153785245	94.291825	98.00575	100.0295	102.261	107.114175	4800
superscaffold93.22.1	229.923195	9.62180518025341	212.083825	223.27275	229.585	236.30075	250.01965	3206.5455329896
superscaffold93.21.1	239.626002083333	9.62399600702071	221.8187	232.86575	239.2295	245.88925	259.214125	4800.00000000001
superscaffold93.20.1	223.770145208333	8.13658865399471	208.97875	218.20275	223.488	229.0375	240.922025	4550.58655383461
superscaffold93.19.1	211.659684583333	8.45031177698476	195.904975	205.80825	211.389	217.309	228.723625	4566.49026481574
superscaffold93.18.1	154.981275	11.3652409706024	137.082525	147.13	153.34	161.1855	182.28685	4099.90098292801
superscaffold93.17.1	120.526736666667	5.71127657667417	110.066675	116.65875	120.082	124.1305	132.6802	4799.99999999999
superscaffold93.16.1	58.4571745833333	2.4164412768808	53.8839	56.80575	58.396	60.063	63.290025	4316.49810286043
superscaffold93.15.1	35.9066672916667	2.59095157823922	31.3519	34.05975	35.6835	37.53525	41.557225	4800
superscaffold93.14.1	63.8970714583333	3.01691927712189	58.710975	61.8355	63.6395	65.72	70.461225	4451.69325212556
superscaffold93.13.1	51.6832704166667	1.8877377185124	48.127925	50.42975	51.598	52.91375	55.59425	4000.90116347678
superscaffold93.12.1	46.11189	1.27258307600504	43.67695	45.25	46.067	46.961	48.701075	3902.18066256667
superscaffold93.11.1	32.5470220833333	1.39175144136008	29.925875	31.59475	32.514	33.468	35.34515	907.759630523713
superscaffold93.10.1	19.8878075	1.1799131296699	17.615	19.08875	19.8655	20.646	22.260225	3557.26229607452
superscaffold93.9.1	15.3934654166667	0.96223045551606	13.731975	14.691	15.332	16.034	17.34615	143.773754360035
superscaffold93.8.1	32.8429085416667	1.08930255332851	30.7468	32.09875	32.823	33.55925	35.08005	237.196263527366
superscaffold93.7.1	57.4376014583333	4.2649698825795	50.0449	54.061	57.4995	60.68225	65.40815	4596.4879988294
superscaffold93.6.1	38.18063875	1.45993601006645	35.58265	37.16075	38.082	39.11925	41.2613	4001.21909590965
superscaffold93.5.1	60.5099979166667	1.82633977482698	57.10995	59.2935	60.453	61.684	64.38905	2869.45743724127
superscaffold93.4.1	38.948365625	1.48451271559973	36.131975	37.95475	38.927	39.90625	41.998075	2618.79275624581
superscaffold93.3.1	54.617136875	4.00484053684826	48.53575	51.83975	53.9995	56.597	64.2431	4293.87574035969
superscaffold93.2.1	51.3869752083333	4.10020781424983	45.55595	48.42175	50.349	53.7625	60.93655	1094.94083930774
superscaffold93.1.1	72.8122647916667	2.23137632960645	68.525925	71.31875	72.7875	74.25525	77.3151	2446.50660416309
superscaffold69-1.31.1	56.5957635416667	2.581673184239	51.963975	54.77075	56.424	58.28275	62.19915	4385.72117723138
superscaffold69-1.30.1	69.1387258333333	3.39653750047348	62.988775	66.78275	68.9795	71.3115	76.290025	4426.45961674638
superscaffold69-1.29.1	100.500643958333	7.34505681249448	89.87685	95.4435	99.3135	104.13975	117.929275	2840.51270367274
superscaffold69-1.28.1	68.288783125	3.04287864939422	62.667	66.1855	68.1305	70.2265	74.629525	3544.77892270068
superscaffold69-1.27.1	196.053864375	10.4985785372157	175.57075	188.90225	195.957	202.99525	216.744825	4800
superscaffold69-1.26.1	232.432699791667	11.1072854303308	211.1656	224.949	231.9395	239.44025	255.573175	4375.84811659142
superscaffold69-1.25.1	290.627441458333	15.3056145935598	262.3407	280.01525	290.154	300.87975	320.94675	4391.838156117
superscaffold69-1.24.1	261.328888333333	11.8125637498323	238.817725	253.57225	261.242	269.04775	285.718275	4800.00000000001
superscaffold69-1.23.1	183.539624166667	6.7846780690713	171.05695	178.83075	183.376	188.08725	197.262225	3972.97779187901
superscaffold69-1.22.1	176.11735375	7.54957693681211	162.085575	171.04675	175.6115	180.683	192.474825	5393.32734820823
superscaffold69-1.21.1	267.294793541667	12.6915696495135	243.93405	258.6925	266.6655	275.244	294.7723	4384.15097674622
superscaffold69-1.20.1	289.401658125	20.0671488321099	251.397725	275.47775	288.674	302.39775	330.252675	4474.28811552503
superscaffold69-1.19.1	510.694157916667	33.3597564770866	446.800525	487.97075	510.391	532.34475	579.978025	3331.76984553443
superscaffold69-1.18.1	389.830468541667	20.9784545090356	353.3087	375.1415	388.047	402.73975	434.31355	2706.65504005605
superscaffold69-1.17.1	193.439493541667	9.56532599097204	176.228675	186.59075	192.76	199.7785	213.395375	4800
superscaffold69-1.16.1	218.449449791667	11.1387683872878	198.774475	210.70375	217.673	225.6295	242.2528	3352.99774902031
superscaffold69-1.15.1	172.50191375	11.0517275098289	152.277775	164.75375	171.913	179.7085	195.6932	4472.52446602119
superscaffold69-1.14.1	215.92773	13.1159603948234	193.111775	206.59875	215.048	224.07525	243.731925	4523.82327979492
superscaffold69-1.13.1	224.616180208333	11.6006136084405	203.4518	216.77725	224.1095	231.73075	249.56875	4332.46683009776
superscaffold69-1.12.1	178.378670416667	11.8687332242548	156.99805	170.2485	177.7825	186.19275	203.228725	3911.18534469316
superscaffold69-1.11.1	305.6276375	20.7772044167231	267.69105	291.23075	304.603	318.914	350.307	4799.99999999999
superscaffold69-1.10.1	203.841278958333	13.2451995521542	180.348875	194.6265	203.0305	212.19225	232.272425	4241.44925083678
superscaffold69-1.9.1	142.595818541667	6.89959519891775	129.938425	137.89775	142.2635	146.98025	156.90025	4869.5330983587
superscaffold69-1.8.1	147.997424375	7.19960197043734	135.144225	142.9465	147.632	152.52625	163.24305	4403.88115110346
superscaffold69-1.7.1	179.005890416667	10.4555034386453	160.438375	171.527	178.2545	185.9635	201.021975	4800.00000000001
superscaffold69-1.6.1	127.642438333333	6.03395941173665	116.86035	123.5105	127.318	131.44025	140.64335	4800.00000000002
superscaffold69-1.5.1	186.779149791667	8.68021783217105	170.374775	180.952	186.457	192.4495	204.604275	4800
superscaffold69-1.4.1	128.033673125	11.8758013645236	107.55565	119.5285	127.219	135.735	154.4488	4800.00000000001
superscaffold69-1.3.1	241.003401041667	11.4959980526397	219.9645	233.058	240.441	248.3745	265.8462	3579.09849342926
superscaffold69-1.2.1	177.418661875	7.18462334182621	163.8976	172.6185	177.1855	182.0045	192.70715	4168.05466575903
superscaffold69-1.1.1	197.085401458333	12.6015826777447	174.77	188.2475	196.3065	205.02425	224.35295	3440.01652537131
superscaffold67.18.1	57.5004189583333	7.00133711717363	45.400075	52.6395	56.9145	61.967	72.7211	5135.41918147324
