gg_chr	gg_start	gg_end	sc_scaffold	sc_scaffold_length	sc_start	sc_end
chromosome_1	187008508	187039879	superscaffold91	2904016	2812100	2846133
chromosome_1	187041605	187060946	superscaffold91	2904016	2787905	2807151
chromosome_1	187083642	187103918	superscaffold91	2904016	2736381	2757974
chromosome_1	187173505	187191729	superscaffold91	2904016	2627336	2647430
chromosome_1	187203614	187223861	superscaffold91	2904016	2594316	2615695
chromosome_1	187668215	187691019	superscaffold91	2904016	1985452	2008451
chromosome_1	187691021	187727248	superscaffold91	2904016	1947677	1984559
chromosome_1	187738769	187755487	superscaffold91	2904016	1914717	1932471
chromosome_1	187756153	187819756	superscaffold91	2904016	1847890	1914708
chromosome_1	187825776	187885449	superscaffold91	2904016	1780446	1843678
chromosome_1	187932885	187953494	superscaffold91	2904016	1704864	1726499
chromosome_1	187961117	187992193	superscaffold91	2904016	1667880	1698178
chromosome_1	188004229	188021815	superscaffold91	2904016	1643025	1660628
chromosome_1	188073612	188113789	superscaffold91	2904016	1548499	1587882
chromosome_1	188150371	188168712	superscaffold91	2904016	1503962	1521290
chromosome_1	188194150	188210950	superscaffold91	2904016	1462041	1478764
chromosome_1	188225555	188254302	superscaffold91	2904016	1419688	1447940
chromosome_1	188531714	188579434	superscaffold91	2904016	1173774	1220081
chromosome_1	188580235	188598459	superscaffold91	2904016	1152012	1171006
chromosome_1	188746653	188763064	superscaffold91	2904016	968826	986407
chromosome_1	189064516	189093370	superscaffold91	2904016	603266	632764
chromosome_1	189172999	189193602	superscaffold91	2904016	496442	517622
chromosome_1	189229387	189250900	superscaffold91	2904016	441697	462935
chromosome_1	189421046	189465484	superscaffold91	2904016	186172	229503
chromosome_1	189465607	189482763	superscaffold91	2904016	166242	185256
chromosome_1	139357560	139384156	superscaffold14	41358918	14595505	14624373
chromosome_1	139394146	139410116	superscaffold14	41358918	14633136	14651812
chromosome_1	139583972	139604329	superscaffold14	41358918	14862516	14884033
chromosome_1	139680480	139702884	superscaffold14	41358918	14958954	14981360
chromosome_1	139829916	139851043	superscaffold14	41358918	15119570	15140969
chromosome_1	139900164	139929991	superscaffold14	41358918	15194233	15223643
chromosome_1	139930908	139957183	superscaffold14	41358918	15223665	15249174
chromosome_1	139979752	140000676	superscaffold14	41358918	15272932	15294651
chromosome_1	140022743	140064042	superscaffold14	41358918	15317670	15359275
chromosome_1	140064089	140084037	superscaffold14	41358918	15360001	15381492
chromosome_1	140084758	140116620	superscaffold14	41358918	15386105	15419782
chromosome_1	140126127	140147680	superscaffold14	41358918	15432037	15452354
chromosome_1	140177437	140203376	superscaffold14	41358918	15489801	15516963
chromosome_1	140246091	140286732	superscaffold14	41358918	15570859	15613232
chromosome_1	140287161	140306935	superscaffold14	41358918	15614655	15636046
chromosome_1	140338903	140365663	superscaffold14	41358918	15664723	15690637
chromosome_1	140365676	140392932	superscaffold14	41358918	15692716	15721485
chromosome_1	140694476	140710428	superscaffold14	41358918	16104638	16121737
