start	end	pair_cm	pair_cm_per_site	kosambi_r_length_region	kosambi_r_per_site	length_region
1113306	3461663	3.096	1.31836854447599e-06	0.0309204928168274	1.31668621154396e-08	2348357
3461664	4790874	1.609	1.21049345099721e-06	0.0160844482869193	1.21007578087129e-08	1329210
4790875	5218698	5.059	1.18249836965287e-05	0.0504180674615329	1.17847959229712e-07	427823
5218699	10507220	2.451	4.63456607244256e-07	0.0244903866653429	4.63085741086079e-09	5288521
10507221	11691139	2.203	1.86077076283999e-06	0.0220157555683211	1.8595676025131e-08	1183918
11691140	11695125	0	0	0	0	3985
11695126	11711234	0	0	0	0	16108
11711235	11729011	0	0	0	0	17776
11729012	12078491	0	0	0	0	349479
12078492	12089135	0	0	0	0	10643
12089136	12167169	0	0	0	0	78033
12167170	12175651	0	0	0	0	8481
12175652	12403908	1.973	8.64380344875928e-06	0.0197197659017014	8.63931984337824e-08	228256
12403909	13125124	2.886	4.00158066595953e-06	0.028827992676934	3.9971426935011e-08	721215
13125125	13951569	0.00199999999999889	2.42000667921709e-09	1.99999999893465e-05	2.42000667792936e-11	826444
13951570	14007528	1.061	1.89606490582222e-05	0.0106084077668104	1.89578036506136e-07	55958
14007529	14449952	0.00799999999999912	1.80822425597203e-08	7.99999993173274e-05	1.80822424054191e-10	442423
14449953	14455693	0	0	0	0	5740
14455694	15381117	1.497	1.61763863660186e-06	0.014965528549319	1.61715545748474e-08	925423
15381118	15406894	0	0	0	0	25776
15406895	15598336	0	0	0	0	191441
15598337	15601721	0	0	0	0	3384
15601722	15662820	0	0	0	0	61098
15662821	16398847	1.49	2.0243850081383e-06	0.0148955909674856	2.023785975969e-08	736026
16398848	16400859	0	0	0	0	2011
16400860	16404181	0	0	0	0	3321
16404182	16718017	0	0	0	0	313835
16718018	17050965	0	0	0	0	332947
17050966	17083964	0	0	0	0	32998
17083965	17084511	0.747	0.00136813186813187	0.00746944427265206	1.36803008656631e-05	546
17084512	17212083	0	0	0	0	127571
17212084	17225441	0	0	0	0	13357
17225442	17229655	0	0	0	0	4213
17229656	17251313	0	0	0	0	21657
17251314	17287866	0	0	0	0	36552
17287867	17288999	0	0	0	0	1132
17289000	20228143	3.759	1.27894423646621e-06	0.0375193397792723	1.27654012680813e-08	2939143
20228144	20235346	0	0	0	0	7202
20235347	20410835	0	0	0	0	175488
20410836	20418427	0	0	0	0	7591
20418428	20553916	0	0	0	0	135488
20553917	20555255	0	0	0	0	1338
20555256	20557372	0	0	0	0	2116
20557373	20559478	0	0	0	0	2105
20559479	20619745	0	0	0	0	60266
20619746	23127059	0	0	0	0	2507313
23127060	24440099	0	0	0	0	1313039
24440100	24471468	2.651	8.45128793675083e-05	0.0264851869666616	8.4433776353805e-07	31368
24471469	24534314	0	0	0	0	62845
24534315	25933790	0	0	0	0	1399475
25933791	25936949	0	0	0	0	3158
25936950	25939436	0	0	0	0	2486
25939437	25943284	0	0	0	0	3847
25943285	25964699	0	0	0	0	21414
25964700	26007928	0	0	0	0	43228
26007929	26392098	0	0	0	0	384169
26392099	26502477	0	0	0	0	110378
26502478	26921145	0	0	0	0	418667
26921146	26987492	0.398999999999997	6.01392698881617e-06	0.00398991530722531	6.0137993356424e-08	66346
26987493	27997470	1.207	1.19507671956886e-06	0.01206765599072	1.19484463415701e-08	1009977
27997471	28044947	0	0	0	0	47476
28044948	28109800	0	0	0	0	64852
28109801	28162988	0	0	0	0	53187
28162989	28377619	0	0	0	0	214630
28377620	28378699	0	0	0	0	1079
28378700	28386228	0.225000000000001	2.98884165781086e-05	0.00224998481262304	2.98882148329309e-07	7528
28386229	29076941	0.310000000000002	4.48812240123238e-07	0.00309996027927745	4.48806489430826e-09	690712
29076942	29117776	0	0	0	0	40834
29117777	29464892	0	0	0	0	347115
29464893	29498767	0	0	0	0	33874
29498768	29502283	0	0	0	0	3515
29502284	29796396	1.068	3.63126972037862e-06	0.0106783760477943	3.63071756602734e-08	294112
29796397	29813125	0	0	0	0	16728
29813126	29817896	0	0	0	0	4770
29817897	29818594	0	0	0	0	697
29818595	29852941	0	0	0	0	34346
29852942	29858575	0	0	0	0	5633
29858576	30285946	0	0	0	0	427370
30285947	33011968	3.78	1.38663641989552e-06	0.0377281507173372	1.38400073650706e-08	2726021
33011969	34576721	0	0	0	0	1564752
34576722	35905578	0	0	0	0	1328856
35905579	36113261	0	0	0	0	207682
36113262	36649389	0	0	0	0	536127
36649390	36657815	0	0	0	0	8425
36657816	36670115	0	0	0	0	12299
36670116	36684044	0	0	0	0	13928
36684045	37090120	0	0	0	0	406075
37090121	37094238	0	0	0	0	4117
37094239	37100071	0	0	0	0	5832
37100072	37151753	0	0	0	0	51681
37151754	37158404	0	0	0	0	6650
37158405	41593205	1.61	3.63037792008659e-07	0.0160944379321117	3.62912373322624e-09	4434800
41593206	42307224	0	0	0	0	714018
42307225	42385430	0	0	0	0	78205
42385431	43113660	0	0	0	0	728229
43113661	43121210	0	0	0	0	7549
43121211	43129922	0	0	0	0	8711
43129923	43132139	0	0	0	0	2216
43132140	43134947	1.597	0.000568934805842537	0.0159645715442571	5.68741415898008e-06	2807
43134948	43152448	0	0	0	0	17500
43152449	43153424	0.00400000000000489	4.10256410256912e-06	3.99999999147172e-05	4.10256409381715e-08	975
43153425	43166486	0.00400000000000489	3.0625526376272e-07	3.99999999147172e-05	3.06255263109388e-09	13061
43166487	43198878	0	0	0	0	32391
43198879	43988444	0	0	0	0	789565
43988445	44169174	0.00300000000000011	1.65994389389645e-08	2.99999999640082e-05	1.65994389190491e-10	180729
44169175	45728377	0.00300000000000011	1.9240611543598e-09	2.99999999640082e-05	1.92406115205138e-11	1559202
45728378	45735720	0	0	0	0	7342
45735721	46277791	0	0	0	0	542070
46277792	49480514	0.973999999999997	3.04116311062901e-07	0.00973876817307771	3.04077849188213e-09	3202722
49480515	49483269	0.564999999999998	0.000205156136528685	0.0056497595294489	2.05147404845639e-06	2754
49483270	49486644	0.184000000000005	5.45346769413173e-05	0.00183999169403972	5.45344307658483e-07	3374
49486645	49490789	0.186	4.48841698841699e-05	0.00185999142023948	4.48839628436167e-07	4144
49490790	50992471	0.0439999999999969	2.93004972427546e-08	0.000439999886421322	2.93004896793209e-10	1501681
50992472	51689547	0	0	0	0	697075
51689548	51699365	0	0	0	0	9817
51699366	51738941	0	0	0	0	39575
51738942	53065776	1.558	1.17422375368735e-06	0.0155749595134569	1.17384386543131e-08	1326834
53065777	54794370	0	0	0	0	1728593
54794371	54798862	0	0	0	0	4491
54798863	54801240	0	0	0	0	2377
54801241	55467763	0	0	0	0	666522
55467764	55484689	0	0	0	0	16925
55484690	55498326	0	0	0	0	13636
55498327	55858884	0	0	0	0	360557
55858885	55937080	0	0	0	0	78195
55937081	58164347	0	0	0	0	2227266
58164348	58175813	1.576	0.000137461840383777	0.0157547828320131	1.37416335211628e-06	11465
58175814	58216971	0.00600000000000023	1.45783220351343e-07	5.99999997119943e-05	1.45783219651564e-09	41157
58216972	62170465	4.759	1.20374564973303e-06	0.0474468092336914	1.20012376988378e-08	3953493
62170466	62253805	0	0	0	0	83339
62253806	62421857	0	0	0	0	168051
62421858	62766500	0	0	0	0	344642
62766501	62768215	0	0	0	0	1714
62768216	62805019	0	0	0	0	36803
62805020	62887672	0	0	0	0	82652
62887673	62888261	0	0	0	0	588
62888262	66309077	8.671	2.53477606944544e-06	0.0858510779867325	2.50966737419979e-08	3420815
66309078	66392493	0	0	0	0	83415
66392494	67210879	0	0	0	0	818385
67210880	67226485	0	0	0	0	15605
67226486	67232728	0	0	0	0	6242
67232729	67237726	0	0	0	0	4997
67237727	67527693	0	0	0	0	289966
67527694	67710738	0	0	0	0	183044
67710739	67713100	1.663	0.000704362558238036	0.0166238705238947	7.04102944679995e-06	2361
67713101	67725033	0	0	0	0	11932
67725034	67828582	0	0	0	0	103548
67828583	67862789	0	0	0	0	34206
67862790	67865337	0	0	0	0	2547
67865338	68669948	1.428	1.77477287132896e-06	0.0142761186600217	1.77429048359101e-08	804610
68669949	68746110	1.427	1.8736623731306e-05	0.0142661268066198	1.87315381975286e-07	76161
68746111	68747319	0	0	0	0	1208
68747320	68820812	0	0	0	0	73492
