Pos	female_cM	male_cM	sex_averaged_cM	female_smoothed25	male_smoothed25	sex_averaged_smoothed25
1113306	0	0	0	-1.348	0.644	-0.352
3461664	4.768	3.096	3.932	6.853	3.646	5.249
4790875	11.351	4.705	8.028	11.122	5.421	8.271
5218699	13.249	9.764	11.5065	12.437	6.002	9.22
10507221	26.997	12.215	19.606	26.268	13.553	19.91
11691140	27.233	14.418	20.8255	28.728	15.317	22.022
11695126	27.233	14.418	20.8255	28.735	15.323	22.029
11711235	27.233	14.418	20.8255	28.767	15.347	22.057
11729012	27.233	14.418	20.8255	28.802	15.374	22.088
12078492	27.233	14.418	20.8255	29.482	15.9	22.691
12089136	27.234	14.418	20.826	29.503	15.916	22.709
12167170	27.233	14.418	20.8255	29.652	16.034	22.843
12175652	27.232	14.418	20.825	29.668	16.047	22.857
12403909	29.139	16.391	22.765	30.103	16.4	23.251
13125125	34.148	19.277	26.7125	31.481	17.594	24.538
13951570	34.148	19.279	26.7135	33.008	19.049	26.028
14007529	34.148	20.34	27.244	33.107	19.149	26.128
14449953	35.263	20.348	27.8055	33.866	19.935	26.9
14455694	36.206	20.348	28.277	33.875	19.945	26.91
15381118	36.206	21.845	29.0255	35.175	21.544	28.36
15406895	36.206	21.845	29.0255	35.206	21.588	28.397
15598337	36.206	21.845	29.0255	35.426	21.904	28.665
15601722	36.206	21.845	29.0255	35.43	21.91	28.67
15662821	36.206	21.845	29.0255	35.497	22.009	28.753
16398848	36.206	23.335	29.7705	36.237	23.148	29.692
16400860	36.206	23.335	29.7705	36.239	23.151	29.695
16404182	36.206	23.335	29.7705	36.242	23.155	29.699
16718018	36.206	23.335	29.7705	36.504	23.604	30.054
17050966	36.206	23.335	29.7705	36.74	24.06	30.4
17083965	36.206	23.335	29.7705	36.763	24.105	30.434
17084512	36.206	24.082	30.144	36.764	24.105	30.434
17212084	36.206	24.082	30.144	36.836	24.273	30.554
17225442	36.206	24.082	30.144	36.843	24.29	30.566
17229656	36.206	24.082	30.144	36.845	24.296	30.57
17251314	36.206	24.082	30.144	36.856	24.324	30.59
17287867	36.206	24.082	30.144	36.878	24.371	30.624
17289000	36.206	24.082	30.144	36.878	24.373	30.625
20228144	36.845	27.841	32.343	36.723	27.417	32.07
20235347	36.845	27.841	32.343	36.723	27.423	32.073
20410836	36.845	27.841	32.343	36.729	27.571	32.15
20418428	36.845	27.841	32.343	36.729	27.577	32.153
20553917	36.845	27.841	32.343	36.747	27.69	32.218
20555256	36.845	27.841	32.343	36.747	27.691	32.219
20557373	36.845	27.841	32.343	36.747	27.693	32.22
20559479	36.845	27.841	32.343	36.748	27.695	32.221
20619746	36.845	27.841	32.343	36.758	27.744	32.251
23127060	36.845	27.841	32.343	37.084	28.888	32.986
24440100	36.845	27.841	32.343	37.439	29.418	33.429
24471469	36.845	30.492	33.6685	37.451	29.435	33.443
24534315	36.845	30.492	33.6685	37.476	29.47	33.473
25933791	38.443	30.492	34.4675	38.149	30.316	34.233
25936950	38.443	30.492	34.4675	38.151	30.318	34.235
25939437	38.443	30.492	34.4675	38.152	30.32	34.236
25943285	38.443	30.492	34.4675	38.154	30.323	34.238
25964700	38.443	30.492	34.4675	38.166	30.337	34.251
26007929	38.443	30.492	34.4675	38.189	30.366	34.278
26392099	38.443	30.492	34.4675	38.406	30.632	34.519
26502478	38.443	30.492	34.4675	38.471	30.712	34.591
26921146	38.443	30.492	34.4675	38.728	31.023	34.876
26987493	38.443	30.891	34.667	38.771	31.073	34.922
27997471	40.044	32.098	36.071	39.49	31.871	35.68
28044948	40.044	32.098	36.071	39.527	31.909	35.718
28109801	40.044	32.098	36.071	39.579	31.964	35.771
28162989	40.044	32.098	36.071	39.623	32.009	35.816
28377620	40.044	32.098	36.071	39.8	32.192	35.996
28378700	40.044	32.098	36.071	39.801	32.193	35.997
28386229	40.044	32.323	36.1835	39.807	32.199	36.003
29076942	40.044	32.633	36.3385	40.421	32.811	36.616
29117777	40.044	32.633	36.3385	40.459	32.848	36.654
29464893	40.044	32.633	36.3385	40.781	33.154	36.968
29498768	40.044	32.633	36.3385	40.812	33.183	36.998
29502284	40.044	32.633	36.3385	40.816	33.186	37.001
29796397	41.084	33.701	37.3925	41.079	33.421	37.25
29813126	41.084	33.701	37.3925	41.094	33.433	37.264
29817897	41.084	33.701	37.3925	41.098	33.437	37.267
29818595	41.084	33.701	37.3925	41.099	33.437	37.268
29852942	41.084	33.701	37.3925	41.129	33.464	37.296
29858576	41.084	33.701	37.3925	41.134	33.468	37.301
30285947	41.084	33.701	37.3925	41.52	33.798	37.659
33011969	46.471	37.481	41.976	43.993	35.644	39.819
34576722	46.473	37.481	41.977	45.611	36.564	41.088
35905579	46.471	37.481	41.976	47.22	37.25	42.235
36113262	48.064	37.481	42.7725	47.496	37.348	42.422
36649390	48.064	37.481	42.7725	48.245	37.59	42.918
36657816	48.064	37.481	42.7725	48.258	37.594	42.926
36670116	48.064	37.481	42.7725	48.276	37.599	42.937
36684045	48.062	37.481	42.7715	48.296	37.605	42.95
37090121	48.064	37.481	42.7725	48.889	37.748	43.318
