Scaffold	Start	End	midpont	pi	theta	Td	win_length	pi_resamp_mean	pi_resampl_CI_low	pi_resamp_CI_up
superscaffold36	0	200000	100000.0	3.1422	3.6905335942573947	-0.5788413650671224	164586	3.221029	2.1573675	4.2216775
superscaffold36	200000	400000	300000.0	200.0815000000008	213.74340400074078	-0.28457597092621784	185798	200.303973	193.97776	206.73354
superscaffold36	400000	600000	500000.0	113.61119999999987	120.24988627955344	-0.24528518919104625	130507	113.673357	108.703545	118.83015
superscaffold36	600000	800000	700000.0	135.71239999999992	141.16290998034535	-0.1716709373366236	138887	135.973131	130.51744	141.90395
superscaffold36	800000	1000000	900000.0	187.66880000000052	181.45123505098857	0.15248686539100215	186353	187.314457	180.7169225	194.0288725
superscaffold36	1000000	1200000	1100000.0	78.54069999999982	80.88419460747457	-0.1284312301731519	128717	78.2563	74.6384075	82.1203325
superscaffold36	1200000	1400000	1300000.0	NA	NA	NA	0	NA	NA	NA
superscaffold36	1400000	1600000	1500000.0	NA	NA	NA	0	NA	NA	NA
superscaffold36	1600000	1800000	1700000.0	64.84060000000008	69.81259382470238	-0.31534262368563903	94489	64.77857	61.241545	68.8403375
superscaffold36	1800000	2000000	1900000.0	155.3833999999999	169.14945640346392	-0.36208544540138005	144278	155.185204	149.21897	162.525625
superscaffold36	2000000	2200000	2100000.0	136.80469999999974	154.0797775602462	-0.4986576078618961	130016	136.715019	129.3350475	143.7210425
superscaffold36	2200000	2400000	2300000.0	198.41479999999882	245.72802848430484	-0.8575503522395904	183396	198.761888	189.9388375	208.2870825
superscaffold36	2400000	2600000	2500000.0	181.07249999999942	222.96973798638425	-0.8366956404567222	184214	180.868167	172.628185	189.6575225
superscaffold36	2600000	2800000	2700000.0	146.03259999999986	151.31187736455317	-0.1551672210137057	178132	145.964691	138.87734	152.83692
superscaffold36	2800000	3000000	2900000.0	135.2254999999994	159.0004890192561	-0.6651199541561165	179221	135.458212	128.5887325	142.39784
superscaffold36	3000000	3200000	3100000.0	153.20759999999964	164.22874494445406	-0.29854206447321935	183261	153.548044	145.923475	160.3061075
superscaffold36	3200000	3400000	3300000.0	235.65590000000077	242.9601282886118	-0.13389350012240442	179817	235.950145	228.0309	244.24392
superscaffold36	3400000	3600000	3500000.0	124.64609999999962	123.3253309414346	0.047588278470740354	175575	124.836036	119.550375	129.96431
superscaffold36	3600000	3800000	3700000.0	NA	NA	NA	188277	NA	NA	NA
superscaffold36	3800000	4000000	3900000.0	NA	NA	NA	191119	NA	NA	NA
superscaffold36	4000000	4200000	4100000.0	NA	NA	NA	189706	NA	NA	NA
superscaffold36	4200000	4400000	4300000.0	NA	NA	NA	193064	NA	NA	NA
superscaffold36	4400000	4600000	4500000.0	NA	NA	NA	186443	NA	NA	NA
superscaffold36	4600000	4800000	4700000.0	NA	NA	NA	190420	NA	NA	NA
superscaffold36	4800000	5000000	4900000.0	NA	NA	NA	189125	NA	NA	NA
superscaffold36	5000000	5200000	5100000.0	NA	NA	NA	190435	NA	NA	NA
superscaffold36	5200000	5400000	5300000.0	NA	NA	NA	189725	NA	NA	NA
superscaffold36	5400000	5600000	5500000.0	NA	NA	NA	195153	NA	NA	NA
superscaffold36	5600000	5800000	5700000.0	NA	NA	NA	191845	NA	NA	NA
superscaffold36	5800000	6000000	5900000.0	NA	NA	NA	188943	NA	NA	NA
