window	Window_start	Window_end	chr	chr_start	chr_end	scaffold	scaf_start	scaf_end	rho_per_bp	rho_per_window
ChrZ	52192885	52392884	ChrZ	52311403	52552701	superscaffold36	3156857	3398153	0.000244	48.755777
ChrZ	52392885	52592884	ChrZ	52311403	52552701	superscaffold36	3156857	3398153	0.00025	50.086073
ChrZ	52592885	52792884	ChrZ	52738606	53068204	superscaffold36	2641354	2970950	0.00027	53.992974
ChrZ	52792885	52992884	ChrZ	52967804	53258000	superscaffold36	2451558	2741752	0.000229	45.883246
ChrZ	52992885	53192884	ChrZ	52967804	53258000	superscaffold36	2451558	2741752	0.000208	41.504115
ChrZ	53192885	53392884	ChrZ	53216400	53434339	superscaffold36	2275219	2493156	0.000256	51.140091
ChrZ	53392885	53592884	ChrZ	53395248	53608489	superscaffold36	2101069	2314308	0.000274	54.791953
ChrZ	53592885	53792884	ChrZ	53395248	53608489	superscaffold36	2101069	2314308	0.000241	48.206523
ChrZ	53792885	53992884	ChrZ	53870851	54759642	superscaffold36	949916	1838705	0.000157	31.467297
ChrZ	53992885	54192884	ChrZ	53870851	54759642	superscaffold36	949916	1838705	7.3e-05	14.696771
ChrZ	54192885	54392884	ChrZ	53870851	54759642	superscaffold36	949916	1838705	7.3e-05	14.696771
ChrZ	54392885	54592884	ChrZ	53870851	54759642	superscaffold36	949916	1838705	7.3e-05	14.696771
ChrZ	54592885	54792884	ChrZ	53870851	54759642	superscaffold36	949916	1838705	0.000106	21.151572
ChrZ	54792885	54992884	ChrZ	54920050	55318897	superscaffold36	390661	789506	0.000209	41.70417
ChrZ	54992885	55192884	ChrZ	54920050	55318897	superscaffold36	390661	789506	0.000312	62.435622
ChrZ	55192885	55392884	ChrZ	55275503	55512576	superscaffold36	196982	434053	0.00043	86.063275
ChrZ	55392885	55592884	ChrZ	55275503	55512576	superscaffold36	196982	434053	0.000557	111.428264
ChrZ	55592885	55792884	ChrZ	55711156	56074683	superscaffold62	1600	365127	0.000559	111.797805
ChrZ	55792885	55992884	ChrZ	55711156	56074683	superscaffold62	1600	365127	0.000559	111.797805
ChrZ	55992885	56192884	ChrZ	56026507	56460658	superscaffold62	316951	751102	0.000336	67.203013
ChrZ	56192885	56392884	ChrZ	56026507	56460658	superscaffold62	316951	751102	0.000226	45.27832
ChrZ	56392885	56592884	ChrZ	56421320	57059228	superscaffold62	711764	1349672	0.000235	47.07328
ChrZ	56592885	56792884	ChrZ	56421320	57059228	superscaffold62	711764	1349672	0.000228	45.642367
ChrZ	56792885	56992884	ChrZ	56421320	57059228	superscaffold62	711764	1349672	0.000226	45.159484
ChrZ	56992885	57192884	ChrZ	56421320	57059228	superscaffold62	711764	1349672	0.000219	43.843278
ChrZ	57192885	57392884	ChrZ	57214395	57985539	superscaffold62	1504839	2275983	0.00014	28.042813
ChrZ	57392885	57592884	ChrZ	57466954	58134774	superscaffold62	1757398	2425218	0.000123	24.57863
ChrZ	57592885	57792884	ChrZ	57466954	58134774	superscaffold62	1757398	2425218	0.00013	25.982966
ChrZ	57792885	57992884	ChrZ	57466954	58134774	superscaffold62	1757398	2425218	0.00013	26.098562
ChrZ	57992885	58192884	ChrZ	57466954	58134774	superscaffold62	1757398	2425218	0.000284	56.743866
ChrZ	58192885	58392884	ChrZ	58277157	58526951	superscaffold62	2567601	2817395	0.000423	84.65376
ChrZ	58392885	58592884	ChrZ	58526971	58626568	superscaffold62	2817415	2917012	0.000426	85.183042
ChrZ	58592885	58792884	ChrZ	58526971	58626568	superscaffold62	2817415	2917012	0.000526	105.27638
ChrZ	58792885	58992884	ChrZ	58883868	59113147	superscaffold67	257021	486300	0.000554	110.854186
ChrZ	58992885	59192884	ChrZ	59081412	59256818	superscaffold67	454565	629971	0.000595	118.97616
ChrZ	59192885	59392884	ChrZ	59213450	60644606	superscaffold67	586603	2017759	0.00021	41.996933
ChrZ	59392885	59592884	ChrZ	59213450	60644606	superscaffold67	586603	2017759	5.7e-05	11.446865
ChrZ	59592885	59792884	ChrZ	59213450	60644606	superscaffold67	586603	2017759	5.7e-05	11.446865
ChrZ	59792885	59992884	ChrZ	59213450	60644606	superscaffold67	586603	2017759	5.7e-05	11.446865
ChrZ	59992885	60192884	ChrZ	59213450	60644606	superscaffold67	586603	2017759	5.7e-05	11.446865
ChrZ	60192885	60392884	ChrZ	59213450	60644606	superscaffold67	586603	2017759	5.7e-05	11.446865
ChrZ	60392885	60592884	ChrZ	59213450	60644606	superscaffold67	586603	2017759	5.7e-05	11.446865
ChrZ	60592885	60792884	ChrZ	60598951	60832047	superscaffold67	1972104	2205200	0.000279	55.702683
ChrZ	60792885	60992884	ChrZ	60793403	61351869	superscaffold67	2166556	2725022	0.000159	31.735917
ChrZ	60992885	61192884	ChrZ	60793403	61351869	superscaffold67	2166556	2725022	0.000124	24.713653
ChrZ	61192885	61392884	ChrZ	60793403	61351869	superscaffold67	2166556	2725022	0.000227	45.344882
ChrZ	61392885	61592884	ChrZ	61491727	61713281	superscaffold67	2864880	3086434	0.000611	122.200833
ChrZ	61592885	61792884	ChrZ	61669297	61865057	superscaffold67	3042450	3238210	0.000867	173.438397
ChrZ	61792885	61992884	ChrZ	61818943	62079769	superscaffold67	3192096	3452922	0.000781	156.252011
ChrZ	61992885	62192884	ChrZ	61818943	62079769	superscaffold67	3192096	3452922	0.000551	110.244892
ChrZ	62192885	62392884	ChrZ	62272320	62526950	superscaffold67	3645473	3900103	0.000471	94.255338
ChrZ	62392885	62592884	ChrZ	62478544	62714401	superscaffold67	3851697	4087554	0.000603	120.602847
ChrZ	62592885	62792884	ChrZ	62655155	62919224	superscaffold67	4028308	4292377	0.000611	122.229329
ChrZ	62792885	62992884	ChrZ	62874163	63126258	superscaffold67	4247316	4499411	0.000492	98.335049
ChrZ	62992885	63192884	ChrZ	62874163	63126258	superscaffold67	4247316	4499411	0.000527	105.403185
ChrZ	63192885	63392884	ChrZ	63301701	63564781	superscaffold67	4674854	4937934	0.000591	118.114952
ChrZ	63392885	63592884	ChrZ	63506185	63834519	superscaffold67	4879338	5207672	0.000516	103.218034
ChrZ	63592885	63792884	ChrZ	63506185	63834519	superscaffold67	4879338	5207672	0.000382	76.326432
ChrZ	63792885	63992884	ChrZ	63927610	64220038	superscaffold69-1	503	292931	0.000593	118.628899
ChrZ	63992885	64192884	ChrZ	63927610	64220038	superscaffold69-1	503	292931	0.000682	136.428582
ChrZ	64192885	64392884	ChrZ	63927610	64220038	superscaffold69-1	503	292931	0.000769	153.763703
