Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold36	196982	434053	 132.08271	 131.65272	 121.25508	 145.29993
superscaffold36	390661	789506	 124.51130	 124.36359	 114.02802	 135.95877
superscaffold36	734323	1004382	  45.13200	  45.04008	  42.31011	  48.47562
superscaffold36	949916	1838705	  65.31197	  65.21822	  60.77923	  70.31712
superscaffold36	1789966	2146238	  84.82734	  84.58245	  77.80067	  92.94534
superscaffold36	2101069	2314308	  59.42414	  59.34487	  55.56317	  63.71709
superscaffold36	2275219	2493156	  60.38418	  60.32547	  56.26367	  64.84708
superscaffold36	2451558	2741752	  57.39507	  57.34226	  53.35300	  61.88994
superscaffold36	2641354	2970950	  76.92260	  75.84500	  67.34385	  92.24873
superscaffold36	2920574	3218523	  83.45302	  83.41137	  78.34420	  88.82314
superscaffold36	3156857	3398153	  55.86708	  55.85369	  52.07556	  59.96630
superscaffold36	3398538	3515975	  29.62700	  29.61381	  27.26124	  32.20944
