Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold54	157	253799	 150.52796	 150.45304	 143.93477	 157.67429
superscaffold54	224432	402130	 150.54804	 150.45653	 144.96528	 156.58788
superscaffold54	362119	547564	 151.30903	 151.21149	 145.16378	 157.64038
superscaffold54	511128	707273	 141.44911	 141.26578	 135.36825	 148.36880
superscaffold54	660446	838557	 191.99469	 191.94423	 182.99890	 201.09814
superscaffold54	800825	972420	 165.99487	 165.88443	 158.35967	 173.82046
superscaffold54	942906	1130061	 134.60361	 134.57669	 129.15230	 140.29454
superscaffold54	1076216	1318198	 112.73618	 112.72092	 108.13530	 117.48613
superscaffold54	1265195	1450266	 118.30853	 118.28934	 113.42527	 123.35204
superscaffold54	1425560	1606682	 122.18720	 122.09969	 117.43944	 127.39432
superscaffold54	1567281	1777309	 175.71607	 175.47968	 164.59930	 188.48326
superscaffold54	1740483	1914463	 155.04201	 154.92659	 148.05296	 162.69049
superscaffold54	1878881	2049907	 140.55578	 140.40782	 134.28436	 147.91030
superscaffold54	2013264	2180083	 123.09621	 122.99828	 118.12801	 128.51462
superscaffold54	2154514	2325295	 162.84497	 162.69152	 155.46634	 170.95352
superscaffold54	2274978	2467221	 145.63644	 145.51076	 139.13076	 152.71718
superscaffold54	2431237	2587657	 152.45867	 152.28635	 146.49056	 159.03218
superscaffold54	2561144	2724106	 201.34342	 201.23779	 192.67654	 210.15075
superscaffold54	2681404	2822814	 178.70138	 178.57061	 170.66623	 187.67270
superscaffold54	2802725	2924973	 196.84273	 196.70966	 188.67446	 205.45258
superscaffold54	2897417	3028446	 145.12052	 145.11703	 139.63407	 150.85783
superscaffold54	2998824	3147963	 198.38418	 198.37746	 188.17213	 208.75125
superscaffold54	3119738	3285601	 195.81562	 195.66398	 184.32070	 207.35222
superscaffold54	3255287	3369698	 212.08894	 211.82891	 200.01042	 225.13027
superscaffold54	3344160	3471677	 202.80811	 202.74948	 193.89713	 212.02368
superscaffold54	3444972	3597554	 211.02075	 210.94711	 200.28087	 222.29521
superscaffold54	3559380	3730611	 100.53555	 100.49966	  96.09390	 105.29034
superscaffold54	3693882	3884895	 188.94048	 188.78364	 178.10488	 201.10328
superscaffold54	3852794	4037196	 167.41759	 167.26224	 159.26846	 176.41673
superscaffold54	3993137	4162442	 227.53040	 227.49428	 218.49197	 237.09483
superscaffold54	4134331	4286477	 224.52997	 224.44623	 214.72670	 235.34059
superscaffold54	4259692	4400330	 188.84072	 188.78609	 180.87053	 197.10114
superscaffold54	4374228	4502935	 178.60027	 178.53149	 171.33448	 186.12384
superscaffold54	4483308	4614766	 183.12362	 182.94834	 172.77883	 194.43697
superscaffold54	4590452	4715080	 298.83109	 298.66603	 282.58854	 316.47817
superscaffold54	4680941	4906389	 191.51819	 191.36527	 182.13482	 201.48012
superscaffold54	4857053	5084995	 178.27309	 178.09810	 168.89401	 188.64918
superscaffold54	5048419	5191344	 217.69174	 217.65920	 208.94303	 226.65911
superscaffold54	5163781	5300678	 216.06154	 215.94798	 205.88246	 226.84189
superscaffold54	5275739	5461975	 193.18299	 193.06947	 183.48841	 203.11384
superscaffold54	5427895	5645276	 154.13028	 154.05023	 147.14355	 161.22529
superscaffold54	5605012	5832946	 224.92511	 224.86071	 215.20237	 235.26488
superscaffold54	5792239	6006199	 239.27487	 239.13669	 228.72363	 250.56247
superscaffold54	5960557	6236825	 198.76844	 198.65697	 189.37230	 208.49091
superscaffold54	6189118	6452017	 185.26234	 185.16393	 174.91032	 196.21433
superscaffold54	6393211	6633272	 218.45355	 218.38807	 207.58415	 230.11847
superscaffold54	6593339	6773830	 180.51158	 180.54068	 171.43538	 189.47329
superscaffold54	6739326	6994602	 136.88626	 136.71354	 129.92522	 144.24648
