start	end	pair_cm	pair_cm_per_site	kosambi_r_length_region	kosambi_r_per_site	length_region
1113306	3461663	4.768	2.03035569123434e-06	0.0475359972774262	2.02422362858058e-08	2348357
3461664	4790874	6.583	4.9525658097667e-06	0.0654522454932916	4.92414633453643e-08	1329210
4790875	5218698	1.898	4.43641412453281e-06	0.0189708887678156	4.43428445123698e-08	427823
5218699	10507220	13.748	2.59959258930805e-06	0.134117030200179	2.5360026026214e-08	5288521
10507221	11691139	0.236000000000001	1.99338129836695e-07	0.00235998247448152	1.99336649538357e-09	1183918
11691140	11695125	0	0	0	0	3985
11695126	11711234	0	0	0	0	16108
11711235	11729011	0	0	0	0	17776
11729012	12078491	0	0	0	0	349479
12078492	12089135	0.00100000000000122	9.39584703562174e-08	9.99999999869106e-06	9.3958470343804e-10	10643
12089136	12167169	0.00100000000000122	1.28150910512376e-08	9.99999999869106e-06	1.28150910495445e-10	78033
12167170	12175651	0.00100000000000122	1.17910623747344e-07	9.99999999869106e-06	1.17910623731766e-09	8481
12175652	12403908	1.907	8.35465442310388e-06	0.0190607585910138	8.3506057194614e-08	228256
12403909	13125124	5.009	6.94522437830606e-06	0.0499231016791383	6.92208310685971e-08	721215
13125125	13951569	0	0	0	0	826444
13951570	14007528	0	0	0	0	55958
14007529	14449952	1.11499999999999	2.52021255676128e-06	0.011148152106408	2.51979488100935e-08	442423
14449953	14455693	0.943000000000005	0.000164285714285715	0.00942888207664841	1.64266238269136e-06	5740
14455694	15381117	0	0	0	0	925423
15381118	15406894	0	0	0	0	25776
15406895	15598336	0	0	0	0	191441
15598337	15601721	0	0	0	0	3384
15601722	15662820	0	0	0	0	61098
15662821	16398847	0	0	0	0	736026
16398848	16400859	0	0	0	0	2011
16400860	16404181	0	0	0	0	3321
16404182	16718017	0	0	0	0	313835
16718018	17050965	0	0	0	0	332947
17050966	17083964	0	0	0	0	32998
17083965	17084511	0	0	0	0	546
17084512	17212083	0	0	0	0	127571
17212084	17225441	0	0	0	0	13357
17225442	17229655	0	0	0	0	4213
17229656	17251313	0	0	0	0	21657
17251314	17287866	0	0	0	0	36552
17287867	17288999	0	0	0	0	1132
17289000	20228143	0.638999999999996	2.17410313142299e-07	0.00638965213323456	2.17398477489342e-09	2939143
20228144	20235346	0	0	0	0	7202
20235347	20410835	0	0	0	0	175488
20410836	20418427	0	0	0	0	7591
20418428	20553916	0	0	0	0	135488
20553917	20555255	0	0	0	0	1338
20555256	20557372	0	0	0	0	2116
20557373	20559478	0	0	0	0	2105
20559479	20619745	0	0	0	0	60266
20619746	23127059	0	0	0	0	2507313
23127060	24440099	0	0	0	0	1313039
24440100	24471468	0	0	0	0	31368
24471469	24534314	0	0	0	0	62845
24534315	25933790	1.598	1.14185676771646e-06	0.0159745613431747	1.14146814649598e-08	1399475
25933791	25936949	0	0	0	0	3158
25936950	25939436	0	0	0	0	2486
25939437	25943284	0	0	0	0	3847
25943285	25964699	0	0	0	0	21414
25964700	26007928	0	0	0	0	43228
26007929	26392098	0	0	0	0	384169
26392099	26502477	0	0	0	0	110378
26502478	26921145	0	0	0	0	418667
26921146	26987492	0	0	0	0	66346
26987493	27997470	1.601	1.58518461311495e-06	0.0160045306632959	1.5846430822975e-08	1009977
27997471	28044947	0	0	0	0	47476
28044948	28109800	0	0	0	0	64852
28109801	28162988	0	0	0	0	53187
28162989	28377619	0	0	0	0	214630
28377620	28378699	0	0	0	0	1079
28378700	28386228	0	0	0	0	7528
28386229	29076941	0	0	0	0	690712
29076942	29117776	0	0	0	0	40834
29117777	29464892	0	0	0	0	347115
29464893	29498767	0	0	0	0	33874
29498768	29502283	0	0	0	0	3515
29502284	29796396	1.04000000000001	3.53606789250356e-06	0.0103985004408406	3.53555803260003e-08	294112
29796397	29813125	0	0	0	0	16728
29813126	29817896	0	0	0	0	4770
29817897	29818594	0	0	0	0	697
29818595	29852941	0	0	0	0	34346
29852942	29858575	0	0	0	0	5633
29858576	30285946	0	0	0	0	427370
30285947	33011968	5.38699999999999	1.97614031586697e-06	0.0536625239643674	1.96852936805576e-08	2726021
33011969	34576721	0.00200000000000244	1.27815781670351e-09	1.99999999893465e-05	1.2781578160211e-11	1564752
34576722	35905578	0.00200000000000244	1.50505397123725e-09	1.99999999893465e-05	1.50505397043371e-11	1328856
35905579	36113261	1.593	7.67038067815219e-06	0.0159246122210801	7.66778643362455e-08	207682
36113262	36649389	0	0	0	0	536127
36649390	36657815	0	0	0	0	8425
36657816	36670115	0	0	0	0	12299
36670116	36684044	0.00200000000000244	1.43595634692881e-07	1.99999999893465e-05	1.43595634616216e-09	13928
36684045	37090120	0.00200000000000244	4.92519854707245e-09	1.99999999893465e-05	4.92519854444291e-11	406075
37090121	37094238	1.274	0.000309448627641487	0.0127372436507014	3.09381677209167e-06	4117
37094239	37100071	2.867	0.000491598079561043	0.0286386201374371	4.91060016074024e-06	5832
37100072	37151753	2.867	5.54749327605891e-05	0.0286386201374371	5.54142143871773e-07	51681
37151754	37158404	0.00200000000000244	3.00751879699616e-07	1.99999999893465e-05	3.00751879539046e-09	6650
37158405	41593205	8.23099999999999	1.85600252548029e-06	0.081574445652378	1.83941656111613e-08	4434800
41593206	42307224	2.572	3.60215008585218e-06	0.0256973383144956	3.59897626033176e-08	714018
42307225	42385430	0.00500000000000256	6.39345310402475e-08	4.99999998333474e-05	6.39345308271177e-10	78205
42385431	43113660	0.00500000000000256	6.86597210493204e-09	4.99999998333474e-05	6.86597208204389e-11	728229
43113661	43121210	0	0	0	0	7549
43121211	43129922	0	0	0	0	8711
43129923	43132139	0	0	0	0	2216
43132140	43134947	0	0	0	0	2807
43134948	43152448	0	0	0	0	17500
43152449	43153424	0	0	0	0	975
43153425	43166486	0.000999999999997669	7.6563815940408e-08	9.99999999863555e-06	7.65638159301397e-10	13061
