Scaffold	Start	End	midpont	pi	theta	Td	win_length	pi_resamp_mean	pi_resampl_CI_low	pi_resamp_CI_up
superscaffold54	0	1000000	500000.0	1491.682599999972	1359.1752681994249	0.4090765751392315	943377	1490.968744	1469.0008125	1510.9859925
superscaffold54	1000000	2000000	1500000.0	1457.1244999999599	1351.2829190684454	0.32866165483657983	955629	1458.118375	1439.12706	1481.1670925
superscaffold54	2000000	3000000	2500000.0	1887.3906999999401	1727.5788508490825	0.3881982663953619	955934	1886.355415	1864.2015875	1907.8925475
superscaffold54	3000000	4000000	3500000.0	1781.8486999999445	1740.8267226046555	0.09888825844763227	944206	1780.851544	1759.06038	1804.596725
superscaffold54	4000000	5000000	4500000.0	1701.1575999999436	1632.3069220536852	0.17700265344107674	956054	1699.729826	1671.572955	1719.407655
superscaffold54	5000000	6000000	5500000.0	1476.641299999962	1383.697924427826	0.2818518145164131	947549	1477.276139	1457.791705	1497.2812575
superscaffold54	6000000	7000000	6500000.0	1098.7036999999907	1075.6144387077989	0.0900619331286756	925410	1100.054221	1085.2256425	1119.485315
superscaffold54	7000000	8000000	7500000.0	1045.2772999999877	1025.159778191893	0.08233006001680017	952950	1046.483209	1029.4398425	1064.564985
superscaffold54	8000000	9000000	8500000.0	1519.447899999971	1424.5690181418279	0.2794700930690527	937063	1518.828647	1500.152595	1537.5975475
superscaffold54	9000000	10000000	9500000.0	1791.509499999946	1683.3253217932322	0.2696957370698638	952223	1792.823769	1771.7109975	1809.8153375
superscaffold54	10000000	11000000	10500000.0	1102.9980999999996	1063.4940453995087	0.1558445438882011	790235	1103.29442	1084.97995	1119.339015
superscaffold54	11000000	12000000	11500000.0	1342.41619999997	1330.4245677937133	0.03782020866037028	929215	1341.270872	1324.85942	1360.94675
superscaffold54	12000000	13000000	12500000.0	1395.6651999999747	1256.010990273048	0.4665352427821659	936615	1396.575279	1377.7567525	1415.1878625
superscaffold54	13000000	14000000	13500000.0	1296.0193999999917	1170.3226282795547	0.4506368086905132	937965	1296.319447	1280.67225	1314.781035
superscaffold54	14000000	15000000	14500000.0	1314.1436999999864	1202.4557640271146	0.389718889603325	917206	1314.155465	1296.24377	1334.9060575
superscaffold54	15000000	16379243	15689621.5	1825.9632999999233	1692.063279759674	0.33208041071310535	1294526	1825.993939	1808.4686975	1846.1223925
superscaffold36	0	1000000	500000.0	NA	NA	NA	806131	NA	NA	NA
superscaffold36	1000000	2000000	1500000.0	NA	NA	NA	367484	NA	NA	NA
superscaffold36	2000000	3000000	2500000.0	NA	NA	NA	854979	NA	NA	NA
superscaffold36	3000000	4000000	3500000.0	623.8626000000008	580.3695307388253	0.3142602483096926	918049	624.348466	610.05355	637.192195
superscaffold36	4000000	5000000	4500000.0	1605.916599999961	1507.1568144052935	0.2749674908683386	948758	1607.530618	1590.3047	1625.72613
superscaffold36	5000000	6000000	5500000.0	1737.6990999999396	1643.5817065265132	0.2402996313063046	956101	1739.195355	1715.4291225	1763.2615125
superscaffold36	6000000	7000000	6500000.0	1544.3681999999683	1495.6001603206446	0.13682897266835004	948955	1541.015852	1518.557595	1562.9217375
superscaffold36	7000000	8000000	7500000.0	1938.1103999998913	1951.38332263472	-0.02854462753806809	957840	1936.947547	1913.767785	1960.0734925
superscaffold36	8000000	9394175	8697087.5	2145.6113999998756	2189.563144623213	-0.08424305218103155	1329052	2147.655785	2120.5000525	2180.6847675
superscaffold26	0	1000000	500000.0	1640.8514999999452	1622.4414856399605	0.0476164986790911	883554	1638.899734	1618.0547175	1661.2766425
superscaffold26	1000000	2000000	1500000.0	2107.1139999998754	2167.0135756775567	-0.11600488563489499	924363	2105.992966	2083.6928575	2128.5721525
superscaffold26	2000000	3000000	2500000.0	2301.380799999815	2409.985181067002	-0.18912968277968514	932811	2300.910997	2272.61883	2329.8149825
superscaffold26	3000000	4000000	3500000.0	2060.086299999872	2099.646738452409	-0.07907242093521574	914119	2062.092104	2039.5738375	2086.1098725
superscaffold26	4000000	5000000	4500000.0	1885.8171999999117	1873.8691793840267	0.02675786028590677	937070	1884.159014	1861.0063225	1908.0959975
superscaffold26	5000000	6000000	5500000.0	1665.8625999999226	1734.9074607564207	-0.16700835443020584	938619	1666.663439	1647.3738075	1690.589835
superscaffold26	6000000	7000000	6500000.0	1839.5522999999243	1813.5490824543965	0.06017106144856534	923663	1838.502152	1811.797265	1862.6526625
superscaffold26	7000000	8000000	7500000.0	1914.028399999886	1993.1000251841838	-0.16649257538980078	920724	1914.334659	1885.09431	1941.12469
superscaffold26	8000000	9000000	8500000.0	1810.6887999999158	1856.1113938393225	-0.10269781488444502	910250	1809.595373	1783.0254575	1834.181285
superscaffold26	9000000	10000000	9500000.0	1337.6628999999834	1374.3962272377428	-0.11214777899937335	940436	1337.701736	1318.5466125	1359.575135
superscaffold26	10000000	11000000	10500000.0	1466.7893999999628	1495.8820299324655	-0.08161010604456938	887982	1466.720809	1442.4673825	1498.1784375
superscaffold26	11000000	12000000	11500000.0	1865.1416999999428	1785.9258604959678	0.18613849547420047	884548	1865.110348	1843.721675	1890.1439125
superscaffold26	12000000	13000000	12500000.0	1353.7171999999919	1259.675295226717	0.3132472696107425	775919	1353.274785	1335.3938925	1373.3103325
superscaffold26	13000000	14000000	13500000.0	1541.6577999999972	1360.5846162585285	0.5584302717839862	940394	1541.022792	1523.0593375	1558.218225
superscaffold26	14000000	15000000	14500000.0	1237.195699999988	1113.6668363035935	0.4653819942819559	924280	1237.323059	1222.6142475	1253.722
superscaffold26	15000000	16000000	15500000.0	1132.0256000000018	1032.4883880992313	0.4044619510900583	931289	1131.853814	1114.40487	1153.4501375
superscaffold26	16000000	17000000	16500000.0	1172.4349999999977	1118.4586197045455	0.20247960765198494	886252	1171.999557	1158.95241	1187.2013625
superscaffold26	17000000	18000000	17500000.0	1221.138399999979	1122.9685334936767	0.36678286302274515	920825	1219.320125	1202.22511	1242.15359
superscaffold26	18000000	19000000	18500000.0	1059.9067000000048	953.8467664012555	0.46647522454292367	931762	1059.245167	1041.4662875	1077.7617775
superscaffold26	19000000	20000000	19500000.0	1041.0598000000136	913.2575422990744	0.5870681745267149	947778	1043.162048	1027.4805925	1059.093465
superscaffold26	20000000	21000000	20500000.0	1239.7571000000007	1085.1980055097026	0.5975519137164229	940814	1239.942191	1223.4038475	1256.95387
superscaffold26	21000000	22000000	21500000.0	1247.4801999999986	1058.420392386736	0.749419154831563	942869	1248.294262	1230.9245425	1265.83067
superscaffold26	22000000	23000000	22500000.0	1155.015799999997	978.933161853298	0.7546169981084738	923478	1156.564596	1144.82424	1168.641865
superscaffold26	23000000	24000000	23500000.0	1416.0316999999857	1234.0251605510332	0.6188466098438126	940484	1416.256199	1398.5279525	1431.003495
superscaffold26	24000000	25310599	24655299.5	1570.5618999999792	1375.5237056850256	0.5949686914116544	1230666	1569.66977	1551.39074	1590.10619
superscaffold35	0	1000000	500000.0	1431.7308999999707	1329.01521973461	0.3242966437351811	924730	1431.077199	1413.7876625	1447.638585
superscaffold35	1000000	2000000	1500000.0	1504.168799999965	1382.5704459805431	0.36904893073842304	949028	1503.407343	1480.375275	1522.350015
superscaffold35	2000000	3000000	2500000.0	1655.538599999947	1594.8182636815318	0.15976897936593723	956869	1653.434741	1632.7676075	1674.59011
superscaffold35	3000000	4625539	3812769.5	2982.8805999997567	2916.5048735088035	0.09551965625278788	1557155	2981.808152	2949.6952975	3020.6771975
superscaffold36	0	1000000	500000.0	640.2161000000068	660.2979689058855	-0.13565472460590813	806131	640.869325	629.1004875	652.1035925
superscaffold36	1000000	2000000	1500000.0	298.7647000000011	319.84624483564085	-0.2937166391800439	367484	299.647131	288.73631	309.008925
superscaffold36	2000000	3000000	2500000.0	797.5501000000141	933.0899104147446	-0.6480746924454271	854979	796.323892	776.8530825	810.6277025
superscaffold36	3000000	4000000	3500000.0	513.5095999999983	530.5142041745005	-0.14293793115289868	918049	513.253173	503.1324675	525.051675
superscaffold36	4000000	5000000	4500000.0	NA	NA	NA	948758	NA	NA	NA
superscaffold36	5000000	6000000	5500000.0	NA	NA	NA	956101	NA	NA	NA
superscaffold36	6000000	7000000	6500000.0	NA	NA	NA	948955	NA	NA	NA
superscaffold36	7000000	8000000	7500000.0	NA	NA	NA	957840	NA	NA	NA
superscaffold36	8000000	9394175	8697087.5	NA	NA	NA	1329052	NA	NA	NA
superscaffold93	0	1000000	500000.0	1058.3290000000086	1102.8544557505847	-0.18014126063254576	809705	1059.640936	1042.0440475	1074.2261825
superscaffold93	1000000	2000000	1500000.0	1264.4933999999646	1361.4993518147905	-0.3179414472383048	907525	1264.175014	1245.242405	1282.4581375
superscaffold93	2000000	3000000	2500000.0	875.4142000000107	940.4709776032594	-0.3086248839949528	923641	874.50254	862.4694075	888.881245
