window	Window_start	Window_end	chr	chr_start	chr_end	scaffold	scaf_start	scaf_end	rho_per_bp	rho_per_window
ChrZ	1	1000000	ChrZ	931740	1054577	superscaffold26	931740	1054577	0.00159	1589.924111
ChrZ	1000001	2000000	ChrZ	1029606	1152642	superscaffold26	1029606	1152642	0.002783	2782.498865
ChrZ	2000001	3000000	ChrZ	2990442	3148132	superscaffold26	2990442	3148132	0.0028	2799.905416
ChrZ	3000001	4000000	ChrZ	3125760	3232213	superscaffold26	3125760	3232213	0.002536	2535.700428
ChrZ	4000001	5000000	ChrZ	4128872	4260681	superscaffold26	4128872	4260681	0.001686	1686.324381
ChrZ	5000001	6000000	ChrZ	5154573	5297026	superscaffold26	5154573	5297026	0.001424	1424.220976
ChrZ	6000001	7000000	ChrZ	6267872	6403296	superscaffold26	6267872	6403296	0.000872	872.229489
ChrZ	7000001	8000000	ChrZ	7294095	7417410	superscaffold26	7294095	7417410	0.001137	1137.099713
ChrZ	8000001	9000000	ChrZ	8385781	8526763	superscaffold26	8385781	8526763	0.000896	895.519739
ChrZ	9000001	10000000	ChrZ	9312706	9514102	superscaffold26	9312706	9514102	0.00057	570.132306
ChrZ	10000001	11000000	ChrZ	10449765	10627830	superscaffold26	10449765	10627830	0.000802	801.546719
ChrZ	11000001	12000000	ChrZ	11444164	11594616	superscaffold26	11444164	11594616	0.001164	1163.767801
ChrZ	12000001	13000000	ChrZ	12510044	12705135	superscaffold26	12510044	12705135	0.000511	510.780507
ChrZ	13000001	14000000	ChrZ	13618940	13787488	superscaffold26	13618940	13787488	0.000516	515.709656
ChrZ	14000001	15000000	ChrZ	14580133	14847940	superscaffold26	14580133	14847940	0.000379	378.996112
ChrZ	15000001	16000000	ChrZ	15616151	15867401	superscaffold26	15616151	15867401	0.00031	309.791241
ChrZ	16000001	17000000	ChrZ	16565192	16822666	superscaffold26	16565192	16822666	0.00039	389.800989
ChrZ	17000001	18000000	ChrZ	17728328	17944757	superscaffold26	17728328	17944757	0.000366	365.807076
ChrZ	18000001	19000000	ChrZ	18750019	19029766	superscaffold26	18750019	19029766	0.000265	264.839571
ChrZ	19000001	20000000	ChrZ	19917993	20120516	superscaffold26	19917993	20120516	0.000238	237.67456
ChrZ	20000001	21000000	ChrZ	20841904	21097900	superscaffold26	20841904	21097900	0.000325	324.866183
ChrZ	21000001	22000000	ChrZ	21823212	22079053	superscaffold26	21823212	22079053	0.000275	275.203585
ChrZ	22000001	23000000	ChrZ	22887583	23107491	superscaffold26	22887583	23107491	0.000228	227.799019
ChrZ	23000001	24000000	ChrZ	23867264	24141339	superscaffold26	23867264	24141339	0.000398	397.874635
ChrZ	24000001	25000000	ChrZ	24101950	24356708	superscaffold26	24101950	24356708	0.000362	362.25547
ChrZ	25000001	26000000	ChrZ	25100571	25309863	superscaffold26	25100571	25309863	0.000443	442.578358
ChrZ	26000001	27000000	ChrZ	26104104	26341313	superscaffold54	15348531	15585738	0.000407	406.682153
ChrZ	27000001	28000000	ChrZ	27084143	27332117	superscaffold54	14357727	14605699	0.000577	576.865367
ChrZ	28000001	29000000	ChrZ	28205651	28461925	superscaffold54	13227919	13484191	0.000554	553.87052
ChrZ	29000001	30000000	ChrZ	29176978	29426663	superscaffold54	12263181	12512864	0.000912	912.444189
ChrZ	30000001	31000000	ChrZ	30372492	30645349	superscaffold54	11044495	11317350	0.000773	773.472834
ChrZ	31000001	32000000	ChrZ	31118480	31509195	superscaffold54	10180649	10571362	0.000576	575.542518
ChrZ	32000001	33000000	ChrZ	32371587	32550637	superscaffold54	9139207	9318255	0.000806	805.689799
ChrZ	33000001	34000000	ChrZ	33446157	33733997	superscaffold54	7955847	8243685	0.000652	651.780285
ChrZ	34000001	35000000	ChrZ	34530891	34754191	superscaffold54	6935653	7158951	0.000617	617.026455
ChrZ	35000001	36000000	ChrZ	35453017	35729287	superscaffold54	5960557	6236825	0.000876	875.641996
ChrZ	36000001	37000000	ChrZ	36604847	36832791	superscaffold54	4857053	5084995	0.00104	1040.004503
ChrZ	37000001	38000000	ChrZ	37652646	37837050	superscaffold54	3852794	4037196	0.001306	1306.455149
ChrZ	38000001	39000000	ChrZ	38764869	38887119	superscaffold54	2802725	2924973	0.001308	1308.265083
ChrZ	39000001	40000000	ChrZ	39775379	39949361	superscaffold54	1740483	1914463	0.000894	893.788145
ChrZ	40000001	41000000	ChrZ	40851285	41029398	superscaffold54	660446	838557	0.00074	740.061635
ChrZ	41000001	42000000	ChrZ	41903210	42062235	superscaffold35	213368	372393	0.000702	701.767851
ChrZ	42000001	43000000	ChrZ	41903210	42062235	superscaffold35	213368	372393	0.000875	874.620002
ChrZ	43000001	44000000	ChrZ	43988936	44140793	superscaffold35	2299094	2450951	0.001039	1038.881895
ChrZ	44000001	45000000	ChrZ	43988936	44140793	superscaffold35	2299094	2450951	0.001534	1533.765208
ChrZ	45000001	46000000	ChrZ	45965946	46144127	superscaffold35	4276104	4454285	0.000871	870.817503
ChrZ	46000001	47000000	ChrZ	46112214	46245790	superscaffold35	4422372	4555948	0.001185	1185.375561
ChrZ	47000001	48000000	ChrZ	47114432	47313309	superscaffold36	8396249	8595124	0.001092	1091.671514
ChrZ	48000001	49000000	ChrZ	48156670	48286273	superscaffold36	7423285	7552886	0.001069	1069.416334
ChrZ	49000001	50000000	ChrZ	49206876	49410082	superscaffold36	6299476	6502680	0.000939	939.471633
ChrZ	50000001	51000000	ChrZ	50229988	50410635	superscaffold36	5298923	5479568	0.000863	863.434908
ChrZ	51000001	52000000	ChrZ	51277682	51458832	superscaffold36	4250726	4431874	0.000955	954.550101
ChrZ	52000001	52185292	ChrZ	51947436	52184764	superscaffold36	3524794	3762120	0.000625	115.760991
