Scaffold	Start	End	midpont	pi	theta	Td	win_length	pi_resamp_mean	pi_resampl_CI_low	pi_resamp_CI_up
scaffold1008	0	44810	22405.0	45.36770000000001	46.79035556223653	-0.12597575456168092	42765	45.290487	41.600625	49.1174875
scaffold1128	0	102074	51037.0	129.25399999999948	131.6331087202678	-0.0755172757039061	98422	129.15589	123.8884725	135.1240125
scaffold760	0	200000	100000.0	139.78169999999974	144.0353716403787	-0.12344315264726688	165796	139.806274	133.09871	146.843535
scaffold760	200000	412945	306472.5	104.51209999999982	96.39940724268007	0.35103175611689447	193033	104.514837	98.6047825	109.530365
scaffold928	0	280674	140337.0	337.9815000000007	301.8823542599718	0.5009626616853157	189069	337.10751	329.100545	344.6931525
scaffold967	0	155924	77962.0	61.02040000000008	62.57505382419584	-0.10327581037561212	120000	60.936767	56.2195475	65.02165
superscaffold41	0	200000	100000.0	214.20210000000029	215.34838343101632	-0.022281218036240485	187152	213.411581	206.3426175	221.4431225
superscaffold41	200000	400000	300000.0	233.7144000000013	214.5027745955542	0.3748994567455196	180972	233.322271	226.0227725	242.4075925
superscaffold41	400000	600000	500000.0	267.19400000000144	237.61608276485177	0.5211912806460374	182206	267.505881	259.47337	275.24373
superscaffold41	600000	800000	700000.0	242.9876000000008	208.01977352367805	0.7035721412400655	189160	243.304879	234.17301	251.4221175
superscaffold41	800000	1000000	900000.0	217.86639999999994	209.99286080642298	0.15693586402108697	185534	217.145198	209.7174375	226.220205
superscaffold41	1000000	1200000	1100000.0	273.4688000000016	231.696820916617	0.7548166725488732	187424	272.679254	265.724195	280.2282275
superscaffold41	1200000	1400000	1300000.0	193.67710000000054	185.7520741898426	0.1785077224348044	176565	193.384553	187.6201725	201.99109
superscaffold41	1400000	1600000	1500000.0	158.69140000000056	150.80024232407555	0.2187732767420565	183192	158.278025	152.7018425	163.90749
superscaffold41	1600000	1800000	1700000.0	165.22890000000098	145.16285008766152	0.577820622641891	186855	165.028454	160.65155	170.2552825
superscaffold41	1800000	2000000	1900000.0	198.37470000000118	167.99428864513837	0.7563739340442623	182824	198.208063	193.1582025	202.99604
superscaffold41	2000000	2200000	2100000.0	185.79580000000118	151.36398154771697	0.9510418330562299	188141	185.686983	181.1874575	190.4424
superscaffold41	2200000	2400000	2300000.0	167.99650000000025	144.3172412521994	0.6858445869393575	174126	167.872276	161.3695675	173.442155
superscaffold41	2400000	2600000	2500000.0	243.616100000002	206.32855585275385	0.7563772921182627	182408	243.229838	236.0549475	249.509375
superscaffold41	2600000	2800000	2700000.0	250.86950000000192	235.64299548210684	0.27054630083046866	183170	250.923152	243.603615	259.7855825
superscaffold41	2800000	3000000	2900000.0	195.53660000000067	187.72516147258753	0.1741059868787658	179129	195.669783	189.7063325	203.3043125
superscaffold41	3000000	3200000	3100000.0	287.85700000000145	269.1854792887704	0.2905133242451897	186334	287.472376	277.6283275	295.3185525
superscaffold41	3200000	3400000	3300000.0	355.7619000000009	312.0296602855171	0.5871931381700074	188751	355.63462	347.5103475	363.4111375
superscaffold41	3400000	3600000	3500000.0	241.83270000000186	197.59059788631208	0.9370138329134485	184414	241.905111	233.66756	249.7692075
superscaffold41	3600000	3800000	3700000.0	155.80740000000034	146.29032853494434	0.27194968838902517	181712	155.852135	149.865205	162.2996925
superscaffold41	3800000	4000000	3900000.0	170.9894000000005	167.43054942149698	0.08890109313350696	187296	171.419565	166.1453425	178.21873
superscaffold41	4000000	4200000	4100000.0	175.0607000000003	185.7520741898426	-0.24081850356635828	189114	175.140738	168.53255	181.4058625
superscaffold41	4200000	4400000	4300000.0	180.12510000000117	169.40363670424188	0.2647171193770811	178634	180.070392	173.3899725	186.8269075
superscaffold41	4400000	4600000	4500000.0	234.12080000000157	216.1939922664784	0.3470985063741075	191791	234.302613	226.88043	241.6356175
superscaffold41	4600000	4800000	4700000.0	229.72330000000082	205.76481662911243	0.48732498867487095	189708	229.467233	222.37746	237.326715
superscaffold41	4800000	5004022	4902011.0	252.0772000000018	225.7775590683823	0.48765779027106276	186941	252.603468	244.9413625	258.90359
superscaffold86	0	200000	100000.0	246.3051000000007	220.70390605560965	0.48558915813832715	185759	246.247634	238.793205	254.926845
superscaffold86	200000	400000	300000.0	183.22960000000043	169.12176709242118	0.34890633662913384	87331	183.824508	177.39878	189.7623475
superscaffold86	400000	776085	588042.5	604.3157000000019	571.6315727723836	0.23976599282206587	327364	605.040261	592.6742525	619.7375325
superscaffold8	0	200000	100000.0	218.44600000000153	190.26198797897382	0.6198334496874919	186574	218.070264	211.4272975	225.425775
