Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold26	1306	201908	 219.53464	 219.42760	 209.30981	 230.18001
superscaffold26	162138	379279	 185.81629	 185.76539	 177.71592	 193.98543
superscaffold26	335917	512919	 215.02386	 214.80623	 202.86278	 228.33049
superscaffold26	487329	621055	 356.75448	 356.59357	 339.55899	 375.39754
superscaffold26	594146	790317	 251.38454	 251.24384	 236.98247	 266.97237
superscaffold26	747176	907838	 395.97565	 395.73068	 369.22098	 423.85715
superscaffold26	888062	1006284	 302.33154	 302.18961	 287.68275	 317.89147
superscaffold26	976515	1106376	 298.79310	 298.40325	 282.36718	 317.15255
superscaffold26	1075382	1200711	 376.02695	 375.85647	 357.13323	 395.31026
superscaffold26	1185810	1299203	 334.85164	 334.55525	 318.14433	 352.76590
superscaffold26	1267674	1397188	 286.19923	 286.11455	 270.11701	 303.52265
superscaffold26	1372599	1520233	 367.40277	 367.25706	 347.29172	 388.96635
superscaffold26	1487694	1642468	 608.51543	 607.66860	 564.30557	 654.99614
superscaffold26	1605548	1750677	 392.92414	 392.61095	 368.09577	 420.53627
superscaffold26	1725821	1831552	 277.24845	 277.25975	 263.93577	 290.76300
superscaffold26	1820786	1955672	 226.24673	 226.13517	 217.42225	 235.99029
superscaffold26	1924589	2047820	 264.58057	 264.48963	 253.97364	 275.52277
superscaffold26	2019592	2148646	 336.45635	 336.24829	 320.20853	 353.83175
superscaffold26	2130598	2244491	 492.12779	 491.80201	 462.72100	 524.57587
superscaffold26	2224411	2336206	 470.01937	 469.87269	 436.57308	 503.65083
superscaffold26	2315132	2418537	 429.69812	 429.47594	 407.36550	 454.30397
superscaffold26	2398462	2499359	 278.95209	 278.61835	 260.70193	 300.70775
superscaffold26	2478253	2584554	 232.62596	 232.48423	 220.71414	 245.09396
superscaffold26	2566304	2670031	 275.52632	 275.43514	 260.47321	 291.44846
superscaffold26	2641444	2782636	 226.03002	 225.88634	 214.94327	 237.95176
superscaffold26	2749146	2893926	 152.15937	 152.07006	 146.02337	 158.70286
