Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold36	3524794	3525136	0.01496	0.00845	0.00036	0.04857
superscaffold36	3525136	3525163	0.01378	0.00842	0.00036	0.04678
superscaffold36	3525163	3525768	0.01198	0.00836	0.00035	0.04424
superscaffold36	3525768	3526321	0.01196	0.00835	0.00035	0.04402
superscaffold36	3526321	3526387	0.01196	0.00835	0.00035	0.04402
superscaffold36	3526387	3527180	0.01194	0.00835	0.00035	0.04376
superscaffold36	3527180	3527808	0.01194	0.00835	0.00035	0.04288
superscaffold36	3527808	3527982	0.01196	0.00835	0.00035	0.04347
superscaffold36	3527982	3528077	0.01196	0.00834	0.00035	0.04347
superscaffold36	3528077	3528236	0.01196	0.00834	0.00035	0.04347
superscaffold36	3528236	3528250	0.01196	0.00834	0.00035	0.04347
superscaffold36	3528250	3529120	0.01196	0.00835	0.00035	0.04288
superscaffold36	3529120	3529454	0.01196	0.00835	0.00035	0.04288
superscaffold36	3529454	3529464	0.01195	0.00834	0.00035	0.04288
superscaffold36	3529464	3529850	0.01199	0.00834	0.00035	0.04347
superscaffold36	3529850	3530131	0.01202	0.00834	0.00035	0.04376
superscaffold36	3530131	3530459	0.01219	0.00835	0.00035	0.04443
superscaffold36	3530459	3530684	0.01228	0.00835	0.00035	0.04537
superscaffold36	3530684	3532106	0.01232	0.00835	0.00035	0.04537
superscaffold36	3532106	3533018	0.01313	0.00836	0.00035	0.04723
superscaffold36	3533018	3533148	0.01369	0.00840	0.00035	0.04799
superscaffold36	3533148	3533804	0.01435	0.00841	0.00035	0.04901
superscaffold36	3533804	3533902	0.02299	0.00852	0.00035	0.15482
superscaffold36	3533902	3534631	0.03437	0.00883	0.00035	0.44821
superscaffold36	3534631	3534852	2.98807	2.72919	0.48824	4.75388
superscaffold36	3534852	3534996	1.59090	2.15888	0.00551	3.01500
superscaffold36	3534996	3535133	0.26553	0.05426	0.00222	1.99625
superscaffold36	3535133	3535157	0.15464	0.05003	0.00206	1.79064
superscaffold36	3535157	3535193	0.08848	0.04677	0.00197	0.45597
superscaffold36	3535193	3535739	0.06424	0.04525	0.00191	0.25133
superscaffold36	3535739	3536081	0.06413	0.04515	0.00191	0.25133
superscaffold36	3536081	3536644	0.06516	0.04515	0.00191	0.27943
superscaffold36	3536644	3536695	0.17562	0.05803	0.00244	0.78379
superscaffold36	3536695	3537126	0.34165	0.10412	0.00374	1.57551
superscaffold36	3537126	3537212	0.37718	0.13891	0.00416	1.10257
superscaffold36	3537212	3537223	0.42807	0.50221	0.00502	1.07340
superscaffold36	3537223	3537583	0.49366	0.62824	0.00622	1.08710
superscaffold36	3537583	3537804	0.79826	0.71650	0.01124	1.72805
superscaffold36	3537804	3538153	1.16809	0.94864	0.02322	2.74229
superscaffold36	3538153	3538163	0.94239	0.73752	0.00372	2.65185
superscaffold36	3538163	3538186	0.70993	0.63858	0.00191	2.52423
superscaffold36	3538186	3538194	0.46333	0.03681	0.00128	2.38379
superscaffold36	3538194	3538215	0.23296	0.02217	0.00093	1.71398
superscaffold36	3538215	3538408	0.04732	0.01690	0.00076	0.58383
superscaffold36	3538408	3539054	0.02298	0.01606	0.00073	0.07560
superscaffold36	3539054	3539107	0.02218	0.01599	0.00071	0.07377
superscaffold36	3539107	3539221	0.02134	0.01597	0.00070	0.07225
superscaffold36	3539221	3539432	0.02117	0.01594	0.00070	0.07133
superscaffold36	3539432	3539676	0.02114	0.01589	0.00070	0.07132
superscaffold36	3539676	3542897	0.02105	0.01589	0.00070	0.07129
superscaffold36	3542897	3542905	0.02309	0.01608	0.00070	0.07647
superscaffold36	3542905	3542996	0.02496	0.01625	0.00071	0.08346
superscaffold36	3542996	3543301	0.02863	0.01662	0.00071	0.12055
