Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold8	58	283165	  68.64987	  68.52559	  64.64653	  73.51337
superscaffold8	227235	511339	  82.28563	  82.19099	  78.92092	  86.15596
superscaffold8	462995	727358	  34.54125	  34.51906	  33.44571	  35.77091
superscaffold8	674185	913151	  99.42509	  99.41163	  95.84723	 103.12811
superscaffold8	882468	1065557	 109.40542	 109.30013	 104.77163	 114.47208
superscaffold8	1030385	1235052	 113.52580	 113.47149	 109.55913	 117.72531
superscaffold8	1199920	1429653	 145.39423	 145.31314	 139.88783	 151.23681
superscaffold8	1389090	1614130	 144.09631	 143.96505	 138.04401	 150.62478
superscaffold8	1566502	1837951	 171.17510	 171.10788	 163.36668	 179.63783
superscaffold8	1784600	2064616	 131.39756	 131.26213	 126.06331	 137.07531
superscaffold8	1996402	2322832	 143.14265	 143.16664	 137.82682	 148.61274
superscaffold8	2251078	2568249	 102.82714	 102.67064	  97.93278	 108.42226
superscaffold8	2518231	2778253	  96.52465	  96.51832	  92.59910	 100.65972
superscaffold8	2736506	2955202	 177.50792	 177.48102	 169.33724	 186.27219
superscaffold8	2905351	3148720	 160.83666	 160.76274	 154.04327	 167.72107
superscaffold8	3110871	3315358	 126.43447	 126.41581	 122.52085	 130.58131
superscaffold8	3289149	3440137	 118.07326	 117.97700	 113.66713	 122.81704
superscaffold8	3415144	3602110	 119.18413	 119.15903	 114.87214	 123.61069
superscaffold8	3557723	3771108	 134.00091	 133.85198	 127.62868	 141.50380
superscaffold8	3733532	3956096	 122.80656	 122.66148	 116.54444	 130.14472
superscaffold8	3913804	4137331	  73.75638	  73.73558	  70.95194	  76.71937
superscaffold8	4092591	4333046	  57.07890	  57.08091	  55.14073	  59.03885
superscaffold8	4292721	4508002	  88.37729	  88.37173	  85.16240	  91.70877
superscaffold8	4452051	4712590	 120.70169	 120.68934	 116.05603	 125.67612
superscaffold8	4664099	4919623	  77.11457	  77.10528	  73.80659	  80.52077
superscaffold8	4868037	5082014	 127.21444	 127.15973	 123.30918	 131.28253
superscaffold8	5032395	5264418	  90.84106	  90.80538	  87.55749	  94.24913
superscaffold8	5222795	5427342	 117.63999	 117.58513	 113.11602	 122.29527
superscaffold8	5387964	5625674	  69.19875	  69.17804	  66.64445	  71.76113
superscaffold8	5559217	5839142	 114.49728	 114.46427	 109.16384	 120.34892
superscaffold8	5792562	6008919	 172.55919	 172.36541	 164.45415	 181.66833
superscaffold8	5971077	6167957	 191.16341	 191.03696	 182.03957	 201.09071
superscaffold8	6130406	6308731	 146.07001	 146.05173	 140.42185	 151.94683
superscaffold8	6265390	6446631	 223.66697	 223.56698	 214.19780	 234.44688
superscaffold8	6414243	6601117	 148.71734	 148.60383	 141.40266	 156.68796
superscaffold8	6555682	6789381	 104.59872	 104.52007	  99.61170	 110.12896
superscaffold8	6746763	6952133	 147.24470	 147.19575	 141.69617	 152.83732
