start	end	pair_cm	pair_cm_per_site	kosambi_r_length_region	kosambi_r_per_site	length_region
1113306	3461663	3.932	1.67436211785516e-06	0.0392391451067574	1.67091907690174e-08	2348357
3461664	4790874	4.096	3.08152963038196e-06	0.0408686193213236	3.07465481912742e-08	1329210
4790875	5218698	3.4785	8.13069891053076e-06	0.0347289888099115	8.11760676960134e-08	427823
5218699	10507220	8.0995	1.53152459827615e-06	0.0802939012391824	1.51826760712839e-08	5288521
10507221	11691139	1.2195	1.03005444633834e-06	0.0121925824201722	1.02985024471054e-08	1183918
11691140	11695125	0	0	0	0	3985
11695126	11711234	0	0	0	0	16108
11711235	11729011	0	0	0	0	17776
11729012	12078491	0	0	0	0	349479
12078492	12089135	0.000499999999998835	4.69792351779418e-08	4.99999999981445e-06	4.69792351763079e-10	10643
12089136	12167169	0.000499999999998835	6.40754552559603e-09	4.99999999981445e-06	6.40754552537317e-11	78033
12167170	12175651	0.000500000000002387	5.89553118738813e-08	4.99999999986996e-06	5.89553118720665e-10	8481
12175652	12403908	1.94	8.49922893593159e-06	0.0193902706800543	8.494966476261e-08	228256
12403909	13125124	3.9475	5.47340252213279e-06	0.0393931867337412	5.46205871116674e-08	721215
13125125	13951569	0.00100000000000122	1.2100033396107e-09	9.99999999869106e-06	1.21000333945083e-11	826444
13951570	14007528	0.5305	9.48032452911112e-06	0.00530480094396643	9.47996880511533e-08	55958
14007529	14449952	0.561499999999999	1.2691473996605e-06	0.00561476397059534	1.26909405039868e-08	442423
14449953	14455693	0.471500000000002	8.21428571428576e-05	0.00471486024466997	8.214042238101e-07	5740
14455694	15381117	0.7485	8.08819318300928e-07	0.00748444091837073	8.087589046707e-09	925423
15381118	15406894	0	0	0	0	25776
15406895	15598336	0	0	0	0	191441
15598337	15601721	0	0	0	0	3384
15601722	15662820	0	0	0	0	61098
15662821	16398847	0.744999999999997	1.01219250406915e-06	0.0074494487241221	1.01211760510119e-08	736026
16398848	16400859	0	0	0	0	2011
16400860	16404181	0	0	0	0	3321
16404182	16718017	0	0	0	0	313835
16718018	17050965	0	0	0	0	332947
17050966	17083964	0	0	0	0	32998
17083965	17084511	0.3735	0.000684065934065934	0.0037349305294301	6.84053210518333e-06	546
17084512	17212083	0	0	0	0	127571
17212084	17225441	0	0	0	0	13357
17225442	17229655	0	0	0	0	4213
17229656	17251313	0	0	0	0	21657
17251314	17287866	0	0	0	0	36552
17287867	17288999	0	0	0	0	1132
17289000	20228143	2.19900000000001	7.48177274804256e-07	0.0219758329787371	7.47695262827874e-09	2939143
