Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold88	646	1553	0.03314	0.01308	0.00049	0.09590
superscaffold88	1553	1585	0.02735	0.01299	0.00049	0.07385
superscaffold88	1585	1898	0.02232	0.01277	0.00047	0.06406
superscaffold88	1898	2691	0.01823	0.01264	0.00047	0.05909
superscaffold88	2691	3147	0.01763	0.01259	0.00047	0.05798
superscaffold88	3147	3214	0.01749	0.01257	0.00046	0.05708
superscaffold88	3214	3271	0.01736	0.01255	0.00046	0.05676
superscaffold88	3271	3301	0.01733	0.01253	0.00046	0.05654
superscaffold88	3301	3315	0.01733	0.01253	0.00046	0.05654
superscaffold88	3315	3724	0.01721	0.01251	0.00046	0.05634
superscaffold88	3724	4544	0.01704	0.01250	0.00046	0.05606
superscaffold88	4544	4830	0.01696	0.01245	0.00046	0.05593
superscaffold88	4830	5857	0.01687	0.01245	0.00046	0.05570
superscaffold88	5857	5982	0.01684	0.01245	0.00046	0.05567
superscaffold88	5982	6033	0.01677	0.01242	0.00046	0.05554
superscaffold88	6033	6503	0.01675	0.01241	0.00046	0.05554
superscaffold88	6503	6783	0.01674	0.01241	0.00046	0.05540
superscaffold88	6783	6870	0.01670	0.01237	0.00046	0.05539
superscaffold88	6870	7284	0.01670	0.01237	0.00046	0.05537
superscaffold88	7284	7790	0.01672	0.01238	0.00046	0.05539
superscaffold88	7790	7948	0.01672	0.01238	0.00046	0.05539
superscaffold88	7948	8048	0.01674	0.01238	0.00046	0.05539
superscaffold88	8048	8273	0.01675	0.01241	0.00046	0.05540
superscaffold88	8273	8462	0.01675	0.01241	0.00046	0.05540
superscaffold88	8462	8489	0.01675	0.01241	0.00046	0.05540
superscaffold88	8489	8508	0.01674	0.01241	0.00046	0.05540
superscaffold88	8508	8704	0.01674	0.01241	0.00046	0.05540
superscaffold88	8704	8910	0.01674	0.01238	0.00046	0.05540
superscaffold88	8910	9175	0.01675	0.01241	0.00046	0.05554
superscaffold88	9175	9603	0.01677	0.01241	0.00046	0.05556
superscaffold88	9603	10300	0.01687	0.01242	0.00046	0.05593
superscaffold88	10300	10440	0.01778	0.01251	0.00046	0.05676
superscaffold88	10440	10753	0.01821	0.01257	0.00046	0.05720
superscaffold88	10753	10767	0.02016	0.01271	0.00046	0.06055
superscaffold88	10767	10893	0.02284	0.01295	0.00047	0.06647
superscaffold88	10893	11328	0.02731	0.01325	0.00049	0.14997
superscaffold88	11328	11560	0.03993	0.01387	0.00049	0.47504
superscaffold88	11560	11976	0.06979	0.01514	0.00053	0.60681
superscaffold88	11976	12064	0.19413	0.02133	0.00065	0.91446
superscaffold88	12064	12128	0.34939	0.04697	0.00091	1.02457
superscaffold88	12128	12336	0.52264	0.62422	0.00166	1.12077
superscaffold88	12336	12457	0.66719	0.72456	0.00364	1.46631
superscaffold88	12457	12470	0.73965	0.75504	0.00696	1.69310
superscaffold88	12470	12873	0.80106	0.77978	0.03245	1.85597
superscaffold88	12873	12900	0.79360	0.77785	0.05494	1.76051
superscaffold88	12900	12916	0.78480	0.77388	0.32174	1.65138
superscaffold88	12916	12934	0.77862	0.77263	0.36578	1.54126
superscaffold88	12934	12935	0.76871	0.76777	0.37746	1.36478
superscaffold88	12935	12949	0.76388	0.76568	0.38947	1.26962
superscaffold88	12949	13118	0.76106	0.76515	0.39848	1.18827
superscaffold88	13118	13658	0.73990	0.75579	0.37746	1.08700
superscaffold88	13658	14098	0.72149	0.74043	0.33362	1.05726
superscaffold88	14098	14276	0.70648	0.73148	0.30826	1.04372
superscaffold88	14276	14664	0.69677	0.72538	0.29068	1.04372
superscaffold88	14664	14667	0.69169	0.72182	0.28421	1.04946
superscaffold88	14667	14697	0.68395	0.71787	0.27638	1.04330
superscaffold88	14697	14718	0.67543	0.71122	0.26972	1.03841
superscaffold88	14718	14763	0.66692	0.70318	0.26659	1.03014
superscaffold88	14763	14919	0.66026	0.69750	0.26139	1.02782
superscaffold88	14919	15016	0.65157	0.68961	0.25904	1.02558
superscaffold88	15016	15017	0.64473	0.68393	0.25508	1.02414
superscaffold88	15017	15057	0.63744	0.67386	0.25411	1.01831
superscaffold88	15057	16146	0.62809	0.65973	0.25064	1.01408
superscaffold88	16146	19114	0.30269	0.27607	0.14016	0.56156
superscaffold88	19114	19151	0.29912	0.27373	0.13140	0.54830
superscaffold88	19151	19157	0.29411	0.27153	0.11440	0.53527
superscaffold88	19157	19383	0.28947	0.26953	0.09777	0.52637
superscaffold88	19383	19922	0.28702	0.26848	0.09128	0.51916
superscaffold88	19922	19933	0.28773	0.26872	0.09182	0.51982
superscaffold88	19933	20235	0.28877	0.26943	0.09698	0.52234
superscaffold88	20235	20352	0.29039	0.26978	0.09777	0.52860
superscaffold88	20352	20399	0.29161	0.27028	0.09841	0.53015
superscaffold88	20399	20413	0.29306	0.27107	0.09860	0.53296
superscaffold88	20413	20421	0.29423	0.27139	0.10189	0.53518
superscaffold88	20421	20669	0.29641	0.27165	0.10509	0.54346
superscaffold88	20669	20675	0.29830	0.27231	0.10509	0.54830
superscaffold88	20675	21513	0.30156	0.27330	0.10806	0.57080
superscaffold88	21513	21632	0.30734	0.27487	0.10481	0.61939
superscaffold88	21632	21660	0.31509	0.27676	0.10189	0.78845
superscaffold88	21660	21702	0.32118	0.27746	0.10679	0.98064
superscaffold88	21702	21703	0.33215	0.27937	0.10856	1.10352
superscaffold88	21703	21796	0.34041	0.28090	0.10806	1.16772
superscaffold88	21796	21843	0.35497	0.28355	0.10012	1.24653
superscaffold88	21843	22138	0.37985	0.28902	0.10481	1.37006
superscaffold88	22138	22389	0.42413	0.29769	0.11288	1.53543
superscaffold88	22389	23718	0.53066	0.31640	0.13048	1.78939
superscaffold88	23718	23742	0.85777	0.37894	0.14373	2.95610
superscaffold88	23742	23915	1.20499	1.07382	0.16099	3.32514
superscaffold88	23915	23917	1.50748	1.54918	0.17559	3.57166
