Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold69-1	503	292931	 197.07440	 196.30847	 175.17585	 224.08151
superscaffold69-1	236118	476703	 177.45266	 177.20043	 163.90422	 192.67079
superscaffold69-1	430523	667159	 241.15757	 240.71037	 219.94497	 265.97011
superscaffold69-1	619362	829093	 128.10140	 127.27285	 107.72100	 154.87232
superscaffold69-1	795196	1018698	 186.70024	 186.35213	 170.31225	 204.53201
superscaffold69-1	946097	1232427	 127.65772	 127.35649	 116.98045	 140.50018
superscaffold69-1	1183364	1452621	 179.04056	 178.30064	 160.26431	 200.99270
superscaffold69-1	1387972	1637037	 148.00764	 147.60239	 135.19840	 163.22107
superscaffold69-1	1593526	1809050	 142.63011	 142.21766	 130.14597	 156.92175
superscaffold69-1	1765312	1995474	 203.93360	 203.08666	 180.72468	 232.27182
superscaffold69-1	1946416	2260302	 305.55984	 304.70569	 267.31839	 349.99368
superscaffold69-1	2184503	2530643	 178.34822	 177.71436	 156.96085	 203.43138
superscaffold69-1	2470793	2739224	 224.68883	 224.17011	 203.25342	 249.95728
superscaffold69-1	2679214	2915863	 215.99613	 215.04452	 193.38631	 244.15170
superscaffold69-1	2865063	3203717	 172.47123	 171.79221	 152.41726	 195.93534
superscaffold69-1	3134553	3395994	 218.60495	 217.74274	 198.84901	 242.66203
superscaffold69-1	3348754	3615599	 193.52181	 192.80659	 176.17482	 213.39479
superscaffold69-1	3569023	3771647	 389.78824	 388.36053	 353.25757	 433.92086
superscaffold69-1	3740174	3933840	 510.95666	 510.61030	 447.53742	 580.35256
superscaffold69-1	3885957	4142847	 289.31885	 288.61605	 251.71693	 329.77607
superscaffold69-1	4103528	4262605	 267.29560	 266.55907	 243.93452	 295.37393
superscaffold69-1	4232761	4447431	 176.09054	 175.54660	 161.94795	 192.39288
superscaffold69-1	4394564	4623147	 183.56575	 183.44445	 171.04807	 197.27104
superscaffold69-1	4587483	4811087	 261.37628	 261.25004	 239.06631	 285.63710
superscaffold69-1	4764066	4997143	 290.66836	 290.24158	 262.41790	 320.63711
superscaffold69-1	4959451	5140107	 232.35469	 231.84630	 211.51650	 255.57985
superscaffold69-1	5113355	5322084	 196.09204	 196.00584	 175.27226	 216.65545
superscaffold69-1	5272917	5498154	  68.23458	  68.05937	  62.66651	  74.53434
superscaffold69-1	5452964	5675915	 100.43492	  99.30588	  89.87724	 117.77572
superscaffold69-1	5644027	5852297	  69.14649	  68.99984	  63.01966	  76.34605
superscaffold69-1	5852735	5978392	  56.59513	  56.42671	  51.96830	  62.10697
