Scaffold	Locus_start	Locus_end	Mean_rho	Median	L95	U95
superscaffold69-1	503	604	0.77731	0.50667	0.01671	2.37528
superscaffold69-1	604	768	0.77520	0.50561	0.01653	2.37336
superscaffold69-1	768	2341	0.77606	0.50667	0.01670	2.36969
superscaffold69-1	2341	2346	0.84976	0.60551	0.01804	2.43284
superscaffold69-1	2346	2397	0.92932	0.72277	0.02045	2.54309
superscaffold69-1	2397	2746	1.01784	0.89200	0.02460	2.61644
superscaffold69-1	2746	2806	1.19911	1.22212	0.03076	2.76670
superscaffold69-1	2806	3088	1.37388	1.48130	0.04421	2.87373
superscaffold69-1	3088	3156	1.47655	1.57429	0.06661	2.96755
superscaffold69-1	3156	3371	1.59567	1.67068	0.10591	3.04531
superscaffold69-1	3371	3791	1.70199	1.73557	0.19080	3.10788
superscaffold69-1	3791	4098	1.75086	1.76672	0.28593	3.12340
superscaffold69-1	4098	4492	1.80430	1.80341	0.48576	3.13026
superscaffold69-1	4492	5312	1.83283	1.82360	0.61233	3.14297
superscaffold69-1	5312	6405	1.85923	1.84436	0.68486	3.16301
superscaffold69-1	6405	6931	1.86091	1.84687	0.68750	3.16085
superscaffold69-1	6931	7115	1.86326	1.84933	0.68750	3.16301
superscaffold69-1	7115	7492	1.86394	1.85145	0.69007	3.16142
superscaffold69-1	7492	7598	1.86346	1.85247	0.68128	3.16085
superscaffold69-1	7598	7692	1.86839	1.85606	0.68486	3.16301
superscaffold69-1	7692	8254	1.87017	1.85918	0.68486	3.16445
superscaffold69-1	8254	8653	1.87370	1.86169	0.68528	3.17268
superscaffold69-1	8653	8776	1.88199	1.87050	0.69338	3.17579
superscaffold69-1	8776	9414	1.88576	1.87444	0.70574	3.17579
superscaffold69-1	9414	10099	1.89742	1.88424	0.72149	3.17781
superscaffold69-1	10099	10386	1.94428	1.91298	0.80931	3.22434
superscaffold69-1	10386	11213	2.00112	1.95151	0.95508	3.28757
superscaffold69-1	11213	11412	2.03640	1.97856	1.03361	3.35479
superscaffold69-1	11412	11846	2.06118	1.99479	1.09193	3.39249
superscaffold69-1	11846	12053	2.07005	2.00158	1.10778	3.40092
superscaffold69-1	12053	12054	2.07872	2.01157	1.12418	3.40698
superscaffold69-1	12054	12930	2.08864	2.01892	1.14232	3.42332
superscaffold69-1	12930	13183	2.09814	2.02641	1.16402	3.42792
superscaffold69-1	13183	13184	2.10295	2.02920	1.17368	3.42792
superscaffold69-1	13184	13935	2.11103	2.03412	1.19564	3.43431
